t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
1,000	46,702	25,000	9,990E+1
1,000	46,701	25,000	1,000E-2
3,000	46,667	25,000	1,000E-2
3,000	46,686	25,000	3,961E-1
5,000	46,692	60,000	9,990E+1
6,000	46,639	60,000	9,990E+1
7,000	46,668	60,000	9,990E+1
8,000	46,683	60,000	9,935E+1
9,000	46,720	60,000	9,934E+1
10,000	46,743	60,000	9,848E+1
11,001	46,736	60,000	9,815E+1
12,001	46,735	60,000	9,902E+1
13,001	46,749	60,000	9,968E+1
14,001	46,751	60,000	9,972E+1
14,001	46,741	60,000	9,990E+1
16,001	46,764	60,000	9,990E+1
17,001	46,756	60,000	9,957E+1
18,001	46,755	60,000	9,990E+1
19,001	46,755	60,000	9,990E+1
20,001	46,744	60,000	9,990E+1
21,001	46,760	60,000	9,990E+1
22,001	46,764	60,000	9,988E+1
23,001	46,788	60,000	9,990E+1
24,001	46,825	60,000	9,957E+1
25,001	46,822	60,000	9,870E+1
26,001	46,862	60,000	9,941E+1
27,001	46,845	60,000	9,842E+1
28,001	46,828	60,000	9,969E+1
29,001	46,833	60,000	9,990E+1
30,001	46,835	60,000	9,990E+1
31,001	46,861	60,000	9,990E+1
32,001	46,853	60,000	9,946E+1
33,001	46,895	60,000	9,990E+1
34,001	46,927	60,000	9,883E+1
35,001	46,997	60,000	9,815E+1
36,002	47,010	60,000	9,595E+1
37,002	47,049	60,000	9,602E+1
38,002	47,007	60,000	9,508E+1
39,002	46,975	60,000	9,733E+1
40,002	47,015	60,000	9,915E+1
41,002	47,046	60,000	9,817E+1
42,002	47,073	60,000	9,753E+1
43,002	47,070	60,000	9,702E+1
44,002	47,071	60,000	9,773E+1
45,002	47,087	60,000	9,829E+1
46,002	47,085	60,000	9,826E+1
47,002	47,114	60,000	9,890E+1
48,002	47,095	60,000	9,832E+1
49,002	47,041	60,000	9,967E+1
50,002	47,066	60,000	9,990E+1
51,002	47,138	60,000	9,951E+1
52,002	47,177	60,000	9,727E+1
53,002	47,158	60,000	9,628E+1
54,002	47,130	60,000	9,761E+1
55,002	47,126	60,000	9,928E+1
56,002	47,177	60,000	9,990E+1
57,002	47,231	60,000	9,846E+1
58,002	47,277	60,000	9,688E+1
59,002	47,297	60,000	9,563E+1
60,002	47,401	60,000	9,540E+1
61,002	47,398	60,000	9,187E+1
62,002	47,418	60,000	9,254E+1
63,002	47,463	60,000	9,231E+1
64,002	47,502	60,000	9,110E+1
65,003	47,482	60,000	9,012E+1
66,003	47,431	60,000	9,150E+1
67,003	47,453	60,000	9,406E+1
68,003	47,558	60,000	9,378E+1
69,003	47,546	60,000	9,018E+1
70,003	47,510	60,000	9,122E+1
71,003	47,519	60,000	9,321E+1
72,003	47,549	60,000	9,344E+1
73,003	47,605	60,000	9,279E+1
74,003	47,635	60,000	9,115E+1
75,003	47,633	60,000	9,051E+1
76,003	47,642	60,000	9,112E+1
77,003	47,687	60,000	9,135E+1
78,003	47,719	60,000	9,010E+1
79,003	47,704	60,000	8,939E+1
80,003	47,743	60,000	9,054E+1
81,003	47,820	60,000	8,957E+1
82,003	47,802	60,000	8,705E+1
83,003	47,800	60,000	8,835E+1
84,003	47,779	60,000	8,894E+1
85,003	47,748	60,000	9,033E+1
86,003	47,752	60,000	9,211E+1
87,003	47,739	60,000	9,254E+1
88,003	47,784	60,000	9,361E+1
89,003	47,826	60,000	9,238E+1
90,003	47,799	60,000	9,125E+1
91,003	47,834	60,000	9,287E+1
92,004	47,876	60,000	9,201E+1
93,004	47,903	60,000	9,094E+1
94,004	47,931	60,000	9,041E+1
95,004	47,978	60,000	8,985E+1
96,004	47,958	60,000	8,851E+1
97,004	47,941	60,000	8,985E+1
98,004	47,986	60,000	9,105E+1
99,004	47,998	60,000	8,981E+1
100,004	47,958	60,000	8,987E+1
101,004	48,000	60,000	9,202E+1
102,004	48,016	60,000	9,090E+1
103,004	48,041	60,000	9,081E+1
104,004	48,079	60,000	9,034E+1
105,004	48,029	60,000	8,937E+1
106,004	48,035	60,000	9,189E+1
107,004	48,063	60,000	9,221E+1
108,004	48,135	60,000	9,165E+1
109,004	48,175	60,000	8,935E+1
110,004	48,170	60,000	8,828E+1
111,004	48,184	60,000	8,901E+1
112,004	48,218	60,000	8,897E+1
113,004	48,200	60,000	8,818E+1
114,004	48,190	60,000	8,945E+1
115,004	48,160	60,000	9,035E+1
116,004	48,236	60,000	9,210E+1
117,004	48,177	60,000	8,962E+1
118,004	48,231	60,000	9,247E+1
119,004	48,277	60,000	9,084E+1
120,004	48,263	60,000	8,957E+1
121,004	48,297	60,000	9,066E+1
122,005	48,291	60,000	8,982E+1
123,005	48,334	60,000	9,058E+1
124,005	48,334	60,000	8,945E+1
125,005	48,361	60,000	8,996E+1
126,005	48,392	60,000	8,943E+1
127,005	48,436	60,000	8,873E+1
128,005	48,499	60,000	8,749E+1
129,005	48,454	60,000	8,552E+1
130,005	48,487	60,000	8,782E+1
131,005	48,444	60,000	8,701E+1
132,005	48,517	60,000	8,926E+1
133,005	48,510	60,000	8,689E+1
134,005	48,471	60,000	8,770E+1
135,005	48,452	60,000	8,977E+1
136,005	48,428	60,000	9,102E+1
137,005	48,393	60,000	9,247E+1
138,005	48,429	60,000	9,440E+1
139,005	48,352	60,000	9,348E+1
140,005	48,454	60,000	9,705E+1
141,005	48,587	60,000	9,356E+1
142,005	48,586	60,000	8,879E+1
143,005	48,664	60,000	8,936E+1
144,005	48,720	60,000	8,679E+1
145,005	48,736	60,000	8,508E+1
146,005	48,765	60,000	8,496E+1
147,005	48,740	60,000	8,432E+1
148,005	48,725	60,000	8,581E+1
149,005	48,659	60,000	8,692E+1
150,005	48,723	60,000	9,006E+1
151,005	48,707	60,000	8,802E+1
152,005	48,623	60,000	8,914E+1
153,005	48,651	60,000	9,300E+1
154,005	48,717	60,000	9,238E+1
155,006	48,756	60,000	9,030E+1
156,006	48,803	60,000	8,926E+1
157,006	48,773	60,000	8,789E+1
158,006	48,745	60,000	8,958E+1
159,006	48,684	60,000	9,120E+1
160,006	48,767	60,000	9,415E+1
161,006	48,828	60,000	9,135E+1
162,006	48,833	60,000	8,946E+1
163,006	48,887	60,000	8,976E+1
164,006	48,880	60,000	8,813E+1
165,006	48,961	60,000	8,891E+1
166,006	48,991	60,000	8,620E+1
167,006	49,070	60,000	8,551E+1
168,006	49,174	60,000	8,288E+1
169,006	49,104	60,000	7,927E+1
170,006	49,106	60,000	8,251E+1
171,006	49,196	60,000	8,291E+1
172,006	49,165	60,000	7,987E+1
173,006	49,106	60,000	8,157E+1
174,006	49,126	60,000	8,439E+1
175,006	49,125	60,000	8,411E+1
176,006	49,096	60,000	8,462E+1
177,006	49,081	60,000	8,625E+1
178,006	49,138	60,000	8,737E+1
179,006	49,179	60,000	8,561E+1
180,006	49,235	60,000	8,443E+1
181,006	49,237	60,000	8,272E+1
182,006	49,270	60,000	8,313E+1
183,006	49,263	60,000	8,231E+1
184,007	49,306	60,000	8,309E+1
185,007	49,298	60,000	8,185E+1
186,007	49,326	60,000	8,265E+1
187,007	49,272	60,000	8,202E+1
188,007	49,335	60,000	8,465E+1
189,007	49,263	60,000	8,263E+1
190,007	49,181	60,000	8,599E+1
191,007	49,255	60,000	8,972E+1
192,007	49,306	60,000	8,724E+1
193,007	49,359	60,000	8,572E+1
194,007	49,353	60,000	8,409E+1
195,007	49,375	60,000	8,482E+1
196,007	49,356	60,000	8,443E+1
197,007	49,338	60,000	8,567E+1
198,007	49,462	60,000	8,686E+1
199,007	49,426	60,000	8,241E+1
200,007	49,455	60,000	8,431E+1
201,007	49,447	60,000	8,366E+1
202,007	49,429	60,000	8,447E+1
203,007	49,437	60,000	8,564E+1
204,007	49,521	60,000	8,582E+1
205,007	49,584	60,000	8,295E+1
206,007	49,586	60,000	8,093E+1
207,007	49,585	60,000	8,132E+1
208,007	49,605	60,000	8,183E+1
209,007	49,648	60,000	8,151E+1
210,007	49,642	60,000	8,029E+1
211,007	49,625	60,000	8,100E+1
212,007	49,605	60,000	8,212E+1
213,008	49,597	60,000	8,336E+1
214,008	49,620	60,000	8,414E+1
215,008	49,624	60,000	8,374E+1
216,008	49,668	60,000	8,403E+1
217,008	49,558	60,000	8,276E+1
218,008	49,544	60,000	8,758E+1
219,008	49,569	60,000	8,859E+1
220,008	49,542	60,000	8,809E+1
221,008	49,490	60,000	8,963E+1
222,008	49,489	60,000	9,214E+1
223,008	49,540	60,000	9,270E+1
224,008	49,659	60,000	9,113E+1
225,008	49,709	60,000	8,689E+1
226,008	49,683	60,000	8,539E+1
227,008	49,672	60,000	8,687E+1
228,008	49,787	60,000	8,777E+1
229,008	49,741	60,000	8,366E+1
230,008	49,713	60,000	8,597E+1
231,008	49,767	60,000	8,752E+1
232,008	49,867	60,000	8,584E+1
233,008	49,870	60,000	8,236E+1
234,008	49,869	60,000	8,272E+1
235,008	49,894	60,000	8,320E+1
236,008	49,845	60,000	8,269E+1
237,008	49,904	60,000	8,506E+1
238,008	49,950	60,000	8,320E+1
239,008	49,910	60,000	8,182E+1
240,008	49,984	60,000	8,384E+1
241,008	50,091	60,000	8,138E+1
242,008	50,117	60,000	7,759E+1
243,008	50,119	60,000	7,699E+1
244,008	50,066	60,000	7,738E+1
245,008	50,163	60,000	7,990E+1
246,008	50,148	60,000	7,651E+1
247,008	50,094	60,000	7,759E+1
248,009	50,043	60,000	8,013E+1
249,009	50,081	60,000	8,262E+1
250,009	50,067	60,000	8,156E+1
251,009	49,969	60,000	8,254E+1
252,009	49,986	60,000	8,688E+1
253,009	49,931	60,000	8,668E+1
254,009	49,983	60,000	8,933E+1
255,009	50,053	60,000	8,772E+1
256,009	49,917	60,000	8,538E+1
257,009	49,999	60,000	9,122E+1
258,009	50,056	60,000	8,840E+1
259,009	50,065	60,000	8,664E+1
260,009	50,004	60,000	8,671E+1
261,009	50,025	60,000	8,958E+1
262,009	50,052	60,000	8,919E+1
263,009	50,124	60,000	8,859E+1
264,009	50,189	60,000	8,615E+1
265,009	50,184	60,000	8,406E+1
266,009	50,138	60,000	8,468E+1
267,009	50,138	60,000	8,695E+1
268,009	50,163	60,000	8,739E+1
269,009	50,275	60,000	8,685E+1
270,009	50,279	60,000	8,286E+1
271,009	50,317	60,000	8,316E+1
272,009	50,338	60,000	8,209E+1
273,009	50,334	60,000	8,165E+1
274,010	50,367	60,000	8,229E+1
275,010	50,400	60,000	8,138E+1
276,010	50,396	60,000	8,055E+1
277,010	50,419	60,000	8,112E+1
278,010	50,424	60,000	8,062E+1
279,010	50,366	60,000	8,085E+1
280,010	50,385	60,000	8,360E+1
281,010	50,520	60,000	8,329E+1
282,010	50,519	60,000	7,835E+1
283,010	50,529	60,000	7,884E+1
284,010	50,587	60,000	7,887E+1
285,010	50,462	60,000	7,702E+1
286,010	50,475	60,000	8,238E+1
287,010	50,478	60,000	8,227E+1
288,010	50,520	60,000	8,261E+1
289,010	50,570	60,000	8,137E+1
290,010	50,495	60,000	7,982E+1
291,010	50,531	60,000	8,320E+1
292,010	50,610	60,000	8,222E+1
293,010	50,604	60,000	7,952E+1
294,010	50,557	60,000	8,018E+1
295,010	50,480	60,000	8,246E+1
296,011	50,505	60,000	8,592E+1
297,011	50,538	60,000	8,536E+1
298,011	50,462	60,000	8,448E+1
299,011	50,469	60,000	8,792E+1
300,011	50,549	60,000	8,807E+1
301,011	50,466	60,000	8,535E+1
302,011	50,466	60,000	8,907E+1
303,011	50,476	60,000	8,948E+1
304,011	50,532	60,000	8,953E+1
305,011	50,547	60,000	8,775E+1
306,011	50,622	60,000	8,756E+1
307,011	50,621	60,000	8,503E+1
308,011	50,695	60,000	8,550E+1
309,011	50,741	60,000	8,299E+1
310,011	50,739	60,000	8,159E+1
311,011	50,739	60,000	8,206E+1
312,011	50,628	60,000	8,250E+1
313,011	50,677	60,000	8,732E+1
314,011	50,733	60,000	8,578E+1
315,011	50,702	60,000	8,402E+1
316,011	50,636	60,000	8,565E+1
317,011	50,673	60,000	8,866E+1
318,011	50,729	60,000	8,762E+1
319,011	50,793	60,000	8,584E+1
320,011	50,843	60,000	8,370E+1
321,011	50,865	60,000	8,218E+1
322,011	50,962	60,000	8,170E+1
323,012	50,969	60,000	7,827E+1
324,012	50,883	60,000	7,842E+1
325,012	50,934	60,000	8,220E+1
326,012	50,855	60,000	8,061E+1
327,012	50,828	60,000	8,415E+1
328,012	50,811	60,000	8,565E+1
329,012	50,895	60,000	8,674E+1
330,012	50,885	60,000	8,380E+1
331,012	50,893	60,000	8,461E+1
332,012	50,859	60,000	8,471E+1
333,012	50,959	60,000	8,644E+1
334,012	50,995	60,000	8,289E+1
335,012	51,020	60,000	8,190E+1
336,012	51,052	60,000	8,133E+1
337,012	51,032	60,000	8,043E+1
338,012	50,933	60,000	8,165E+1
339,012	51,035	60,000	8,597E+1
340,012	51,036	60,000	8,234E+1
341,012	51,019	60,000	8,271E+1
342,012	51,013	60,000	8,381E+1
343,012	51,054	60,000	8,443E+1
344,012	50,981	60,000	8,321E+1
345,012	50,960	60,000	8,649E+1
346,012	50,971	60,000	8,773E+1
347,012	50,944	60,000	8,774E+1
348,012	51,020	60,000	8,922E+1
349,012	51,159	60,000	8,659E+1
350,012	51,141	60,000	8,151E+1
351,012	51,117	60,000	8,260E+1
352,012	51,027	60,000	8,395E+1
353,012	51,009	60,000	8,792E+1
354,012	51,221	60,000	8,904E+1
355,012	51,328	60,000	8,107E+1
356,012	51,290	60,000	7,720E+1
357,013	51,268	60,000	7,908E+1
358,013	51,306	60,000	8,036E+1
359,013	51,394	60,000	7,923E+1
360,013	51,468	60,000	7,618E+1
361,013	51,552	60,000	7,362E+1
362,013	51,543	60,000	7,069E+1
363,013	51,475	60,000	7,139E+1
364,013	51,490	60,000	7,449E+1
365,013	51,452	60,000	7,426E+1
366,013	51,374	60,000	7,619E+1
367,013	51,322	60,000	7,964E+1
368,013	51,346	60,000	8,209E+1
369,013	51,311	60,000	8,153E+1
370,013	51,299	60,000	8,333E+1
371,013	51,330	60,000	8,416E+1
372,013	51,419	60,000	8,334E+1
373,013	51,498	60,000	8,019E+1
374,013	51,448	60,000	7,747E+1
375,013	51,549	60,000	7,981E+1
376,013	51,517	60,000	7,622E+1
377,013	51,447	60,000	7,785E+1
378,013	51,471	60,000	8,102E+1
379,013	51,417	60,000	8,048E+1
380,013	51,385	60,000	8,298E+1
381,013	51,371	60,000	8,464E+1
382,013	51,407	60,000	8,558E+1
383,013	51,443	60,000	8,454E+1
384,013	51,480	60,000	8,351E+1
385,013	51,410	60,000	8,241E+1
386,013	51,418	60,000	8,560E+1
387,014	51,562	60,000	8,566E+1
388,014	51,487	60,000	8,032E+1
389,014	51,517	60,000	8,367E+1
390,014	51,409	60,000	8,287E+1
391,014	51,498	60,000	8,757E+1
392,014	51,540	60,000	8,443E+1
393,014	51,477	60,000	8,313E+1
394,014	51,509	60,000	8,599E+1
395,014	51,689	60,000	8,512E+1
396,014	51,712	60,000	7,840E+1
397,014	51,803	60,000	7,782E+1
398,014	51,815	60,000	7,463E+1
399,014	51,885	60,000	7,450E+1
400,014	51,873	60,000	7,212E+1
401,014	51,871	60,000	7,294E+1
402,014	51,900	60,000	7,337E+1
403,014	51,951	60,000	7,261E+1
404,014	51,885	60,000	7,097E+1
405,015	51,823	60,000	7,395E+1
406,016	51,694	60,000	7,677E+1
407,016	51,697	60,000	8,223E+1
408,016	51,705	60,000	8,251E+1
409,016	51,808	60,000	8,255E+1
410,016	51,839	60,000	7,886E+1
411,016	51,764	60,000	7,798E+1
412,016	51,739	60,000	8,134E+1
413,016	51,741	60,000	8,266E+1
414,016	51,702	60,000	8,298E+1
415,016	51,669	60,000	8,490E+1
416,016	51,742	60,000	8,658E+1
417,016	51,821	60,000	8,408E+1
418,016	51,922	60,000	8,132E+1
419,016	51,915	60,000	7,767E+1
420,016	51,865	60,000	7,831E+1
421,016	51,934	60,000	8,066E+1
422,016	51,842	60,000	7,831E+1
423,016	51,888	60,000	8,230E+1
424,016	51,948	60,000	8,087E+1
425,016	51,855	60,000	7,886E+1
426,016	51,859	60,000	8,287E+1
427,016	51,889	60,000	8,308E+1
428,016	51,903	60,000	8,225E+1
429,017	51,985	60,000	8,211E+1
430,017	52,060	60,000	7,920E+1
431,017	51,867	60,000	7,659E+1
432,017	51,794	60,000	8,462E+1
433,017	51,873	60,000	8,786E+1
434,017	51,909	60,000	8,510E+1
435,017	51,934	60,000	8,406E+1
436,017	51,966	60,000	8,341E+1
437,017	51,870	60,000	8,249E+1
