t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	53,456	0,000	5,115E+1	5,212E+1	5,109E+1	4,821E+1	5,566E+1	5,577E+1	4,870E+1	5,224E+1	5,333E+1	4,455E+1
0,000	53,456	0,000	5,115E+1	5,212E+1	5,109E+1	4,821E+1	5,566E+1	5,577E+1	4,870E+1	5,224E+1	5,333E+1	4,455E+1
2,119	53,525	0,000	5,114E+1	5,210E+1	5,107E+1	4,820E+1	5,565E+1	5,578E+1	4,869E+1	5,222E+1	5,334E+1	4,453E+1
2,119	53,525	0,000	5,114E+1	5,210E+1	5,107E+1	4,820E+1	5,565E+1	5,578E+1	4,869E+1	5,222E+1	5,334E+1	4,453E+1
4,285	53,406	0,000	5,115E+1	5,208E+1	5,110E+1	4,820E+1	5,557E+1	5,574E+1	4,868E+1	5,217E+1	5,329E+1	4,455E+1
4,285	53,406	0,000	5,115E+1	5,208E+1	5,110E+1	4,820E+1	5,557E+1	5,574E+1	4,868E+1	5,217E+1	5,329E+1	4,455E+1
6,451	53,406	0,000	5,115E+1	5,208E+1	5,110E+1	4,820E+1	5,557E+1	5,574E+1	4,868E+1	5,217E+1	5,329E+1	4,455E+1
6,451	53,439	0,000	5,120E+1	5,209E+1	5,110E+1	4,819E+1	5,556E+1	5,578E+1	4,865E+1	5,215E+1	5,326E+1	4,449E+1
8,617	53,439	0,000	5,120E+1	5,209E+1	5,110E+1	4,819E+1	5,556E+1	5,578E+1	4,865E+1	5,215E+1	5,326E+1	4,449E+1
8,617	53,453	0,000	5,117E+1	5,206E+1	5,104E+1	4,818E+1	5,558E+1	5,577E+1	4,864E+1	5,212E+1	5,328E+1	4,450E+1
10,783	53,453	0,000	5,117E+1	5,206E+1	5,104E+1	4,818E+1	5,558E+1	5,577E+1	4,864E+1	5,212E+1	5,328E+1	4,450E+1
