t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	68,771	70,000	9,990E+1
2,216	68,771	70,000	1,000E-2
2,216	68,769	70,000	6,555E-2
4,457	68,769	70,000	1,805E-1
4,457	68,769	70,000	2,360E-1
6,699	68,671	70,000	2,916E-1
6,699	68,671	70,000	4,250E+0
8,938	68,596	70,000	4,310E+0
8,938	68,596	70,000	7,342E+0
8,938	68,600	70,000	7,405E+0
11,179	68,600	70,000	7,330E+0
11,179	68,588	70,000	7,393E+0
13,418	68,588	70,000	7,932E+0
13,418	68,588	70,000	7,995E+0
15,659	68,514	70,000	1,095E+1
15,659	68,514	70,000	1,102E+1
17,900	68,460	70,000	1,109E+1
17,900	68,460	70,000	1,329E+1
17,900	68,455	70,000	1,336E+1
20,140	68,455	70,000	1,365E+1
20,140	68,394	70,000	1,372E+1
22,381	68,394	70,000	1,619E+1
22,381	68,431	70,000	1,626E+1
24,618	68,431	70,000	1,487E+1
24,618	68,431	70,000	1,494E+1
26,859	68,493	70,000	1,501E+1
26,859	68,493	70,000	1,266E+1
26,859	68,528	70,000	1,273E+1
29,100	68,528	70,000	1,137E+1
29,100	68,200	70,000	1,144E+1
31,341	68,200	70,000	2,454E+1
31,341	68,194	70,000	2,462E+1
33,581	68,194	70,000	2,492E+1
33,581	68,194	70,000	2,500E+1
35,822	68,273	70,000	2,508E+1
35,822	68,273	70,000	2,201E+1
35,822	68,198	70,000	2,209E+1
38,061	68,198	70,000	2,518E+1
38,061	68,248	70,000	2,526E+1
40,228	68,248	70,000	2,334E+1
40,228	68,233	70,000	2,342E+1
42,395	68,233	70,000	2,410E+1
42,395	68,084	70,000	2,418E+1
44,556	68,084	70,000	3,018E+1
44,556	68,084	70,000	3,027E+1
46,723	68,073	70,000	3,035E+1
46,723	68,073	70,000	3,083E+1
48,888	68,216	70,000	3,092E+1
48,888	68,216	70,000	2,536E+1
48,888	68,255	70,000	2,544E+1
51,057	68,255	70,000	2,398E+1
51,057	68,167	70,000	2,406E+1
53,224	68,167	70,000	2,762E+1
53,224	68,245	70,000	2,771E+1
55,391	68,245	70,000	2,470E+1
55,391	68,235	70,000	2,478E+1
57,558	68,235	70,000	2,525E+1
57,558	68,235	70,000	2,533E+1
59,726	68,268	70,000	2,541E+1
59,726	68,268	70,000	2,416E+1
61,891	68,225	70,000	2,424E+1
61,891	68,225	70,000	2,606E+1
61,891	68,356	70,000	2,614E+1
64,060	68,356	70,000	2,099E+1
64,060	68,231	70,000	2,107E+1
66,225	68,231	70,000	2,610E+1
66,225	68,284	70,000	2,618E+1
68,392	68,284	70,000	2,417E+1
68,392	68,216	70,000	2,425E+1
70,553	68,216	70,000	2,702E+1
70,553	68,216	70,000	2,710E+1
72,720	68,294	70,000	2,719E+1
72,720	68,294	70,000	2,418E+1
74,885	68,391	70,000	2,425E+1
74,885	68,391	70,000	2,049E+1
74,885	68,348	70,000	2,056E+1
77,052	68,348	70,000	2,234E+1
77,052	68,360	70,000	2,241E+1
79,217	68,360	70,000	2,201E+1
79,217	68,239	70,000	2,208E+1
81,384	68,239	70,000	2,693E+1
81,384	68,253	70,000	2,701E+1
83,549	68,253	70,000	2,656E+1
83,549	68,253	70,000	2,663E+1
85,716	68,144	70,000	2,671E+1
85,716	68,144	70,000	3,109E+1
87,882	68,168	70,000	3,117E+1
87,882	68,168	70,000	3,031E+1
87,882	68,187	70,000	3,039E+1
90,049	68,187	70,000	2,974E+1
90,049	68,266	70,000	2,982E+1
92,214	68,266	70,000	2,679E+1
92,214	68,170	70,000	2,687E+1
94,381	68,170	70,000	3,073E+1
94,381	67,986	70,000	3,082E+1
96,548	67,986	70,000	3,821E+1
96,548	67,986	70,000	3,830E+1
98,717	67,999	70,000	3,839E+1
98,717	67,999	70,000	3,795E+1
100,884	68,067	71,000	3,804E+1
100,884	68,067	71,000	7,506E+1
100,884	67,921	71,000	7,519E+1
103,051	67,921	71,000	8,111E+1
103,051	67,880	71,000	8,125E+1
105,218	67,880	71,000	8,301E+1
105,218	67,843	71,000	8,315E+1
107,385	67,843	71,000	8,478E+1
107,385	67,824	71,000	8,492E+1
109,552	67,824	71,000	8,579E+1
109,552	67,824	71,000	8,594E+1
111,719	67,904	71,000	8,608E+1
111,719	67,904	71,000	8,306E+1
113,884	67,958	71,000	8,319E+1
113,884	67,958	71,000	8,120E+1
113,884	67,836	71,000	8,133E+1
