t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	64,560	70,000	1,000E-2
2,291	64,560	70,000	2,554E-1
2,291	64,572	70,000	5,010E-1
4,606	64,572	71,000	2,909E-1
4,606	64,572	71,000	4,016E+1
6,921	64,547	71,000	4,146E+1
6,921	64,547	71,000	4,175E+1
6,921	64,455	71,000	4,567E+1
9,234	64,455	71,000	4,596E+1
9,234	64,489	71,000	4,626E+1
11,550	64,489	71,000	4,521E+1
11,550	64,489	71,000	4,550E+1
13,865	64,406	71,000	4,910E+1
13,865	64,406	71,000	4,940E+1
13,865	64,448	71,000	4,802E+1
16,180	64,448	71,000	4,831E+1
16,180	64,472	71,000	4,861E+1
18,493	64,472	71,000	4,795E+1
18,493	64,472	71,000	4,825E+1
20,809	64,336	71,000	5,393E+1
20,809	64,336	71,000	5,423E+1
20,809	64,373	71,000	5,305E+1
23,122	64,373	71,000	5,334E+1
23,122	64,335	71,000	5,364E+1
25,439	64,335	71,000	5,549E+1
25,439	64,335	71,000	5,579E+1
27,750	64,343	71,000	5,575E+1
27,750	64,343	71,000	5,605E+1
27,750	64,219	71,000	6,125E+1
30,066	64,219	71,000	6,155E+1
30,066	64,272	71,000	6,186E+1
32,383	64,272	71,000	6,011E+1
32,383	64,299	71,000	6,041E+1
34,626	64,299	71,000	5,964E+1
34,626	64,299	71,000	5,995E+1
36,867	64,277	71,000	6,110E+1
36,867	64,277	71,000	6,140E+1
36,867	64,340	71,000	5,921E+1
39,106	64,340	71,000	5,951E+1
39,106	64,455	71,000	5,981E+1
41,349	64,455	71,000	5,556E+1
41,349	64,382	71,000	5,585E+1
43,592	64,382	71,000	5,904E+1
43,592	64,382	71,000	5,934E+1
45,831	64,287	71,000	6,340E+1
45,831	64,287	71,000	6,371E+1
45,831	64,486	71,000	5,614E+1
48,073	64,486	71,000	5,644E+1
48,073	64,331	71,000	6,285E+1
50,314	64,331	71,000	6,316E+1
50,314	64,394	71,000	6,346E+1
52,553	64,394	71,000	6,128E+1
52,553	64,394	71,000	6,158E+1
54,798	64,465	71,000	5,904E+1
54,798	64,465	71,000	5,934E+1
54,798	64,543	71,000	5,654E+1
57,037	64,543	71,000	5,684E+1
57,037	64,426	71,000	6,176E+1
59,204	64,426	71,000	6,206E+1
59,204	64,464	71,000	6,236E+1
61,369	64,464	71,000	6,117E+1
61,369	64,552	71,000	6,146E+1
63,536	64,552	71,000	5,827E+1
63,536	64,552	71,000	5,856E+1
65,703	64,516	71,000	6,026E+1
65,703	64,516	71,000	6,055E+1
67,870	64,597	71,000	5,762E+1
67,870	64,597	71,000	5,791E+1
67,870	64,496	71,000	6,224E+1
70,035	64,496	71,000	6,253E+1
70,035	64,477	71,000	6,356E+1
72,204	64,477	71,000	6,385E+1
72,204	64,553	71,000	6,415E+1
74,373	64,553	71,000	6,141E+1
74,373	64,513	71,000	6,170E+1
76,538	64,513	71,000	6,362E+1
76,538	64,513	71,000	6,391E+1
78,707	64,704	71,000	5,659E+1
78,707	64,704	71,000	5,688E+1
80,874	64,633	71,000	6,000E+1
80,874	64,633	71,000	6,028E+1
80,874	64,526	71,000	6,481E+1
83,041	64,526	71,000	6,510E+1
83,041	64,543	71,000	6,472E+1
85,206	64,543	71,000	6,501E+1
85,206	64,552	71,000	6,530E+1
87,375	64,552	71,000	6,526E+1
87,375	64,609	71,000	6,555E+1
89,544	64,609	71,000	6,356E+1
89,544	64,609	71,000	6,385E+1
91,711	64,559	71,000	6,614E+1
91,711	64,559	71,000	6,643E+1
93,879	64,642	71,000	6,343E+1
93,879	64,642	71,000	6,372E+1
93,879	64,749	71,000	5,977E+1
96,044	64,749	71,000	6,005E+1
96,044	64,706	71,000	6,202E+1
98,211	64,706	71,000	6,230E+1
98,211	64,852	71,000	6,259E+1
100,378	64,852	71,000	5,709E+1
100,378	64,874	71,000	5,736E+1
102,543	64,874	71,000	5,677E+1
102,543	64,874	71,000	5,705E+1
104,712	64,781	71,000	6,103E+1
104,712	64,781	71,000	6,131E+1
106,877	64,791	71,000	6,117E+1
106,877	64,791	71,000	6,145E+1
106,877	64,739	71,000	6,381E+1
109,044	64,739	71,000	6,410E+1
109,044	64,730	71,000	6,474E+1
111,207	64,730	71,000	6,502E+1
111,207	64,612	71,000	6,530E+1
113,374	64,612	71,000	7,022E+1
113,374	64,716	71,000	7,051E+1
115,539	64,716	71,000	6,670E+1
