t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	19,676	70,000	9,990E+1
2,037	19,676	70,000	1,000E-2
2,037	19,675	70,000	2,282E+0
4,056	19,675	70,000	4,614E+0
4,056	19,639	70,000	6,886E+0
6,074	19,639	70,000	1,057E+1
6,074	19,644	70,000	1,284E+1
8,091	19,644	70,000	1,494E+1
8,091	19,652	70,000	1,721E+1
10,111	19,652	70,000	1,915E+1
10,111	19,679	70,000	2,142E+1
12,128	19,679	70,000	2,264E+1
12,128	19,681	70,000	2,491E+1
14,146	19,681	70,000	2,713E+1
14,146	19,684	70,000	2,940E+1
16,163	19,684	70,000	3,153E+1
16,163	19,689	70,000	3,380E+1
18,183	19,689	70,000	3,590E+1
18,183	19,704	70,000	3,817E+1
20,202	19,704	70,000	3,983E+1
20,202	19,704	70,000	4,210E+1
22,220	19,704	70,000	4,437E+1
22,220	19,704	70,000	4,664E+1
24,237	19,704	70,000	4,891E+1
24,237	19,717	70,000	5,118E+1
26,256	19,717	70,000	5,294E+1
26,256	19,715	70,000	5,521E+1
28,272	19,715	70,000	5,758E+1
28,272	19,720	70,000	5,985E+1
30,293	19,720	70,000	6,190E+1
30,293	19,722	70,000	6,417E+1
32,309	19,722	70,000	6,634E+1
32,309	19,743	70,000	6,861E+1
34,341	19,743	70,000	7,005E+1
34,341	19,760	70,000	7,232E+1
36,346	19,760	70,000	7,396E+1
36,346	19,779	70,000	7,622E+1
38,365	19,779	70,000	7,770E+1
38,365	19,785	70,000	7,997E+1
40,383	19,785	70,000	8,202E+1
40,383	19,799	70,000	8,428E+1
42,404	19,799	70,000	8,602E+1
42,404	19,816	70,000	8,828E+1
44,421	19,816	70,000	8,988E+1
44,421	19,835	70,000	9,214E+1
46,437	19,835	70,000	9,364E+1
46,437	19,876	70,000	9,590E+1
48,457	19,876	70,000	9,654E+1
48,457	19,890	70,000	9,881E+1
50,474	19,890	70,000	9,990E+1
50,474	19,909	70,000	9,990E+1
52,492	19,909	70,000	9,990E+1
52,492	19,928	70,000	9,990E+1
54,511	19,928	70,000	9,990E+1
54,511	19,962	70,000	9,990E+1
56,527	19,962	70,000	9,990E+1
56,527	19,995	70,000	9,990E+1
58,546	19,995	70,000	9,990E+1
58,546	20,016	70,000	9,990E+1
60,562	20,016	70,000	9,990E+1
60,562	20,044	70,000	9,990E+1
62,581	20,044	70,000	9,990E+1
62,581	20,066	70,000	9,990E+1
64,598	20,066	70,000	9,990E+1
64,598	20,105	70,000	9,990E+1
66,618	20,105	70,000	9,990E+1
66,618	20,139	70,000	9,990E+1
68,635	20,139	70,000	9,990E+1
68,635	20,139	70,000	9,990E+1
70,663	20,187	70,000	9,990E+1
70,663	20,187	70,000	9,990E+1
72,674	20,221	70,000	9,990E+1
72,674	20,221	70,000	9,990E+1
74,692	20,244	70,000	9,990E+1
74,692	20,244	70,000	9,990E+1
76,711	20,297	70,000	9,990E+1
76,711	20,297	70,000	9,990E+1
78,729	20,336	70,000	9,990E+1
78,729	20,336	70,000	9,990E+1
80,748	20,367	70,000	9,990E+1
80,748	20,367	70,000	9,990E+1
82,764	20,446	70,000	9,990E+1
82,764	20,446	70,000	9,903E+1
84,785	20,490	70,000	9,990E+1
84,785	20,490	70,000	9,990E+1
86,801	20,552	70,000	9,990E+1
86,801	20,552	70,000	9,968E+1
88,822	20,577	70,000	9,990E+1
88,822	20,577	70,000	9,990E+1
90,839	20,607	70,000	9,990E+1
90,839	20,607	70,000	9,990E+1
92,859	20,625	70,000	9,990E+1
92,859	20,625	70,000	9,990E+1
94,876	20,656	70,000	9,990E+1
94,876	20,656	70,000	9,990E+1
96,896	20,691	70,000	9,990E+1
96,896	20,691	70,000	9,990E+1
98,915	20,764	70,000	9,990E+1
98,915	20,764	70,000	9,923E+1
100,931	20,805	70,000	9,990E+1
100,931	20,805	70,000	9,990E+1
102,950	20,858	70,000	9,990E+1
102,950	20,858	70,000	9,990E+1
104,968	20,916	70,000	9,990E+1
104,968	20,916	70,000	9,982E+1
106,987	20,938	70,000	9,990E+1
106,987	20,938	70,000	9,990E+1
109,003	20,976	70,000	9,990E+1
109,003	20,976	70,000	9,990E+1
109,003	21,058	70,000	9,990E+1
111,022	21,058	70,000	9,889E+1
111,022	21,107	70,000	9,990E+1
113,038	21,107	70,000	9,990E+1
113,038	21,134	70,000	9,990E+1
115,061	21,134	70,000	9,990E+1
