Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	31,613	9,900000E+1
0,000	25,784	31,613	9,900000E+1
2,000	25,794	31,613	9,900000E+1
3,000	25,803	31,613	9,900000E+1
4,000	25,809	31,613	9,900000E+1
5,000	25,808	31,613	9,900000E+1
6,000	25,794	31,613	9,900000E+1
7,000	25,793	31,613	9,900000E+1
8,000	25,785	31,613	9,900000E+1
9,000	25,790	31,613	9,900000E+1
10,000	25,779	31,613	9,900000E+1
11,001	25,757	31,613	9,900000E+1
12,001	25,779	31,613	9,900000E+1
13,001	25,776	31,613	9,900000E+1
14,001	25,775	31,613	9,900000E+1
15,001	25,767	31,613	9,900000E+1
16,001	25,770	31,613	9,900000E+1
17,001	25,758	31,613	9,900000E+1
18,001	25,756	31,613	9,900000E+1
19,001	25,758	31,613	9,900000E+1
20,001	25,761	31,613	9,900000E+1
21,001	25,778	31,613	9,900000E+1
22,001	25,769	31,613	9,900000E+1
23,001	25,756	31,613	9,900000E+1
24,001	25,752	31,613	9,900000E+1
25,001	25,757	31,613	9,900000E+1
26,001	25,762	31,613	9,900000E+1
27,001	25,773	31,613	9,900000E+1
28,001	25,776	31,613	9,900000E+1
29,002	25,776	31,613	9,900000E+1
30,002	25,776	31,613	9,900000E+1
31,002	25,810	31,613	9,900000E+1
32,002	25,834	31,613	9,900000E+1
33,002	25,834	31,613	9,900000E+1
34,002	25,852	31,613	9,900000E+1
35,002	25,931	31,613	9,900000E+1
36,002	25,945	31,613	9,900000E+1
37,002	25,945	31,613	9,900000E+1
38,002	25,976	31,613	9,900000E+1
39,002	26,026	31,613	9,900000E+1
40,002	26,049	31,613	9,900000E+1
41,002	26,028	31,613	9,900000E+1
42,002	26,023	31,613	9,900000E+1
43,002	26,011	31,613	9,900000E+1
44,002	26,041	31,613	9,900000E+1
45,002	26,075	31,613	9,900000E+1
46,002	26,098	31,613	9,900000E+1
47,002	26,127	31,613	-1,000000E+2
48,002	26,143	31,613	-1,000000E+2
49,002	26,143	31,613	-1,000000E+2
50,003	26,142	31,613	-1,000000E+2
51,003	26,191	31,613	-1,000000E+2
52,003	26,188	31,613	-1,000000E+2
53,003	26,187	31,613	-1,000000E+2
54,003	26,270	31,613	-1,000000E+2
55,003	26,319	31,613	-1,000000E+2
56,003	26,310	31,613	-1,000000E+2
57,003	26,290	31,613	-1,000000E+2
58,003	26,327	31,613	-1,000000E+2
59,003	26,322	31,613	-1,000000E+2
60,003	26,303	31,613	-1,000000E+2
61,003	26,306	31,613	-1,000000E+2
62,003	26,349	31,613	-1,000000E+2
63,003	26,355	31,613	-1,000000E+2
