Time [s]	PV [ºC]	SP [ºC]	Duty Cycle 
0,000	0,000	50,000	9,990000E+1
0,000	29,529	50,000	9,990000E+1
1,000	29,528	50,000	1,000000E-2
2,000	29,512	50,000	1,014472E+0
4,000	29,509	50,000	2,553015E+0
5,000	29,519	50,000	3,576239E+0
6,000	29,507	50,000	4,125030E+0
7,000	29,502	50,000	5,525278E+0
8,001	29,520	50,000	6,628898E+0
9,001	29,520	50,000	6,841213E+0
10,001	29,523	50,000	7,766847E+0
11,001	29,544	50,000	8,591575E+0
12,001	29,535	50,000	8,664286E+0
13,001	29,535	50,000	9,964325E+0
14,001	29,540	50,000	1,090819E+1
15,001	29,543	50,000	1,163415E+1
16,001	29,553	50,000	1,241933E+1
17,001	29,545	47,500	1,292698E+1
18,001	29,547	50,000	1,416718E+1
19,001	29,555	50,000	1,505114E+1
20,002	29,549	50,000	1,563788E+1
21,002	29,564	50,000	1,681858E+1
22,002	29,582	50,000	1,712787E+1
23,002	29,573	50,000	1,731760E+1
24,002	29,565	50,000	1,861685E+1
25,002	29,554	50,000	1,985525E+1
26,002	29,551	50,000	2,121379E+1
27,002	29,565	50,000	2,225586E+1
28,002	29,570	50,000	2,264428E+1
29,002	29,556	50,000	2,332927E+1
30,002	29,561	50,000	2,482717E+1
31,002	29,559	50,000	2,555124E+1
32,002	29,561	50,000	2,655337E+1
33,002	29,564	50,000	2,741690E+1
34,002	29,561	50,000	2,822094E+1
35,002	29,559	50,000	2,924276E+1
36,002	29,564	50,000	3,022600E+1
37,002	29,562	50,000	3,094991E+1
38,003	29,553	50,000	3,195188E+1
39,003	29,559	50,000	3,325111E+1
40,003	29,550	50,000	3,395642E+1
41,003	29,571	50,000	3,519640E+1
42,003	29,584	50,000	3,530749E+1
43,003	29,578	50,000	3,573463E+1
44,003	29,575	50,000	3,689424E+1
45,003	29,572	50,000	3,793524E+1
46,003	29,569	50,000	3,897638E+1
47,003	29,569	50,000	3,997803E+1
48,003	29,576	50,000	4,090052E+1
49,003	29,601	50,000	4,156548E+1
50,003	29,609	50,000	4,149711E+1
51,003	29,619	50,000	4,210213E+1
52,003	29,620	50,000	4,262569E+1
53,003	29,617	50,000	4,352615E+1
54,003	29,605	50,000	4,456525E+1
55,004	29,603	50,000	4,594128E+1
56,004	29,608	50,000	4,694143E+1
57,004	29,612	50,000	4,766430E+1
58,004	29,612	50,000	4,842656E+1
59,004	29,605	50,000	4,934714E+1
60,004	29,601	50,000	5,054507E+1
61,004	29,608	50,000	5,162446E+1
62,004	29,615	50,000	5,224836E+1
63,004	29,616	50,000	5,291155E+1
64,004	29,627	50,000	5,377256E+1
65,004	29,637	50,000	5,425709E+1
66,004	29,633	50,000	5,480055E+1
67,004	29,626	50,000	5,589830E+1
68,004	29,655	50,000	5,707550E+1
69,004	29,660	50,000	5,684639E+1
70,004	29,687	50,000	5,754710E+1
71,004	29,689	50,000	5,741549E+1
72,004	29,696	50,000	5,825344E+1
73,005	29,712	50,000	5,889318E+1
74,005	29,716	50,000	5,919581E+1
75,005	29,723	50,000	5,991378E+1
76,005	29,711	50,000	6,057210E+1
77,005	29,709	50,000	6,196313E+1
78,005	29,700	50,000	6,293867E+1
79,005	29,696	50,000	6,423126E+1
80,005	29,706	50,000	6,530636E+1
81,005	29,726	50,000	6,580802E+1
82,005	29,730	50,000	6,597059E+1
83,005	29,723	50,000	6,670866E+1
84,005	29,752	50,000	6,790034E+1
85,005	29,757	50,000	6,766685E+1
86,005	29,767	50,000	6,838300E+1
87,005	29,778	50,000	6,892062E+1
88,005	29,785	50,000	6,937856E+1
89,005	29,779	50,000	7,001428E+1
90,005	29,773	50,000	7,118459E+1
91,006	29,777	50,000	7,233539E+1
92,006	29,811	50,000	7,305061E+1
93,006	29,806	50,000	7,261655E+1
94,006	29,816	50,000	7,374604E+1
95,006	29,808	50,000	7,424182E+1
96,006	29,812	50,000	7,548995E+1
97,006	29,809	50,000	7,624410E+1
98,006	29,822	50,000	7,729342E+1
99,006	29,846	50,000	7,765041E+1
100,006	29,835	50,000	7,765016E+1
101,006	29,846	50,000	7,897623E+1
102,006	29,852	50,000	7,945089E+1
103,006	29,879	50,000	8,010336E+1
104,006	29,882	50,000	7,998380E+1
105,006	29,881	50,000	8,075275E+1
106,006	29,883	50,000	8,170076E+1
107,007	29,937	50,000	8,251014E+1
108,007	29,943	50,000	8,127975E+1
109,007	29,955	50,000	8,198660E+1
110,007	29,955	50,000	8,239698E+1
111,007	29,966	50,000	8,330297E+1
112,007	29,965	50,000	8,377131E+1
113,007	29,980	50,000	8,471552E+1
114,007	29,972	50,000	8,502583E+1
115,007	30,003	41,429	1,342101E+0
116,007	30,020	45,000	1,000000E-2
117,007	30,010	42,500	5,653294E+1
118,007	30,012	40,357	1,000000E-2
119,007	30,017	40,357	1,000000E-2
120,007	30,026	40,357	2,591891E-1
121,007	30,030	40,357	4,095401E-1
122,007	30,065	40,357	6,774645E-1
123,007	30,057	40,357	1,000000E-2
124,007	30,084	40,357	7,719120E-1
125,008	30,133	40,357	1,671839E-1
126,008	30,157	40,357	1,000000E-2
127,008	30,197	40,357	1,000000E-2
128,008	30,227	40,357	1,000000E-2
129,008	30,256	40,357	1,000000E-2
130,008	30,259	40,357	1,000000E-2
131,008	30,262	40,357	3,472282E-1
132,008	30,248	40,357	6,843210E-1
133,008	30,258	40,357	1,714673E+0
134,008	30,248	40,357	1,774927E+0
135,008	30,218	40,357	2,607370E+0
136,008	30,237	40,357	4,232693E+0
137,008	30,270	40,357	3,957465E+0
138,008	30,268	40,357	3,106874E+0
139,008	30,281	40,357	3,641583E+0
140,008	30,286	40,357	3,582043E+0
141,009	30,286	40,357	3,838897E+0
142,009	30,278	40,357	4,273828E+0
143,009	30,265	40,357	5,065793E+0
144,009	30,280	40,357	6,015723E+0
145,009	30,286	40,357	5,896862E+0
146,009	30,305	40,357	6,114139E+0
147,009	30,302	40,357	5,835863E+0
148,009	30,301	40,357	6,369014E+0
149,009	30,305	40,357	6,882444E+0
150,009	30,341	40,357	7,178472E+0
151,009	30,372	40,357	6,185678E+0
152,009	30,354	40,357	5,410065E+0
153,009	30,334	40,357	6,613279E+0
154,009	30,346	40,357	7,857424E+0
155,009	30,328	40,357	7,834549E+0
156,010	30,319	40,357	8,980000E+0
157,010	30,341	40,357	9,789448E+0
158,010	30,357	40,357	9,371002E+0
159,010	30,351	40,357	9,209562E+0
160,010	30,340	40,357	9,898404E+0
161,010	30,353	40,357	1,074646E+1
162,010	30,328	40,357	1,070346E+1
163,010	30,319	40,357	1,214574E+1
164,010	30,306	40,357	1,297500E+1
165,010	30,299	40,357	1,394336E+1
166,010	30,329	40,357	1,465477E+1
167,010	30,327	40,357	1,390044E+1
168,010	30,362	40,357	1,445227E+1
169,010	30,352	40,357	1,349856E+1
170,010	30,330	40,357	1,436588E+1
171,010	30,382	40,357	1,570915E+1
172,011	30,361	40,357	1,410156E+1
173,011	30,363	40,357	1,538406E+1
174,011	30,377	40,357	1,575619E+1
175,011	30,372	40,357	1,565321E+1
176,011	30,353	40,357	1,630153E+1
177,011	30,343	40,357	1,748543E+1
178,011	30,337	40,357	1,831356E+1
179,011	30,358	40,357	1,902325E+1
