t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
1,001	0,000	0,075	3,000E-1	3,000E+1
2,002	0,000	0,075	3,000E-1	3,000E+1
3,003	0,000	0,075	3,000E-1	3,000E+1
4,004	0,000	0,075	3,000E-1	3,000E+1
5,005	0,000	0,075	3,000E-1	3,000E+1
6,005	0,000	0,075	3,000E-1	3,000E+1
7,005	0,000	0,075	3,000E-1	3,000E+1
8,005	0,000	0,075	3,000E-1	3,000E+1
9,006	0,000	0,075	3,000E-1	3,000E+1
10,006	0,000	0,075	3,000E-1	3,000E+1
11,006	0,000	0,075	3,000E-1	3,000E+1
12,006	0,000	0,075	3,000E-1	3,000E+1
13,008	0,000	0,075	3,000E-1	3,000E+1
14,010	0,000	0,075	3,000E-1	3,000E+1
15,011	0,000	0,075	3,000E-1	3,000E+1
16,012	0,000	0,075	3,000E-1	3,000E+1
17,012	0,000	0,075	3,000E-1	3,000E+1
18,013	0,000	0,075	3,000E-1	3,000E+1
19,013	0,000	0,075	3,000E-1	3,000E+1
20,013	0,000	0,075	3,000E-1	3,000E+1
21,013	0,000	0,075	3,000E-1	3,000E+1
22,014	0,000	0,075	3,000E-1	3,000E+1
23,015	0,000	0,075	3,000E-1	3,000E+1
24,016	0,000	0,075	3,000E-1	3,000E+1
25,016	0,000	0,075	3,000E-1	3,000E+1
26,016	0,000	0,075	3,000E-1	3,000E+1
27,016	0,000	0,075	3,000E-1	3,000E+1
28,017	0,000	0,075	3,000E-1	3,000E+1
29,019	0,000	0,075	3,000E-1	3,000E+1
30,019	0,000	0,075	3,000E-1	3,000E+1
31,020	0,000	0,075	3,000E-1	3,000E+1
32,021	0,000	0,075	3,000E-1	3,000E+1
33,021	0,000	0,075	3,000E-1	3,000E+1
34,022	0,000	0,075	3,000E-1	3,000E+1
35,023	0,000	0,075	3,000E-1	3,000E+1
36,023	0,000	0,075	3,000E-1	3,000E+1
37,023	0,000	0,075	3,000E-1	3,000E+1
38,025	0,000	0,075	3,000E-1	3,000E+1
39,025	0,000	0,075	3,000E-1	3,000E+1
40,026	0,000	0,075	3,000E-1	3,000E+1
41,027	0,000	0,075	3,000E-1	3,000E+1
42,027	0,000	0,075	3,000E-1	3,000E+1
43,027	0,000	0,075	3,000E-1	3,000E+1
44,027	0,000	0,075	3,000E-1	3,000E+1
45,027	0,000	0,075	3,000E-1	3,000E+1
46,027	0,000	0,075	3,000E-1	3,000E+1
47,027	0,000	0,075	3,000E-1	3,000E+1
48,029	0,000	0,075	3,000E-1	3,000E+1
49,030	0,000	0,075	3,000E-1	3,000E+1
50,031	0,000	0,075	3,000E-1	3,000E+1
51,032	0,000	0,075	3,000E-1	3,000E+1
52,032	0,000	0,075	3,000E-1	3,000E+1
53,033	0,000	0,075	3,000E-1	3,000E+1
54,034	0,000	0,075	3,000E-1	3,000E+1
55,034	0,000	0,075	3,000E-1	3,000E+1
56,034	0,000	0,075	3,000E-1	3,000E+1
57,035	0,000	0,075	3,000E-1	3,000E+1
58,035	0,000	0,075	3,000E-1	3,000E+1
59,036	0,000	0,075	3,000E-1	3,000E+1
60,038	0,000	0,075	3,000E-1	3,000E+1
61,038	0,000	0,075	3,000E-1	3,000E+1
62,039	0,000	0,075	3,000E-1	3,000E+1
63,040	0,000	0,075	3,000E-1	3,000E+1
64,041	0,000	0,075	3,000E-1	3,000E+1
65,042	0,000	0,075	3,000E-1	3,000E+1
66,044	0,000	0,075	3,000E-1	3,000E+1
67,046	0,000	0,075	3,000E-1	3,000E+1
68,046	0,000	0,075	3,000E-1	3,000E+1
69,047	0,000	0,075	3,000E-1	3,000E+1
70,047	0,000	0,075	3,000E-1	3,000E+1
71,047	0,000	0,075	3,000E-1	3,000E+1
72,047	0,000	0,075	3,000E-1	3,000E+1
73,047	0,000	0,075	3,000E-1	3,000E+1
74,047	0,000	0,075	3,000E-1	3,000E+1
75,048	0,000	0,075	3,000E-1	3,000E+1
76,048	0,000	0,075	3,000E-1	3,000E+1
77,048	0,000	0,075	3,000E-1	3,000E+1
78,049	0,000	0,075	3,000E-1	3,000E+1
79,049	0,000	0,075	3,000E-1	3,000E+1
80,051	0,000	0,075	3,000E-1	3,000E+1
81,050	0,000	0,075	3,000E-1	3,000E+1
82,050	0,000	0,075	3,000E-1	3,000E+1
83,050	0,000	0,075	3,000E-1	3,000E+1
84,050	0,000	0,075	3,000E-1	3,000E+1
85,050	0,000	0,075	3,000E-1	3,000E+1
86,051	0,000	0,075	3,000E-1	3,000E+1
87,051	0,000	0,075	3,000E-1	3,000E+1
88,052	0,000	0,075	3,000E-1	3,000E+1
89,053	0,000	0,075	3,000E-1	3,000E+1
90,054	0,000	0,075	3,000E-1	3,000E+1
91,054	0,000	0,075	3,000E-1	3,000E+1
92,055	0,000	0,075	3,000E-1	3,000E+1
93,055	0,000	0,075	3,000E-1	3,000E+1
94,055	0,000	0,075	3,000E-1	3,000E+1
95,055	0,000	0,075	3,000E-1	3,000E+1
96,055	0,000	0,075	3,000E-1	3,000E+1
97,056	0,000	0,075	3,000E-1	3,000E+1
98,056	0,000	0,075	3,000E-1	3,000E+1
99,057	0,000	0,075	3,000E-1	3,000E+1
100,057	0,000	0,075	3,000E-1	3,000E+1
101,059	0,000	0,075	3,000E-1	3,000E+1
102,059	0,000	0,075	3,000E-1	3,000E+1
103,059	0,000	0,075	3,000E-1	3,000E+1
104,059	0,000	0,075	3,000E-1	3,000E+1
105,060	0,000	0,075	3,000E-1	3,000E+1
106,060	0,000	0,075	3,000E-1	3,000E+1
107,061	0,000	0,075	3,000E-1	3,000E+1
108,062	0,000	0,075	3,000E-1	3,000E+1
109,062	0,000	0,075	3,000E-1	3,000E+1
110,063	0,000	0,075	3,000E-1	3,000E+1
111,063	0,000	0,075	3,000E-1	3,000E+1
112,063	0,000	0,075	3,000E-1	3,000E+1
113,064	0,000	0,075	3,000E-1	3,000E+1
114,064	0,000	0,075	3,000E-1	3,000E+1
115,065	0,000	0,075	3,000E-1	3,000E+1
116,065	0,000	0,075	3,000E-1	3,000E+1
117,065	0,000	0,075	3,000E-1	3,000E+1
118,065	0,000	0,075	3,000E-1	3,000E+1
119,066	0,000	0,075	3,000E-1	3,000E+1
120,067	0,000	0,075	3,000E-1	3,000E+1
121,068	0,000	0,075	3,000E-1	3,000E+1
122,068	0,000	0,075	3,000E-1	3,000E+1
123,068	0,000	0,075	3,000E-1	3,000E+1
124,069	0,000	0,075	3,000E-1	3,000E+1
125,069	0,000	0,075	3,000E-1	3,000E+1
126,070	0,000	0,075	3,000E-1	3,000E+1
127,070	0,000	0,075	3,000E-1	3,000E+1
128,071	0,000	0,075	3,000E-1	3,000E+1
129,072	0,000	0,075	3,000E-1	3,000E+1
130,073	0,000	0,075	3,000E-1	3,000E+1
131,074	0,000	0,075	3,000E-1	3,000E+1
132,074	0,000	0,075	3,000E-1	3,000E+1
133,074	0,000	0,075	3,000E-1	3,000E+1
134,075	0,000	0,075	3,000E-1	3,000E+1
135,075	0,000	0,075	3,000E-1	3,000E+1
136,075	0,000	0,075	3,000E-1	3,000E+1
137,075	0,000	0,075	3,000E-1	3,000E+1
138,077	0,000	0,075	3,000E-1	3,000E+1
139,077	0,000	0,075	3,000E-1	3,000E+1
140,077	0,000	0,075	3,000E-1	3,000E+1
141,079	0,000	0,075	3,000E-1	3,000E+1
142,079	0,000	0,075	3,000E-1	3,000E+1
143,079	0,000	0,075	3,000E-1	3,000E+1
144,080	0,000	0,075	3,000E-1	3,000E+1
145,080	0,000	0,075	3,000E-1	3,000E+1
146,080	0,000	0,075	3,000E-1	3,000E+1
147,080	0,000	0,075	3,000E-1	3,000E+1
148,080	0,000	0,075	3,000E-1	3,000E+1
149,080	0,000	0,075	3,000E-1	3,000E+1
150,080	0,000	0,075	3,000E-1	3,000E+1
151,080	0,000	0,075	3,000E-1	3,000E+1
152,081	0,000	0,075	3,000E-1	3,000E+1
153,081	0,000	0,075	3,000E-1	3,000E+1
154,081	0,000	0,075	3,000E-1	3,000E+1
155,081	0,000	0,075	3,000E-1	3,000E+1
156,082	0,000	0,075	3,000E-1	3,000E+1
157,082	0,000	0,075	3,000E-1	3,000E+1
158,082	0,000	0,075	3,000E-1	3,000E+1
159,082	0,000	0,075	3,000E-1	3,000E+1
160,082	0,000	0,075	3,000E-1	3,000E+1
161,082	0,000	0,075	3,000E-1	3,000E+1
162,083	0,000	0,075	3,000E-1	3,000E+1
163,083	0,000	0,075	3,000E-1	3,000E+1
164,083	0,000	0,075	3,000E-1	3,000E+1
165,084	0,000	0,075	3,000E-1	3,000E+1
166,084	0,000	0,075	3,000E-1	3,000E+1
167,084	0,000	0,075	3,000E-1	3,000E+1
168,084	0,000	0,075	3,000E-1	3,000E+1
169,084	0,000	0,075	3,000E-1	3,000E+1
170,085	0,000	0,075	3,000E-1	3,000E+1
171,086	0,000	0,075	3,000E-1	3,000E+1
172,086	0,000	0,075	3,000E-1	3,000E+1
173,097	0,000	0,075	3,000E-1	3,000E+1
174,097	0,000	0,075	3,000E-1	3,000E+1
175,097	0,000	0,075	3,000E-1	3,000E+1
176,097	0,000	0,075	3,000E-1	3,000E+1
177,097	0,000	0,075	3,000E-1	3,000E+1
178,097	0,000	0,075	3,000E-1	3,000E+1
179,097	0,000	0,075	3,000E-1	3,000E+1
180,097	0,000	0,075	3,000E-1	3,000E+1
181,097	0,000	0,075	3,000E-1	3,000E+1
182,097	0,000	0,075	3,000E-1	3,000E+1
183,097	0,000	0,075	3,000E-1	3,000E+1
184,097	0,000	0,075	3,000E-1	3,000E+1
185,097	0,000	0,075	3,000E-1	3,000E+1
186,098	0,000	0,075	3,000E-1	3,000E+1
187,098	0,000	0,075	3,000E-1	3,000E+1
188,098	0,000	0,075	3,000E-1	3,000E+1
189,099	0,000	0,075	3,000E-1	3,000E+1
190,100	0,000	0,075	3,000E-1	3,000E+1
191,101	0,000	0,075	3,000E-1	3,000E+1
192,102	0,000	0,075	3,000E-1	3,000E+1
193,104	0,000	0,075	3,000E-1	3,000E+1
194,104	0,000	0,075	3,000E-1	3,000E+1
195,104	0,000	0,075	3,000E-1	3,000E+1
196,104	0,000	0,075	3,000E-1	3,000E+1
