t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
1,988	27,293	70,000	1,000E-2
1,988	27,293	70,000	1,938E+0
1,988	27,284	70,000	4,223E+0
4,006	27,284	70,000	6,154E+0
4,006	27,242	70,000	9,725E+0
6,025	27,242	70,000	1,166E+1
6,025	27,219	70,000	1,452E+1
8,045	27,219	70,000	1,645E+1
8,045	27,181	70,000	1,989E+1
10,064	27,181	70,000	2,182E+1
10,064	27,221	70,000	2,217E+1
12,082	27,221	70,000	2,410E+1
12,082	27,229	70,000	2,574E+1
14,103	27,229	70,000	2,767E+1
14,103	27,212	70,000	3,027E+1
16,122	27,212	70,000	3,220E+1
16,122	27,192	70,000	3,491E+1
18,140	27,192	70,000	3,684E+1
18,140	27,179	70,000	3,929E+1
20,160	27,179	70,000	4,122E+1
20,160	27,144	70,000	4,454E+1
22,177	27,144	70,000	4,648E+1
22,177	27,192	70,000	4,649E+1
24,197	27,192	70,000	4,842E+1
24,197	27,187	70,000	5,055E+1
26,216	27,187	70,000	5,249E+1
26,216	27,182	70,000	5,464E+1
28,236	27,182	70,000	5,657E+1
28,236	27,207	70,000	5,749E+1
30,253	27,207	70,000	5,943E+1
30,253	27,177	70,000	6,257E+1
32,271	27,177	70,000	6,450E+1
32,271	27,157	70,000	6,725E+1
34,288	27,157	70,000	6,918E+1
34,288	27,169	70,000	7,064E+1
36,308	27,169	70,000	7,257E+1
36,308	27,166	70,000	7,459E+1
38,325	27,166	70,000	7,652E+1
38,325	27,167	70,000	7,844E+1
40,343	27,167	70,000	8,037E+1
40,343	27,164	70,000	8,242E+1
42,362	27,164	70,000	8,436E+1
42,362	27,122	70,000	8,796E+1
44,380	27,122	70,000	8,989E+1
44,380	27,141	70,000	9,107E+1
46,401	27,141	70,000	9,301E+1
46,401	27,129	70,000	9,544E+1
48,417	27,129	70,000	9,738E+1
48,417	27,151	70,000	9,840E+1
50,436	27,151	70,000	9,990E+1
50,436	27,128	70,000	9,990E+1
52,454	27,128	70,000	9,990E+1
52,454	27,131	70,000	9,990E+1
54,471	27,131	70,000	9,990E+1
54,471	27,109	70,000	9,990E+1
56,489	27,109	70,000	9,990E+1
56,489	27,082	70,000	9,990E+1
58,507	27,082	71,000	9,990E+1
58,507	27,073	71,000	9,990E+1
60,526	27,073	71,000	9,990E+1
60,526	27,073	71,000	9,990E+1
62,543	27,073	71,000	9,990E+1
62,543	27,089	71,000	9,990E+1
64,561	27,089	71,000	9,990E+1
64,561	27,094	71,000	9,990E+1
66,578	27,094	71,000	9,990E+1
66,578	27,090	71,000	9,990E+1
68,598	27,090	71,000	9,990E+1
68,598	27,065	71,000	9,990E+1
70,616	27,065	71,000	9,990E+1
70,616	27,065	71,000	9,990E+1
72,633	27,065	71,000	9,990E+1
72,633	27,076	71,000	9,990E+1
74,653	27,076	71,000	9,990E+1
74,653	27,076	71,000	9,990E+1
76,670	27,087	71,000	9,990E+1
76,670	27,087	71,000	9,990E+1
78,689	27,080	71,000	9,990E+1
78,689	27,080	71,000	9,990E+1
80,707	27,093	71,000	9,990E+1
80,707	27,093	71,000	9,990E+1
82,725	27,092	71,000	9,990E+1
82,725	27,092	71,000	9,990E+1
84,744	27,081	71,000	9,990E+1
84,744	27,081	71,000	9,990E+1
86,765	27,112	71,000	9,990E+1
86,765	27,112	71,000	9,990E+1
88,783	27,095	71,000	9,990E+1
88,783	27,095	71,000	9,990E+1
90,799	27,119	71,000	9,990E+1
90,799	27,119	71,000	9,990E+1
92,820	27,094	71,000	9,990E+1
92,820	27,094	71,000	9,990E+1
94,836	27,087	71,000	9,990E+1
94,836	27,087	71,000	9,990E+1
96,855	27,073	71,000	9,990E+1
96,855	27,073	71,000	9,990E+1
98,875	27,098	71,000	9,990E+1
98,875	27,098	71,000	9,990E+1
100,894	27,122	71,000	9,990E+1
100,894	27,122	71,000	9,990E+1
102,914	27,069	71,000	9,990E+1
102,914	27,069	71,000	9,990E+1
104,931	27,085	71,000	9,990E+1
104,931	27,085	71,000	9,990E+1
106,951	27,066	71,000	9,990E+1
106,951	27,066	71,000	9,990E+1
108,968	27,098	71,000	9,990E+1
108,968	27,098	71,000	9,990E+1
110,988	27,166	71,000	9,919E+1
110,988	27,166	71,000	9,990E+1
113,007	27,210	71,000	9,990E+1
113,007	27,210	71,000	9,990E+1
115,025	27,256	71,000	9,990E+1
115,025	27,256	71,000	9,990E+1
