t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
2,142	66,062	66,077	6,478E+1	6,533E+1	6,487E+1	6,188E+1	6,827E+1	6,869E+1	6,287E+1	6,550E+1	6,642E+1	6,037E+1
2,142	66,062	66,077	6,478E+1	6,533E+1	6,487E+1	6,188E+1	6,827E+1	6,869E+1	6,287E+1	6,550E+1	6,642E+1	6,037E+1
4,311	66,023	66,038	6,469E+1	6,528E+1	6,483E+1	6,181E+1	6,828E+1	6,870E+1	6,284E+1	6,547E+1	6,642E+1	6,030E+1
4,311	66,023	66,038	6,469E+1	6,528E+1	6,483E+1	6,181E+1	6,828E+1	6,870E+1	6,284E+1	6,547E+1	6,642E+1	6,030E+1
6,476	66,023	66,038	6,466E+1	6,527E+1	6,479E+1	6,187E+1	6,830E+1	6,870E+1	6,280E+1	6,543E+1	6,639E+1	6,034E+1
6,476	66,023	66,038	6,466E+1	6,527E+1	6,479E+1	6,187E+1	6,830E+1	6,870E+1	6,280E+1	6,543E+1	6,639E+1	6,034E+1
8,643	65,998	66,013	6,464E+1	6,522E+1	6,479E+1	6,183E+1	6,828E+1	6,868E+1	6,279E+1	6,542E+1	6,638E+1	6,027E+1
8,643	65,998	66,013	6,464E+1	6,522E+1	6,479E+1	6,183E+1	6,828E+1	6,868E+1	6,279E+1	6,542E+1	6,638E+1	6,027E+1
10,808	65,977	65,992	6,459E+1	6,520E+1	6,480E+1	6,189E+1	6,823E+1	6,865E+1	6,276E+1	6,547E+1	6,637E+1	6,044E+1
10,808	65,977	65,992	6,459E+1	6,520E+1	6,480E+1	6,189E+1	6,823E+1	6,865E+1	6,276E+1	6,547E+1	6,637E+1	6,044E+1
12,975	65,926	65,941	6,459E+1	6,521E+1	6,479E+1	6,184E+1	6,816E+1	6,864E+1	6,276E+1	6,544E+1	6,637E+1	6,028E+1
12,975	65,926	65,941	6,459E+1	6,521E+1	6,479E+1	6,184E+1	6,816E+1	6,864E+1	6,276E+1	6,544E+1	6,637E+1	6,028E+1
12,975	65,926	65,941	6,459E+1	6,521E+1	6,479E+1	6,184E+1	6,816E+1	6,864E+1	6,276E+1	6,544E+1	6,637E+1	6,028E+1
