t	PV [ºC]	SP [ºC]	MV[A]
0,000	66,169	70,000	0,000E+0
0,000	66,169	70,000	0,000E+0
0,000	66,169	70,000	0,000E+0
2,142	66,062	70,000	0,000E+0
2,142	66,062	70,000	0,000E+0
4,311	66,023	70,000	0,000E+0
4,311	66,023	70,000	0,000E+0
6,476	66,023	70,000	0,000E+0
6,476	66,023	70,000	0,000E+0
8,643	65,998	70,000	0,000E+0
8,643	65,998	70,000	0,000E+0
10,808	65,977	70,000	0,000E+0
10,808	65,977	70,000	0,000E+0
12,975	65,926	70,000	0,000E+0
12,975	65,926	70,000	0,000E+0
12,975	65,926	70,000	0,000E+0
15,140	65,911	70,000	0,000E+0
15,140	65,911	70,000	0,000E+0
17,307	65,896	70,000	0,000E+0
17,307	65,896	70,000	0,000E+0
19,474	65,876	70,000	0,000E+0
19,474	65,876	70,000	0,000E+0
21,639	65,835	70,000	0,000E+0
21,639	65,835	70,000	0,000E+0
23,804	65,795	70,000	0,000E+0
23,804	65,795	70,000	0,000E+0
25,971	65,835	70,000	0,000E+0
25,971	65,835	70,000	0,000E+0
25,971	65,835	70,000	0,000E+0
28,138	65,801	70,000	0,000E+0
28,138	65,801	70,000	0,000E+0
30,303	65,823	70,000	0,000E+0
30,303	65,823	70,000	0,000E+0
32,470	65,789	70,000	0,000E+0
32,470	65,789	70,000	0,000E+0
34,635	65,786	70,000	0,000E+0
34,635	65,786	70,000	0,000E+0
36,802	65,749	70,000	0,000E+0
36,802	65,749	70,000	0,000E+0
38,967	65,784	70,000	0,000E+0
38,967	65,784	70,000	0,000E+0
38,967	65,784	70,000	0,000E+0
41,132	65,730	70,000	0,000E+0
41,132	65,730	70,000	0,000E+0
43,299	65,757	70,000	0,000E+0
43,299	65,757	70,000	0,000E+0
45,469	65,744	70,000	0,000E+0
45,469	65,744	70,000	0,000E+0
47,633	65,692	70,000	0,000E+0
47,633	65,692	70,000	0,000E+0
49,802	65,711	70,000	0,000E+0
49,802	65,711	70,000	0,000E+0
51,972	65,744	70,000	0,000E+0
51,972	65,744	70,000	0,000E+0
51,972	65,744	70,000	0,000E+0
54,139	65,716	70,000	0,000E+0
54,139	65,716	70,000	0,000E+0
56,306	65,731	70,000	0,000E+0
56,306	65,731	70,000	0,000E+0
58,473	65,724	70,000	0,000E+0
58,473	65,724	70,000	0,000E+0
60,638	65,706	70,000	0,000E+0
60,638	65,706	70,000	0,000E+0
62,805	65,679	70,000	0,000E+0
62,805	65,679	70,000	0,000E+0
64,972	65,606	70,000	0,000E+0
64,972	65,606	70,000	0,000E+0
64,972	65,606	70,000	0,000E+0
67,139	65,609	70,000	0,000E+0
67,139	65,609	70,000	0,000E+0
69,308	65,562	70,000	0,000E+0
69,308	65,562	70,000	0,000E+0
71,473	65,532	70,000	0,000E+0
71,473	65,532	70,000	0,000E+0
73,640	65,547	70,000	0,000E+0
73,640	65,547	70,000	0,000E+0
75,803	65,567	70,000	0,000E+0
75,803	65,567	70,000	0,000E+0
77,968	65,569	70,000	0,000E+0
77,968	65,569	70,000	0,000E+0
77,968	65,569	70,000	0,000E+0
80,135	65,601	70,000	0,000E+0
80,135	65,601	70,000	0,000E+0
82,300	65,586	70,000	0,000E+0
82,300	65,586	70,000	0,000E+0
84,467	65,569	70,000	0,000E+0
84,467	65,569	70,000	0,000E+0
86,628	65,633	70,000	0,000E+0
86,628	65,633	70,000	0,000E+0
