t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	68,201	70,000	1,000E-2
2,142	68,201	70,000	9,123E-2
2,142	68,082	70,000	4,888E+0
4,311	68,082	70,000	4,974E+0
4,311	68,185	70,000	5,061E+0
6,476	68,185	70,000	1,046E+0
6,476	68,185	70,000	1,128E+0
8,643	68,087	70,000	5,113E+0
8,643	68,087	70,000	5,199E+0
10,808	68,077	70,000	5,682E+0
10,808	68,077	70,000	5,769E+0
12,975	67,883	70,000	1,352E+1
12,975	67,883	70,000	1,362E+1
12,975	67,919	70,000	1,231E+1
15,140	67,919	70,000	1,240E+1
15,140	67,993	70,000	9,543E+0
17,307	67,993	70,000	9,634E+0
17,307	67,970	70,000	9,724E+0
19,474	67,970	70,000	1,075E+1
19,474	67,972	70,000	1,084E+1
21,639	67,972	70,000	1,085E+1
21,639	67,972	70,000	1,094E+1
23,804	67,912	70,000	1,339E+1
23,804	67,912	70,000	1,349E+1
25,971	67,970	70,000	1,130E+1
25,971	67,970	70,000	1,139E+1
25,971	67,954	70,000	1,210E+1
28,138	67,954	70,000	1,219E+1
28,138	68,033	70,000	9,173E+0
30,303	68,033	70,000	9,262E+0
30,303	68,236	70,000	9,351E+0
32,470	68,236	70,000	1,396E+0
32,470	68,209	70,000	1,476E+0
34,635	68,209	70,000	2,605E+0
34,635	68,209	70,000	2,686E+0
36,802	68,140	70,000	5,521E+0
36,802	68,140	70,000	5,605E+0
38,967	68,226	70,000	2,281E+0
38,967	68,226	70,000	2,361E+0
38,967	68,112	70,000	6,939E+0
41,132	68,112	70,000	7,024E+0
41,132	68,031	70,000	1,034E+1
43,299	68,031	70,000	1,043E+1
43,299	67,892	70,000	1,052E+1
45,469	67,892	70,000	1,611E+1
45,469	67,793	70,000	1,621E+1
47,633	67,793	70,000	2,021E+1
47,633	67,793	70,000	2,031E+1
49,802	67,853	70,000	1,805E+1
49,802	67,853	70,000	1,814E+1
51,972	67,707	70,000	2,403E+1
51,972	67,707	70,000	2,413E+1
51,972	67,731	70,000	2,330E+1
54,139	67,731	70,000	2,340E+1
54,139	67,768	70,000	2,202E+1
56,306	67,768	70,000	2,212E+1
56,306	67,803	70,000	2,222E+1
58,473	67,803	70,000	2,092E+1
58,473	67,879	70,000	2,102E+1
60,638	67,879	70,000	1,814E+1
60,638	67,879	70,000	1,824E+1
62,805	67,900	70,000	1,746E+1
62,805	67,900	70,000	1,756E+1
64,972	67,858	70,000	1,934E+1
64,972	67,858	70,000	1,943E+1
64,972	67,841	70,000	2,020E+1
67,139	67,841	70,000	2,030E+1
67,139	67,819	70,000	2,127E+1
69,308	67,819	70,000	2,137E+1
69,308	67,868	70,000	2,147E+1
71,473	67,868	70,000	1,960E+1
71,473	67,883	70,000	1,970E+1
73,640	67,883	70,000	1,920E+1
73,640	67,883	70,000	1,930E+1
75,803	67,909	70,000	1,838E+1
75,803	67,909	70,000	1,848E+1
77,968	67,698	70,000	2,691E+1
77,968	67,698	70,000	2,702E+1
77,968	67,554	70,000	3,285E+1
80,135	67,554	70,000	3,296E+1
80,135	67,532	70,000	3,392E+1
82,300	67,532	70,000	3,403E+1
82,300	67,496	70,000	3,414E+1
84,467	67,496	70,000	3,568E+1
84,467	67,495	70,000	3,579E+1
86,628	67,495	70,000	3,597E+1
86,628	67,495	70,000	3,608E+1
88,797	67,558	70,000	3,370E+1
88,797	67,558	70,000	3,381E+1
90,962	67,579	70,000	3,310E+1
90,962	67,579	70,000	3,321E+1
90,962	67,568	70,000	3,374E+1
93,129	67,568	70,000	3,385E+1
93,129	67,466	70,000	3,800E+1
95,296	67,466	70,000	3,811E+1
95,296	67,425	70,000	3,823E+1
97,464	67,425	70,000	3,995E+1
97,464	67,449	70,000	4,006E+1
99,629	67,449	70,000	3,925E+1
99,629	67,449	70,000	3,936E+1
101,796	67,482	70,000	3,819E+1
101,796	67,482	70,000	3,831E+1
103,961	67,463	70,000	3,917E+1
103,961	67,463	70,000	3,929E+1
103,961	67,411	70,000	4,142E+1
106,128	67,411	70,000	4,154E+1
106,128	67,594	70,000	3,444E+1
108,295	67,594	70,000	3,455E+1
108,295	67,453	70,000	3,466E+1
110,462	67,453	70,000	4,034E+1
110,462	67,276	70,000	4,045E+1
112,625	67,276	70,000	4,758E+1
112,625	67,276	70,000	4,770E+1
114,794	67,388	70,000	4,339E+1
114,794	67,388	70,000	4,351E+1
