t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	3,000E+3
0,002	1,072	1,070	0,000E+0	0,000E+0	3,000E+3
1,003	1,072	0,820	0,000E+0	0,000E+0	3,000E+3
2,005	1,072	1,050	0,000E+0	0,000E+0	3,000E+3
3,004	1,072	1,400	0,000E+0	0,000E+0	3,000E+3
4,005	1,072	1,110	0,000E+0	0,000E+0	3,000E+3
5,004	1,072	1,110	0,000E+0	0,000E+0	3,000E+3
6,005	1,090	1,130	0,000E+0	0,000E+0	3,000E+3
7,004	1,090	1,050	0,000E+0	0,000E+0	3,000E+3
8,004	1,090	1,090	0,000E+0	0,000E+0	3,000E+3
9,006	1,090	1,060	0,000E+0	0,000E+0	3,000E+3
10,005	1,090	1,130	0,000E+0	0,000E+0	3,000E+3
12,006	1,097	1,110	0,000E+0	0,000E+0	3,000E+3
12,006	1,097	1,110	0,000E+0	0,000E+0	3,000E+3
13,007	1,097	0,920	0,000E+0	0,000E+0	3,000E+3
14,008	1,097	1,070	0,000E+0	0,000E+0	3,000E+3
15,008	1,097	1,160	0,000E+0	0,000E+0	3,000E+3
16,009	1,097	1,130	0,000E+0	0,000E+0	3,000E+3
17,008	1,070	1,070	0,000E+0	0,000E+0	3,000E+3
18,009	1,070	1,110	0,000E+0	0,000E+0	3,000E+3
19,008	1,070	1,110	0,000E+0	0,000E+0	3,000E+3
20,009	1,070	1,160	0,000E+0	0,000E+0	3,000E+3
21,009	1,070	1,640	0,000E+0	0,000E+0	3,000E+3
22,008	1,070	1,360	0,000E+0	0,000E+0	3,000E+3
23,009	1,234	0,890	0,000E+0	0,000E+0	3,000E+3
24,008	1,234	0,890	0,000E+0	0,000E+0	3,000E+3
25,009	1,234	1,040	0,000E+0	0,000E+0	3,000E+3
26,008	1,234	1,110	0,000E+0	0,000E+0	3,000E+3
27,009	1,234	1,110	0,000E+0	0,000E+0	3,000E+3
28,009	1,234	1,110	0,000E+0	0,000E+0	3,000E+3
29,008	1,019	0,860	0,000E+0	0,000E+0	3,000E+3
30,009	1,019	1,090	0,000E+0	0,000E+0	3,000E+3
31,008	1,019	1,040	0,000E+0	0,000E+0	3,000E+3
32,009	1,019	1,100	0,000E+0	0,000E+0	3,000E+3
33,008	1,019	1,110	0,000E+0	0,000E+0	3,000E+3
34,010	1,097	1,120	0,000E+0	0,000E+0	3,000E+3
35,010	1,097	1,120	0,000E+0	0,000E+0	3,000E+3
36,009	1,097	1,030	0,000E+0	0,000E+0	3,000E+3
37,011	1,097	1,250	0,000E+0	0,000E+0	3,000E+3
