t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
1,003	0,000	0,075	3,000E-1	3,000E+1
2,002	0,000	0,075	3,000E-1	3,000E+1
3,003	0,000	0,075	3,000E-1	3,000E+1
4,004	0,000	0,075	3,000E-1	3,000E+1
5,006	0,000	0,075	3,000E-1	3,000E+1
6,005	0,000	0,075	3,000E-1	3,000E+1
7,005	0,000	0,075	3,000E-1	3,000E+1
8,006	0,000	0,075	3,000E-1	3,000E+1
9,005	0,000	0,075	3,000E-1	3,000E+1
10,006	0,000	0,075	3,000E-1	3,000E+1
11,006	0,000	0,075	3,000E-1	3,000E+1
12,007	0,000	0,075	3,000E-1	3,000E+1
13,006	0,000	0,075	3,000E-1	3,000E+1
14,006	0,000	0,075	3,000E-1	3,000E+1
15,008	0,000	0,075	3,000E-1	3,000E+1
16,007	0,000	0,075	3,000E-1	3,000E+1
17,008	0,000	0,075	3,000E-1	3,000E+1
18,007	0,000	0,075	3,000E-1	3,000E+1
19,008	0,000	0,075	3,000E-1	3,000E+1
20,008	0,000	0,075	3,000E-1	3,000E+1
21,008	0,000	0,075	3,000E-1	3,000E+1
22,009	0,000	0,075	3,000E-1	3,000E+1
23,008	0,000	0,075	3,000E-1	3,000E+1
24,009	0,000	0,075	3,000E-1	3,000E+1
25,009	0,000	0,075	3,000E-1	3,000E+1
26,009	0,000	0,075	3,000E-1	3,000E+1
27,010	0,000	0,075	3,000E-1	3,000E+1
28,009	0,000	0,075	3,000E-1	3,000E+1
29,010	0,000	0,075	3,000E-1	3,000E+1
30,009	0,000	0,075	3,000E-1	3,000E+1
31,010	0,000	0,075	3,000E-1	3,000E+1
32,009	0,000	0,075	3,000E-1	3,000E+1
33,009	0,000	0,075	3,000E-1	3,000E+1
34,010	0,000	0,075	3,000E-1	3,000E+1
35,009	0,000	0,075	3,000E-1	3,000E+1
36,010	0,000	0,075	3,000E-1	3,000E+1
37,009	0,000	0,075	3,000E-1	3,000E+1
38,010	0,000	0,075	3,000E-1	3,000E+1
39,009	0,000	0,075	3,000E-1	3,000E+1
40,009	0,000	0,075	3,000E-1	3,000E+1
41,010	0,000	0,075	3,000E-1	3,000E+1
42,009	0,000	0,075	3,000E-1	3,000E+1
43,010	0,000	0,075	3,000E-1	3,000E+1
44,010	0,000	0,075	3,000E-1	3,000E+1
45,011	0,000	0,075	3,000E-1	3,000E+1
46,010	0,000	0,075	3,000E-1	3,000E+1
47,010	0,000	0,075	3,000E-1	3,000E+1
48,011	0,000	0,075	3,000E-1	3,000E+1
49,010	0,000	0,075	3,000E-1	3,000E+1
50,011	0,000	0,075	3,000E-1	3,000E+1
51,010	0,000	0,075	3,000E-1	3,000E+1
52,011	0,000	0,075	3,000E-1	3,000E+1
53,012	0,000	0,075	3,000E-1	3,000E+1
54,011	0,000	0,075	3,000E-1	3,000E+1
55,012	0,000	0,075	3,000E-1	3,000E+1
56,011	0,000	0,075	3,000E-1	3,000E+1
57,012	0,000	0,075	3,000E-1	3,000E+1
58,012	0,000	0,075	3,000E-1	3,000E+1
59,012	0,000	0,075	3,000E-1	3,000E+1
60,013	0,000	0,075	3,000E-1	3,000E+1
61,012	0,000	0,075	3,000E-1	3,000E+1
62,013	0,000	0,075	3,000E-1	3,000E+1
63,013	0,000	0,075	3,000E-1	3,000E+1
64,014	0,000	0,075	3,000E-1	3,000E+1
65,013	0,000	0,075	3,000E-1	3,000E+1
66,013	0,000	0,075	3,000E-1	3,000E+1
67,014	0,000	0,075	3,000E-1	3,000E+1
68,013	0,000	0,075	3,000E-1	3,000E+1
69,014	0,000	0,075	3,000E-1	3,000E+1
70,013	0,000	0,075	3,000E-1	3,000E+1
71,014	0,000	0,075	3,000E-1	3,000E+1
72,013	0,000	0,075	3,000E-1	3,000E+1
73,013	0,000	0,075	3,000E-1	3,000E+1
74,015	0,000	0,075	3,000E-1	3,000E+1
75,015	0,000	0,075	3,000E-1	3,000E+1
76,017	0,000	0,075	3,000E-1	3,000E+1
77,016	0,000	0,075	3,000E-1	3,000E+1
78,017	0,000	0,075	3,000E-1	3,000E+1
79,016	0,000	0,075	3,000E-1	3,000E+1
80,016	0,000	0,075	3,000E-1	3,000E+1
81,017	0,000	0,075	3,000E-1	3,000E+1
82,017	0,000	0,075	3,000E-1	3,000E+1
83,018	0,000	0,075	3,000E-1	3,000E+1
84,017	0,000	0,075	3,000E-1	3,000E+1
85,018	0,000	0,075	3,000E-1	3,000E+1
86,018	0,000	0,075	3,000E-1	3,000E+1
87,017	0,000	0,075	3,000E-1	3,000E+1
88,018	0,000	0,075	3,000E-1	3,000E+1
89,017	0,000	0,075	3,000E-1	3,000E+1
90,018	0,000	0,075	3,000E-1	3,000E+1
91,017	0,000	0,075	3,000E-1	3,000E+1
92,018	0,000	0,075	3,000E-1	3,000E+1
93,018	0,000	0,075	3,000E-1	3,000E+1
94,017	0,000	0,075	3,000E-1	3,000E+1
95,018	0,000	0,075	3,000E-1	3,000E+1
96,017	0,000	0,075	3,000E-1	3,000E+1
97,018	0,000	0,075	3,000E-1	3,000E+1
98,017	0,000	0,075	3,000E-1	3,000E+1
99,017	0,000	0,075	3,000E-1	3,000E+1
100,018	0,000	0,075	3,000E-1	3,000E+1
101,017	0,000	0,075	3,000E-1	3,000E+1
102,018	0,000	0,075	3,000E-1	3,000E+1
103,017	0,000	0,075	3,000E-1	3,000E+1
104,018	0,000	0,075	3,000E-1	3,000E+1
105,017	0,000	0,075	3,000E-1	3,000E+1
106,017	0,000	0,075	3,000E-1	3,000E+1
107,018	0,000	0,075	3,000E-1	3,000E+1
108,017	0,000	0,075	3,000E-1	3,000E+1
109,018	0,000	0,075	3,000E-1	3,000E+1
110,017	0,000	0,075	3,000E-1	3,000E+1
111,018	0,000	0,075	3,000E-1	3,000E+1
112,017	0,000	0,075	3,000E-1	3,000E+1
113,017	0,000	0,075	3,000E-1	3,000E+1
114,018	0,000	0,075	3,000E-1	3,000E+1
115,017	0,000	0,075	3,000E-1	3,000E+1
116,019	0,000	0,075	3,000E-1	3,000E+1
117,018	0,000	0,075	3,000E-1	3,000E+1
118,019	0,000	0,075	3,000E-1	3,000E+1
119,019	0,000	0,075	3,000E-1	3,000E+1
120,018	0,000	0,075	3,000E-1	3,000E+1
121,019	0,000	0,075	3,000E-1	3,000E+1
122,018	0,000	0,075	3,000E-1	3,000E+1
123,019	0,000	0,075	3,000E-1	3,000E+1
124,019	0,000	0,075	3,000E-1	3,000E+1
125,020	0,000	0,075	3,000E-1	3,000E+1
126,020	0,000	0,075	3,000E-1	3,000E+1
127,019	0,000	0,075	3,000E-1	3,000E+1
128,020	0,000	0,075	3,000E-1	3,000E+1
129,019	0,000	0,075	3,000E-1	3,000E+1
130,020	0,000	0,075	3,000E-1	3,000E+1
131,019	0,000	0,075	3,000E-1	3,000E+1
132,019	0,000	0,075	3,000E-1	3,000E+1
133,020	0,000	0,075	3,000E-1	3,000E+1
134,019	0,000	0,075	3,000E-1	3,000E+1
135,020	0,000	0,075	3,000E-1	3,000E+1
136,019	0,000	0,075	3,000E-1	3,000E+1
137,020	0,000	0,075	3,000E-1	3,000E+1
138,019	0,000	0,075	3,000E-1	3,000E+1
139,019	0,000	0,075	3,000E-1	3,000E+1
140,020	0,000	0,075	3,000E-1	3,000E+1
141,019	0,000	0,075	3,000E-1	3,000E+1
142,020	0,000	0,075	3,000E-1	3,000E+1
143,019	0,000	0,075	3,000E-1	3,000E+1
144,020	0,000	0,075	3,000E-1	3,000E+1
145,019	0,000	0,075	3,000E-1	3,000E+1
146,019	0,000	0,075	3,000E-1	3,000E+1
147,020	0,000	0,075	3,000E-1	3,000E+1
148,020	0,000	0,075	3,000E-1	3,000E+1
149,021	0,000	0,075	3,000E-1	3,000E+1
150,020	0,000	0,075	3,000E-1	3,000E+1
151,021	0,000	0,075	3,000E-1	3,000E+1
152,022	0,000	0,075	3,000E-1	3,000E+1
153,021	0,000	0,075	3,000E-1	3,000E+1
154,023	0,000	0,075	3,000E-1	3,000E+1
155,022	0,000	0,075	3,000E-1	3,000E+1
156,023	0,000	0,075	3,000E-1	3,000E+1
157,023	0,000	0,075	3,000E-1	3,000E+1
158,025	0,000	0,075	3,000E-1	3,000E+1
159,025	0,000	0,075	3,000E-1	3,000E+1
160,025	0,000	0,075	3,000E-1	3,000E+1
161,026	0,000	0,075	3,000E-1	3,000E+1
162,027	0,000	0,075	3,000E-1	3,000E+1
163,029	0,000	0,075	3,000E-1	3,000E+1
164,028	0,000	0,075	3,000E-1	3,000E+1
165,028	0,000	0,075	3,000E-1	3,000E+1
166,029	0,000	0,075	3,000E-1	3,000E+1
167,028	0,000	0,075	3,000E-1	3,000E+1
168,029	0,000	0,075	3,000E-1	3,000E+1
169,028	0,000	0,075	3,000E-1	3,000E+1
170,029	0,000	0,075	3,000E-1	3,000E+1
171,028	0,000	0,075	3,000E-1	3,000E+1
172,028	0,000	0,075	3,000E-1	3,000E+1
173,029	0,000	0,075	3,000E-1	3,000E+1
174,028	0,000	0,075	3,000E-1	3,000E+1
175,029	0,000	0,075	3,000E-1	3,000E+1
176,028	0,000	0,075	3,000E-1	3,000E+1
177,029	0,000	0,075	3,000E-1	3,000E+1
178,029	0,000	0,075	3,000E-1	3,000E+1
179,029	0,000	0,075	3,000E-1	3,000E+1
180,030	0,000	0,075	3,000E-1	3,000E+1
181,029	0,000	0,075	3,000E-1	3,000E+1
182,030	0,000	0,075	3,000E-1	3,000E+1
183,029	0,000	0,075	3,000E-1	3,000E+1
184,031	0,000	0,075	3,000E-1	3,000E+1
185,031	0,000	0,075	3,000E-1	3,000E+1
186,030	0,000	0,075	3,000E-1	3,000E+1
187,031	0,000	0,075	3,000E-1	3,000E+1
188,030	0,000	0,075	3,000E-1	3,000E+1
189,031	0,000	0,075	3,000E-1	3,000E+1
190,031	0,000	0,075	3,000E-1	3,000E+1
191,032	0,000	0,075	3,000E-1	3,000E+1
192,033	0,000	0,075	3,000E-1	3,000E+1
193,032	0,000	0,075	3,000E-1	3,000E+1
194,034	0,000	0,075	3,000E-1	3,000E+1
195,033	0,000	0,075	3,000E-1	3,000E+1
196,034	0,000	0,075	3,000E-1	3,000E+1
