t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	68,087	70,000	9,990E+1
2,146	68,087	70,000	1,000E-2
2,146	68,142	70,000	9,638E-2
4,315	68,142	70,000	1,000E-2
4,315	68,167	70,000	9,392E-2
6,482	68,167	70,000	1,000E-2
6,482	68,167	70,000	9,285E-2
8,646	68,108	70,000	2,533E+0
8,646	68,108	70,000	2,619E+0
10,811	67,992	70,000	7,280E+0
10,811	67,992	70,000	7,371E+0
12,978	68,096	70,000	3,361E+0
12,978	68,096	70,000	3,447E+0
12,978	67,970	70,000	3,533E+0
15,145	67,970	70,000	8,591E+0
15,145	67,955	70,000	8,683E+0
17,308	67,955	70,000	9,369E+0
17,308	67,993	70,000	9,463E+0
19,474	67,993	70,000	8,028E+0
19,474	67,982	70,000	8,119E+0
21,641	67,982	70,000	8,665E+0
21,641	67,982	70,000	8,756E+0
23,806	67,895	70,000	1,227E+1
23,806	67,895	70,000	1,237E+1
25,973	67,758	70,000	1,791E+1
25,973	67,758	70,000	1,801E+1
25,973	67,773	70,000	1,750E+1
28,139	67,773	70,000	1,760E+1
28,139	67,798	70,000	1,770E+1
30,306	67,798	70,000	1,681E+1
30,306	67,678	70,000	1,691E+1
32,473	67,678	70,000	2,177E+1
32,473	67,654	70,000	2,187E+1
34,638	67,654	70,000	2,293E+1
34,638	67,654	70,000	2,303E+1
36,803	67,648	70,000	2,340E+1
36,803	67,648	70,000	2,350E+1
38,971	67,717	70,000	2,087E+1
38,971	67,717	70,000	2,098E+1
38,971	67,785	70,000	1,839E+1
41,136	67,785	70,000	1,849E+1
41,136	67,833	70,000	1,859E+1
43,303	67,833	70,000	1,680E+1
43,303	67,703	70,000	1,690E+1
45,470	67,703	70,000	2,211E+1
45,470	67,736	70,000	2,221E+1
47,637	67,736	70,000	2,103E+1
47,637	67,736	70,000	2,113E+1
49,803	67,702	70,000	2,258E+1
49,803	67,702	70,000	2,269E+1
51,970	67,756	70,000	2,065E+1
51,970	67,756	70,000	2,075E+1
51,970	67,793	70,000	1,937E+1
54,135	67,793	70,000	1,947E+1
54,135	67,709	70,000	1,957E+1
56,302	67,709	70,000	2,301E+1
56,302	67,714	70,000	2,312E+1
58,468	67,714	70,000	2,304E+1
58,468	67,644	70,000	2,315E+1
60,633	67,644	70,000	2,600E+1
60,633	67,644	70,000	2,611E+1
62,802	67,548	70,000	3,002E+1
62,802	67,548	70,000	3,013E+1
64,967	67,618	70,000	2,745E+1
64,967	67,618	70,000	2,755E+1
64,967	67,620	70,000	2,758E+1
67,136	67,620	70,000	2,769E+1
67,136	67,570	70,000	2,780E+1
69,305	67,570	70,000	2,993E+1
69,305	67,607	70,000	3,004E+1
71,471	67,607	70,000	2,866E+1
71,471	67,637	70,000	2,877E+1
73,640	67,637	70,000	2,767E+1
73,640	67,637	70,000	2,777E+1
75,807	67,639	70,000	2,780E+1
75,807	67,639	70,000	2,791E+1
77,974	67,619	70,000	2,883E+1
77,974	67,619	70,000	2,893E+1
77,974	67,630	70,000	2,859E+1
80,143	67,630	70,000	2,869E+1
80,143	67,636	70,000	2,880E+1
82,309	67,636	70,000	2,871E+1
82,309	67,558	70,000	2,882E+1
84,480	67,558	70,000	3,201E+1
84,480	67,620	70,000	3,212E+1
86,647	67,620	70,000	2,974E+1
86,647	67,620	70,000	2,985E+1
88,814	67,651	70,000	2,874E+1
88,814	67,651	70,000	2,885E+1
90,980	67,692	70,000	2,735E+1
90,980	67,692	70,000	2,746E+1
90,980	67,641	70,000	2,756E+1
93,149	67,641	70,000	2,967E+1
93,149	67,489	70,000	2,977E+1
95,314	67,489	70,000	3,592E+1
95,314	67,537	70,000	3,603E+1
97,477	67,537	70,000	3,423E+1
97,477	67,473	70,000	3,434E+1
99,645	67,473	70,000	3,699E+1
99,645	67,473	70,000	3,710E+1
101,812	67,442	70,000	3,842E+1
101,812	67,442	70,000	3,854E+1
103,979	67,476	70,000	3,732E+1
103,979	67,476	70,000	3,744E+1
103,979	67,425	70,000	3,755E+1
106,144	67,425	70,000	3,967E+1
106,144	67,439	70,000	3,978E+1
108,311	67,439	70,000	3,936E+1
108,311	67,393	70,000	3,948E+1
110,478	67,393	70,000	4,142E+1
110,478	67,300	70,000	4,154E+1
112,642	67,300	70,000	4,534E+1
112,642	67,300	70,000	4,546E+1
114,811	67,349	70,000	4,364E+1
114,811	67,349	70,000	4,376E+1
