t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
2,146	62,361	62,376	6,279E+1	6,321E+1	6,296E+1	6,145E+1	6,698E+1	6,768E+1	6,235E+1	6,443E+1	6,522E+1	6,042E+1
2,146	62,361	62,376	6,279E+1	6,321E+1	6,296E+1	6,145E+1	6,698E+1	6,768E+1	6,235E+1	6,443E+1	6,522E+1	6,042E+1
4,315	62,277	62,292	6,273E+1	6,317E+1	6,291E+1	6,143E+1	6,697E+1	6,765E+1	6,233E+1	6,441E+1	6,519E+1	6,043E+1
4,315	62,277	62,292	6,273E+1	6,317E+1	6,291E+1	6,143E+1	6,697E+1	6,765E+1	6,233E+1	6,441E+1	6,519E+1	6,043E+1
6,482	62,252	62,267	6,272E+1	6,316E+1	6,291E+1	6,137E+1	6,697E+1	6,767E+1	6,230E+1	6,438E+1	6,520E+1	6,035E+1
6,482	62,252	62,267	6,272E+1	6,316E+1	6,291E+1	6,137E+1	6,697E+1	6,767E+1	6,230E+1	6,438E+1	6,520E+1	6,035E+1
8,646	62,193	62,208	6,272E+1	6,317E+1	6,289E+1	6,130E+1	6,698E+1	6,764E+1	6,228E+1	6,434E+1	6,519E+1	6,010E+1
8,646	62,193	62,208	6,272E+1	6,317E+1	6,289E+1	6,130E+1	6,698E+1	6,764E+1	6,228E+1	6,434E+1	6,519E+1	6,010E+1
10,811	62,222	62,237	6,271E+1	6,317E+1	6,289E+1	6,124E+1	6,695E+1	6,763E+1	6,223E+1	6,430E+1	6,516E+1	6,014E+1
10,811	62,222	62,237	6,271E+1	6,317E+1	6,289E+1	6,124E+1	6,695E+1	6,763E+1	6,223E+1	6,430E+1	6,516E+1	6,014E+1
12,978	62,195	62,210	6,265E+1	6,314E+1	6,287E+1	6,121E+1	6,693E+1	6,764E+1	6,222E+1	6,431E+1	6,516E+1	6,013E+1
12,978	62,195	62,210	6,265E+1	6,314E+1	6,287E+1	6,121E+1	6,693E+1	6,764E+1	6,222E+1	6,431E+1	6,516E+1	6,013E+1
12,978	62,195	62,210	6,265E+1	6,314E+1	6,287E+1	6,121E+1	6,693E+1	6,764E+1	6,222E+1	6,431E+1	6,516E+1	6,013E+1
