t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,001	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,001	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
1,993	22,679	22,694	2,238E+1	2,289E+1	2,298E+1	2,216E+1	2,687E+1	2,758E+1	2,255E+1	2,375E+1	2,495E+1	2,157E+1
1,993	22,679	22,694	2,238E+1	2,289E+1	2,298E+1	2,216E+1	2,687E+1	2,758E+1	2,255E+1	2,375E+1	2,495E+1	2,157E+1
4,010	22,674	22,689	2,239E+1	2,290E+1	2,300E+1	2,217E+1	2,687E+1	2,763E+1	2,254E+1	2,375E+1	2,494E+1	2,159E+1
4,010	22,674	22,689	2,239E+1	2,290E+1	2,300E+1	2,217E+1	2,687E+1	2,763E+1	2,254E+1	2,375E+1	2,494E+1	2,159E+1
6,029	22,662	22,677	2,237E+1	2,290E+1	2,300E+1	2,217E+1	2,692E+1	2,761E+1	2,252E+1	2,375E+1	2,493E+1	2,159E+1
6,029	22,662	22,677	2,237E+1	2,290E+1	2,300E+1	2,217E+1	2,692E+1	2,761E+1	2,252E+1	2,375E+1	2,493E+1	2,159E+1
8,046	22,654	22,669	2,237E+1	2,290E+1	2,302E+1	2,216E+1	2,696E+1	2,760E+1	2,253E+1	2,376E+1	2,491E+1	2,159E+1
8,046	22,654	22,669	2,237E+1	2,290E+1	2,302E+1	2,216E+1	2,696E+1	2,760E+1	2,253E+1	2,376E+1	2,491E+1	2,159E+1
10,065	22,649	22,664	2,238E+1	2,290E+1	2,301E+1	2,216E+1	2,700E+1	2,761E+1	2,254E+1	2,374E+1	2,491E+1	2,160E+1
10,065	22,649	22,664	2,238E+1	2,290E+1	2,301E+1	2,216E+1	2,700E+1	2,761E+1	2,254E+1	2,374E+1	2,491E+1	2,160E+1
