t	PV [ºC]	SP [ºC]	MV[A]
0,001	0,000	70,000	0,000E+0
0,001	0,000	70,000	0,000E+0
1,993	22,679	70,000	0,000E+0
1,993	22,679	70,000	0,000E+0
4,010	22,674	70,000	0,000E+0
4,010	22,674	70,000	0,000E+0
6,029	22,662	70,000	0,000E+0
6,029	22,662	70,000	0,000E+0
8,046	22,654	70,000	0,000E+0
8,046	22,654	70,000	0,000E+0
10,065	22,649	70,000	0,000E+0
10,065	22,649	70,000	0,000E+0
12,084	22,678	70,000	0,000E+0
12,084	22,678	70,000	0,000E+0
14,101	22,690	70,000	0,000E+0
14,101	22,690	70,000	0,000E+0
14,101	22,690	70,000	0,000E+0
16,120	22,713	70,000	0,000E+0
16,120	22,713	70,000	0,000E+0
18,141	22,736	70,000	0,000E+0
18,141	22,736	70,000	0,000E+0
20,160	22,703	70,000	0,000E+0
20,160	22,703	70,000	0,000E+0
22,176	22,687	70,000	0,000E+0
22,176	22,687	70,000	0,000E+0
24,197	22,690	70,000	0,000E+0
24,197	22,690	70,000	0,000E+0
26,214	22,703	70,000	0,000E+0
26,214	22,703	70,000	0,000E+0
28,233	22,697	70,000	0,000E+0
28,233	22,697	70,000	0,000E+0
30,250	22,695	70,000	0,000E+0
30,250	22,695	70,000	0,000E+0
32,267	22,687	70,000	0,000E+0
32,267	22,687	70,000	0,000E+0
34,286	22,697	70,000	0,000E+0
34,286	22,697	70,000	0,000E+0
36,303	22,689	70,000	0,000E+0
36,303	22,689	70,000	0,000E+0
38,322	22,720	70,000	0,000E+0
38,322	22,720	70,000	0,000E+0
40,341	22,707	70,000	0,000E+0
40,341	22,707	70,000	0,000E+0
42,359	22,774	70,000	0,000E+0
42,359	22,774	70,000	0,000E+0
44,376	22,782	70,000	0,000E+0
44,376	22,782	70,000	0,000E+0
46,395	22,792	70,000	0,000E+0
46,395	22,792	70,000	0,000E+0
48,412	22,830	70,000	0,000E+0
48,412	22,830	70,000	0,000E+0
50,431	22,828	70,000	0,000E+0
50,431	22,828	70,000	0,000E+0
52,448	22,792	70,000	0,000E+0
52,448	22,792	70,000	0,000E+0
54,467	22,807	70,000	0,000E+0
54,467	22,807	70,000	0,000E+0
56,488	22,863	70,000	0,000E+0
56,488	22,863	70,000	0,000E+0
58,507	22,807	70,000	0,000E+0
58,507	22,807	70,000	0,000E+0
60,524	22,844	70,000	0,000E+0
60,524	22,844	70,000	0,000E+0
62,542	22,844	70,000	0,000E+0
62,542	22,844	70,000	0,000E+0
64,559	22,862	70,000	0,000E+0
64,559	22,862	70,000	0,000E+0
66,578	22,946	70,000	0,000E+0
66,578	22,946	70,000	0,000E+0
68,597	22,956	70,000	0,000E+0
68,597	22,956	70,000	0,000E+0
70,614	22,972	70,000	0,000E+0
70,614	22,972	70,000	0,000E+0
72,631	23,005	70,000	0,000E+0
72,631	23,005	70,000	0,000E+0
74,652	23,000	70,000	0,000E+0
74,652	23,000	70,000	0,000E+0
76,669	22,992	70,000	0,000E+0
76,669	22,992	70,000	0,000E+0
78,689	23,005	70,000	0,000E+0
78,689	23,005	70,000	0,000E+0
80,707	23,038	70,000	0,000E+0
80,707	23,038	70,000	0,000E+0
82,725	23,053	70,000	0,000E+0
82,725	23,053	70,000	0,000E+0
84,746	23,105	70,000	0,000E+0
84,746	23,105	70,000	0,000E+0
86,763	23,149	70,000	0,000E+0
86,763	23,149	70,000	0,000E+0
88,780	23,100	70,000	0,000E+0
88,780	23,100	70,000	0,000E+0
90,799	23,052	70,000	0,000E+0
90,799	23,052	70,000	0,000E+0
92,818	23,065	70,000	0,000E+0
92,818	23,065	70,000	0,000E+0
94,835	23,096	70,000	0,000E+0
94,835	23,096	70,000	0,000E+0
96,854	23,164	70,000	0,000E+0
96,854	23,164	70,000	0,000E+0
98,871	23,236	70,000	0,000E+0
98,871	23,236	70,000	0,000E+0
100,888	23,279	70,000	0,000E+0
100,888	23,279	70,000	0,000E+0
102,909	23,274	70,000	0,000E+0
102,909	23,274	70,000	0,000E+0
104,927	23,297	70,000	0,000E+0
104,927	23,297	70,000	0,000E+0
106,946	23,281	70,000	0,000E+0
106,946	23,281	70,000	0,000E+0
108,966	23,270	70,000	0,000E+0
108,966	23,270	70,000	0,000E+0
110,986	23,355	70,000	0,000E+0
110,986	23,355	70,000	0,000E+0
113,003	23,311	70,000	0,000E+0
113,003	23,311	70,000	0,000E+0
115,022	23,357	70,000	0,000E+0
115,022	23,357	70,000	0,000E+0
117,039	23,395	70,000	0,000E+0
117,039	23,395	70,000	0,000E+0
119,056	23,408	70,000	0,000E+0
119,056	23,408	70,000	0,000E+0
121,077	23,400	70,000	0,000E+0
121,077	23,400	70,000	0,000E+0
123,094	23,416	70,000	0,000E+0
123,094	23,416	70,000	0,000E+0
125,113	23,424	70,000	0,000E+0
125,113	23,424	70,000	0,000E+0
125,113	23,424	70,000	0,000E+0
127,129	23,390	70,000	0,000E+0
127,129	23,390	70,000	0,000E+0
129,148	23,294	70,000	0,000E+0
129,148	23,294	70,000	0,000E+0
