t	PV [ºC]	SP [ºC]	MV[%] 
0,001	0,000	70,000	9,990E+1
0,001	0,000	70,000	9,990E+1
1,993	20,575	70,000	1,000E-2
1,993	20,575	70,000	2,244E+0
1,993	20,581	70,000	4,236E+0
4,010	20,581	70,000	6,467E+0
4,010	20,581	70,000	8,718E+0
6,029	20,581	70,000	1,095E+1
6,029	20,588	70,000	1,289E+1
8,046	20,588	70,000	1,511E+1
8,046	20,591	70,000	1,723E+1
10,065	20,591	70,000	1,946E+1
10,065	20,598	70,000	2,143E+1
12,084	20,598	70,000	2,366E+1
12,084	20,600	70,000	2,581E+1
14,101	20,600	70,000	2,805E+1
14,101	20,601	70,000	3,023E+1
16,120	20,601	70,000	3,247E+1
16,120	20,612	70,000	3,426E+1
18,141	20,612	70,000	3,649E+1
18,141	20,617	70,000	3,854E+1
20,160	20,617	70,000	4,077E+1
20,160	20,633	70,000	4,237E+1
22,176	20,633	70,000	4,460E+1
22,176	20,634	70,000	4,675E+1
24,197	20,634	70,000	4,898E+1
24,197	20,639	70,000	5,103E+1
26,214	20,639	70,000	5,325E+1
26,214	20,648	70,000	5,513E+1
28,233	20,648	70,000	5,736E+1
28,233	20,662	70,000	5,905E+1
30,250	20,662	70,000	6,128E+1
30,250	20,682	70,000	6,267E+1
32,267	20,682	70,000	6,490E+1
32,267	20,676	70,000	6,738E+1
34,286	20,676	70,000	6,961E+1
34,286	20,679	70,000	7,170E+1
36,303	20,679	70,000	7,393E+1
36,303	20,700	70,000	7,615E+1
38,322	20,700	70,000	7,759E+1
38,322	20,718	70,000	7,981E+1
40,341	20,718	70,000	8,131E+1
40,341	20,731	70,000	8,353E+1
42,359	20,731	70,000	8,524E+1
42,359	20,740	70,000	8,747E+1
44,376	20,740	70,000	8,933E+1
44,376	20,764	70,000	9,156E+1
46,395	20,764	70,000	9,281E+1
46,395	20,788	70,000	9,504E+1
48,412	20,788	70,000	9,635E+1
48,412	20,807	70,000	9,857E+1
50,431	20,807	70,000	9,990E+1
50,431	20,846	70,000	9,990E+1
52,448	20,846	70,000	9,990E+1
52,448	20,872	70,000	9,990E+1
54,467	20,872	70,000	9,990E+1
54,467	20,898	70,000	9,990E+1
56,488	20,898	70,000	9,990E+1
56,488	20,924	70,000	9,990E+1
58,507	20,924	70,000	9,990E+1
58,507	20,950	70,000	9,990E+1
60,524	20,950	70,000	9,990E+1
60,524	20,992	70,000	9,990E+1
62,542	20,992	70,000	9,990E+1
62,542	21,039	70,000	9,990E+1
64,559	21,039	70,000	9,990E+1
64,559	21,082	70,000	9,990E+1
66,578	21,082	70,000	9,990E+1
66,578	21,138	70,000	9,990E+1
68,597	21,138	70,000	9,990E+1
68,597	21,169	70,000	9,990E+1
70,614	21,169	70,000	9,990E+1
70,614	21,188	70,000	9,990E+1
72,631	21,188	70,000	9,990E+1
72,631	21,188	70,000	9,990E+1
74,652	21,245	70,000	9,984E+1
74,652	21,245	70,000	9,990E+1
76,669	21,291	70,000	9,990E+1
