t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,100	0,000	0,075	3,000E-1	3,000E+1
1,100	0,000	0,075	3,000E-1	3,000E+1
2,100	0,000	0,075	3,000E-1	3,000E+1
3,100	0,000	0,075	3,000E-1	3,000E+1
4,100	0,000	0,075	3,000E-1	3,000E+1
5,100	0,000	0,075	3,000E-1	3,000E+1
6,101	0,000	0,075	3,000E-1	3,000E+1
7,100	0,000	0,075	3,000E-1	3,000E+1
8,100	0,000	0,075	3,000E-1	3,000E+1
9,101	0,000	0,075	3,000E-1	3,000E+1
10,102	0,000	0,075	3,000E-1	3,000E+1
11,103	0,000	0,075	3,000E-1	3,000E+1
12,104	0,000	0,075	3,000E-1	3,000E+1
13,105	0,000	0,075	3,000E-1	3,000E+1
14,104	0,000	0,075	3,000E-1	3,000E+1
15,105	0,000	0,075	3,000E-1	3,000E+1
16,105	0,000	0,075	3,000E-1	3,000E+1
17,105	0,000	0,075	3,000E-1	3,000E+1
18,107	0,000	0,075	3,000E-1	3,000E+1
19,106	0,000	0,075	3,000E-1	3,000E+1
20,107	0,000	0,075	3,000E-1	3,000E+1
21,106	0,000	0,075	3,000E-1	3,000E+1
22,106	0,000	0,075	3,000E-1	3,000E+1
23,106	0,000	0,075	3,000E-1	3,000E+1
24,106	0,000	0,075	3,000E-1	3,000E+1
25,108	0,000	0,075	3,000E-1	3,000E+1
26,107	0,000	0,075	3,000E-1	3,000E+1
27,108	0,000	0,075	3,000E-1	3,000E+1
28,107	0,000	0,075	3,000E-1	3,000E+1
29,107	0,000	0,075	3,000E-1	3,000E+1
30,107	0,000	0,075	3,000E-1	3,000E+1
31,107	0,000	0,075	3,000E-1	3,000E+1
32,108	0,000	0,075	3,000E-1	3,000E+1
33,107	0,000	0,075	3,000E-1	3,000E+1
34,107	0,000	0,075	3,000E-1	3,000E+1
35,107	0,000	0,075	3,000E-1	3,000E+1
36,107	0,000	0,075	3,000E-1	3,000E+1
37,107	0,000	0,075	3,000E-1	3,000E+1
38,107	0,000	0,075	3,000E-1	3,000E+1
39,108	0,000	0,075	3,000E-1	3,000E+1
40,107	0,000	0,075	3,000E-1	3,000E+1
41,107	0,000	0,075	3,000E-1	3,000E+1
42,108	0,000	0,075	3,000E-1	3,000E+1
43,109	0,000	0,075	3,000E-1	3,000E+1
44,109	0,000	0,075	3,000E-1	3,000E+1
45,109	0,000	0,075	3,000E-1	3,000E+1
46,110	0,000	0,075	3,000E-1	3,000E+1
47,109	0,000	0,075	3,000E-1	3,000E+1
48,109	0,000	0,075	3,000E-1	3,000E+1
49,109	0,000	0,075	3,000E-1	3,000E+1
50,110	0,000	0,075	3,000E-1	3,000E+1
51,110	0,000	0,075	3,000E-1	3,000E+1
52,110	0,000	0,075	3,000E-1	3,000E+1
53,110	0,000	0,075	3,000E-1	3,000E+1
54,110	0,000	0,075	3,000E-1	3,000E+1
55,111	0,000	0,075	3,000E-1	3,000E+1
56,110	0,000	0,075	3,000E-1	3,000E+1
57,110	0,000	0,075	3,000E-1	3,000E+1
58,111	0,000	0,075	3,000E-1	3,000E+1
59,111	0,000	0,075	3,000E-1	3,000E+1
60,111	0,000	0,075	3,000E-1	3,000E+1
61,111	0,000	0,075	3,000E-1	3,000E+1
