t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,074	0,000	0,075	3,000E-1	3,000E+1
1,074	0,000	0,075	3,000E-1	3,000E+1
2,074	0,000	0,075	3,000E-1	3,000E+1
3,075	0,000	0,075	3,000E-1	3,000E+1
4,075	0,000	0,075	3,000E-1	3,000E+1
5,075	0,000	0,075	3,000E-1	3,000E+1
6,075	0,000	0,075	3,000E-1	3,000E+1
7,074	0,000	0,075	3,000E-1	3,000E+1
8,075	0,000	0,075	3,000E-1	3,000E+1
9,075	0,000	0,075	3,000E-1	3,000E+1
10,075	0,000	0,075	3,000E-1	3,000E+1
11,075	0,000	0,075	3,000E-1	3,000E+1
12,075	0,000	0,075	3,000E-1	3,000E+1
13,075	0,000	0,075	3,000E-1	3,000E+1
14,074	0,000	0,075	3,000E-1	3,000E+1
15,075	0,000	0,075	3,000E-1	3,000E+1
16,075	0,000	0,075	3,000E-1	3,000E+1
17,075	0,000	0,075	3,000E-1	3,000E+1
18,075	0,000	0,075	3,000E-1	3,000E+1
19,075	0,000	0,075	3,000E-1	3,000E+1
20,075	0,000	0,075	3,000E-1	3,000E+1
21,074	0,000	0,075	3,000E-1	3,000E+1
22,075	0,000	0,075	3,000E-1	3,000E+1
23,075	0,000	0,075	3,000E-1	3,000E+1
24,075	0,000	0,075	3,000E-1	3,000E+1
25,075	0,000	0,075	3,000E-1	3,000E+1
26,076	0,000	0,075	3,000E-1	3,000E+1
27,076	0,000	0,075	3,000E-1	3,000E+1
28,075	0,000	0,075	3,000E-1	3,000E+1
29,076	0,000	0,075	3,000E-1	3,000E+1
30,076	0,000	0,075	3,000E-1	3,000E+1
31,077	0,000	0,075	3,000E-1	3,000E+1
32,077	0,000	0,075	3,000E-1	3,000E+1
33,077	0,000	0,075	3,000E-1	3,000E+1
34,077	0,000	0,075	3,000E-1	3,000E+1
35,076	0,000	0,075	3,000E-1	3,000E+1
36,078	0,000	0,075	3,000E-1	3,000E+1
37,078	0,000	0,075	3,000E-1	3,000E+1
38,078	0,000	0,075	3,000E-1	3,000E+1
39,078	0,000	0,075	3,000E-1	3,000E+1
40,078	0,000	0,075	3,000E-1	3,000E+1
41,079	0,000	0,075	3,000E-1	3,000E+1
42,079	0,000	0,075	3,000E-1	3,000E+1
43,080	0,000	0,075	3,000E-1	3,000E+1
44,080	0,000	0,075	3,000E-1	3,000E+1
45,080	0,000	0,075	3,000E-1	3,000E+1
46,080	0,000	0,075	3,000E-1	3,000E+1
47,081	0,000	0,075	3,000E-1	3,000E+1
48,081	0,000	0,075	3,000E-1	3,000E+1
49,080	0,000	0,075	3,000E-1	3,000E+1
50,082	0,000	0,075	3,000E-1	3,000E+1
51,082	0,000	0,075	3,000E-1	3,000E+1
52,082	0,000	0,075	3,000E-1	3,000E+1
53,082	0,000	0,075	3,000E-1	3,000E+1
54,082	0,000	0,075	3,000E-1	3,000E+1
55,082	0,000	0,075	3,000E-1	3,000E+1
56,081	0,000	0,075	3,000E-1	3,000E+1
57,082	0,000	0,075	3,000E-1	3,000E+1
58,082	0,000	0,075	3,000E-1	3,000E+1
59,082	0,000	0,075	3,000E-1	3,000E+1
60,082	0,000	0,075	3,000E-1	3,000E+1
61,082	0,000	0,075	3,000E-1	3,000E+1
62,082	0,000	0,075	3,000E-1	3,000E+1
63,081	0,000	0,075	3,000E-1	3,000E+1
64,082	0,000	0,075	3,000E-1	3,000E+1
65,082	0,000	0,075	3,000E-1	3,000E+1
66,082	0,000	0,075	3,000E-1	3,000E+1
67,082	0,000	0,075	3,000E-1	3,000E+1
68,082	0,000	0,075	3,000E-1	3,000E+1
69,082	0,000	0,075	3,000E-1	3,000E+1
70,081	0,000	0,075	3,000E-1	3,000E+1
71,082	0,000	0,075	3,000E-1	3,000E+1
72,082	0,000	0,075	3,000E-1	3,000E+1
73,082	0,000	0,075	3,000E-1	3,000E+1
74,082	0,000	0,075	3,000E-1	3,000E+1
75,082	0,000	0,075	3,000E-1	3,000E+1
76,082	0,000	0,075	3,000E-1	3,000E+1
77,081	0,000	0,075	3,000E-1	3,000E+1
78,082	0,000	0,075	3,000E-1	3,000E+1
79,083	0,000	0,075	3,000E-1	3,000E+1
80,083	0,000	0,075	3,000E-1	3,000E+1
81,083	0,000	0,075	3,000E-1	3,000E+1
82,083	0,000	0,075	3,000E-1	3,000E+1
83,083	0,000	0,075	3,000E-1	3,000E+1
84,082	0,000	0,075	3,000E-1	3,000E+1
85,083	0,000	0,075	3,000E-1	3,000E+1
86,083	0,000	0,075	3,000E-1	3,000E+1
87,083	0,000	0,075	3,000E-1	3,000E+1
88,083	0,000	0,075	3,000E-1	3,000E+1
89,084	0,000	0,075	3,000E-1	3,000E+1
90,084	0,000	0,075	3,000E-1	3,000E+1
91,083	0,000	0,075	3,000E-1	3,000E+1
92,084	0,000	0,075	3,000E-1	3,000E+1
93,084	0,000	0,075	3,000E-1	3,000E+1
94,084	0,000	0,075	3,000E-1	3,000E+1
95,085	0,000	0,075	3,000E-1	3,000E+1
96,085	0,000	0,075	3,000E-1	3,000E+1
97,085	0,000	0,075	3,000E-1	3,000E+1
98,084	0,000	0,075	3,000E-1	3,000E+1
99,085	0,000	0,075	3,000E-1	3,000E+1
100,085	0,000	0,075	3,000E-1	3,000E+1
101,086	0,000	0,075	3,000E-1	3,000E+1
102,086	0,000	0,075	3,000E-1	3,000E+1
103,086	0,000	0,075	3,000E-1	3,000E+1
104,086	0,000	0,075	3,000E-1	3,000E+1
105,086	0,000	0,075	3,000E-1	3,000E+1
106,087	0,000	0,075	3,000E-1	3,000E+1
107,087	0,000	0,075	3,000E-1	3,000E+1
108,087	0,000	0,075	3,000E-1	3,000E+1
109,087	0,000	0,075	3,000E-1	3,000E+1
110,087	0,000	0,075	3,000E-1	3,000E+1
111,087	0,000	0,075	3,000E-1	3,000E+1
112,086	0,000	0,075	3,000E-1	3,000E+1
113,087	0,000	0,075	3,000E-1	3,000E+1
114,087	0,000	0,075	3,000E-1	3,000E+1
115,087	0,000	0,075	3,000E-1	3,000E+1
116,087	0,000	0,075	3,000E-1	3,000E+1
117,087	0,000	0,075	3,000E-1	3,000E+1
118,087	0,000	0,075	3,000E-1	3,000E+1
119,086	0,000	0,075	3,000E-1	3,000E+1
120,087	0,000	0,075	3,000E-1	3,000E+1
121,087	0,000	0,075	3,000E-1	3,000E+1
122,087	0,000	0,075	3,000E-1	3,000E+1
123,087	0,000	0,075	3,000E-1	3,000E+1
124,087	0,000	0,075	3,000E-1	3,000E+1
125,087	0,000	0,075	3,000E-1	3,000E+1
126,086	0,000	0,075	3,000E-1	3,000E+1
127,087	0,000	0,075	3,000E-1	3,000E+1
128,087	0,000	0,075	3,000E-1	3,000E+1
129,087	0,000	0,075	3,000E-1	3,000E+1
130,087	0,000	0,075	3,000E-1	3,000E+1
131,087	0,000	0,075	3,000E-1	3,000E+1
132,087	0,000	0,075	3,000E-1	3,000E+1
133,086	0,000	0,075	3,000E-1	3,000E+1
134,087	0,000	0,075	3,000E-1	3,000E+1
135,087	0,000	0,075	3,000E-1	3,000E+1
136,088	0,000	0,075	3,000E-1	3,000E+1
137,088	0,000	0,075	3,000E-1	3,000E+1
138,088	0,000	0,075	3,000E-1	3,000E+1
139,088	0,000	0,075	3,000E-1	3,000E+1
140,087	0,000	0,075	3,000E-1	3,000E+1
141,089	0,000	0,075	3,000E-1	3,000E+1
142,090	0,000	0,075	3,000E-1	3,000E+1
143,090	0,000	0,075	3,000E-1	3,000E+1
144,090	0,000	0,075	3,000E-1	3,000E+1
145,090	0,000	0,075	3,000E-1	3,000E+1
146,090	0,000	0,075	3,000E-1	3,000E+1
147,089	0,000	0,075	3,000E-1	3,000E+1
148,090	0,000	0,075	3,000E-1	3,000E+1
149,090	0,000	0,075	3,000E-1	3,000E+1
150,090	0,000	0,075	3,000E-1	3,000E+1
151,090	0,000	0,075	3,000E-1	3,000E+1
152,090	0,000	0,075	3,000E-1	3,000E+1
153,090	0,000	0,075	3,000E-1	3,000E+1
154,090	0,000	0,075	3,000E-1	3,000E+1
155,091	0,000	0,075	3,000E-1	3,000E+1
156,091	0,000	0,075	3,000E-1	3,000E+1
157,091	0,000	0,075	3,000E-1	3,000E+1
158,091	0,000	0,075	3,000E-1	3,000E+1
159,091	0,000	0,075	3,000E-1	3,000E+1
160,091	0,000	0,075	3,000E-1	3,000E+1
161,091	0,000	0,075	3,000E-1	3,000E+1
162,092	0,000	0,075	3,000E-1	3,000E+1
163,092	0,000	0,075	3,000E-1	3,000E+1
164,092	0,000	0,075	3,000E-1	3,000E+1
165,092	0,000	0,075	3,000E-1	3,000E+1
166,093	0,000	0,075	3,000E-1	3,000E+1
167,093	0,000	0,075	3,000E-1	3,000E+1
168,092	0,000	0,075	3,000E-1	3,000E+1
169,093	0,000	0,075	3,000E-1	3,000E+1
170,093	0,000	0,075	3,000E-1	3,000E+1
171,093	0,000	0,075	3,000E-1	3,000E+1
172,093	0,000	0,075	3,000E-1	3,000E+1
173,092	0,000	0,075	3,000E-1	3,000E+1
174,093	0,000	0,075	3,000E-1	3,000E+1
175,094	0,000	0,075	3,000E-1	3,000E+1
176,094	0,000	0,075	3,000E-1	3,000E+1
177,094	0,000	0,075	3,000E-1	3,000E+1
178,094	0,000	0,075	3,000E-1	3,000E+1
179,094	0,000	0,075	3,000E-1	3,000E+1
180,094	0,000	0,075	3,000E-1	3,000E+1
181,094	0,000	0,075	3,000E-1	3,000E+1
182,095	0,000	0,075	3,000E-1	3,000E+1
183,095	0,000	0,075	3,000E-1	3,000E+1
184,095	0,000	0,075	3,000E-1	3,000E+1
185,095	0,000	0,075	3,000E-1	3,000E+1
186,095	0,000	0,075	3,000E-1	3,000E+1
187,094	0,000	0,075	3,000E-1	3,000E+1
188,095	0,000	0,075	3,000E-1	3,000E+1
189,095	0,000	0,075	3,000E-1	3,000E+1
190,095	0,000	0,075	3,000E-1	3,000E+1
191,095	0,000	0,075	3,000E-1	3,000E+1
192,095	0,000	0,075	3,000E-1	3,000E+1
193,095	0,000	0,075	3,000E-1	3,000E+1
194,095	0,000	0,075	3,000E-1	3,000E+1
195,095	0,000	0,075	3,000E-1	3,000E+1
196,095	0,000	0,075	3,000E-1	3,000E+1
197,095	0,000	0,075	3,000E-1	3,000E+1
198,095	0,000	0,075	3,000E-1	3,000E+1
199,095	0,000	0,075	3,000E-1	3,000E+1
200,095	0,000	0,075	3,000E-1	3,000E+1
201,095	0,000	0,075	3,000E-1	3,000E+1
202,095	0,000	0,075	3,000E-1	3,000E+1
203,096	0,000	0,075	3,000E-1	3,000E+1
204,096	0,000	0,075	3,000E-1	3,000E+1
205,096	0,000	0,075	3,000E-1	3,000E+1
206,096	0,000	0,075	3,000E-1	3,000E+1
207,096	0,000	0,075	3,000E-1	3,000E+1
208,095	0,000	0,075	3,000E-1	3,000E+1
209,096	0,000	0,075	3,000E-1	3,000E+1
210,096	0,000	0,075	3,000E-1	3,000E+1
211,096	0,000	0,075	3,000E-1	3,000E+1
212,096	0,000	0,075	3,000E-1	3,000E+1
213,096	0,000	0,075	3,000E-1	3,000E+1
214,096	0,000	0,075	3,000E-1	3,000E+1
215,096	0,000	0,075	3,000E-1	3,000E+1
216,096	0,000	0,075	3,000E-1	3,000E+1
217,096	0,000	0,075	3,000E-1	3,000E+1
218,096	0,000	0,075	3,000E-1	3,000E+1
219,096	0,000	0,075	3,000E-1	3,000E+1
220,096	0,000	0,075	3,000E-1	3,000E+1
221,096	0,000	0,075	3,000E-1	3,000E+1
222,096	0,000	0,075	3,000E-1	3,000E+1
223,096	0,000	0,075	3,000E-1	3,000E+1
224,096	0,000	0,075	3,000E-1	3,000E+1
225,096	0,000	0,075	3,000E-1	3,000E+1
226,096	0,000	0,075	3,000E-1	3,000E+1
227,096	0,000	0,075	3,000E-1	3,000E+1
228,096	0,000	0,075	3,000E-1	3,000E+1
229,095	0,000	0,075	3,000E-1	3,000E+1
230,096	0,000	0,075	3,000E-1	3,000E+1
231,096	0,000	0,075	3,000E-1	3,000E+1
232,096	0,000	0,075	3,000E-1	3,000E+1
233,096	0,000	0,075	3,000E-1	3,000E+1
234,096	0,000	0,075	3,000E-1	3,000E+1
235,096	0,000	0,075	3,000E-1	3,000E+1
236,095	0,000	0,075	3,000E-1	3,000E+1
237,096	0,000	0,075	3,000E-1	3,000E+1
238,096	0,000	0,075	3,000E-1	3,000E+1
239,096	0,000	0,075	3,000E-1	3,000E+1
240,096	0,000	0,075	3,000E-1	3,000E+1
241,096	0,000	0,075	3,000E-1	3,000E+1
242,096	0,000	0,075	3,000E-1	3,000E+1
243,095	0,000	0,075	3,000E-1	3,000E+1
244,096	0,000	0,075	3,000E-1	3,000E+1
245,096	0,000	0,075	3,000E-1	3,000E+1
246,096	0,000	0,075	3,000E-1	3,000E+1
247,096	0,000	0,075	3,000E-1	3,000E+1
248,096	0,000	0,075	3,000E-1	3,000E+1
249,096	0,000	0,075	3,000E-1	3,000E+1
250,095	0,000	0,075	3,000E-1	3,000E+1
251,096	0,000	0,075	3,000E-1	3,000E+1
252,097	0,000	0,075	3,000E-1	3,000E+1
253,097	0,000	0,075	3,000E-1	3,000E+1
254,097	0,000	0,075	3,000E-1	3,000E+1
255,097	0,000	0,075	3,000E-1	3,000E+1
256,097	0,000	0,075	3,000E-1	3,000E+1
257,097	0,000	0,075	3,000E-1	3,000E+1
258,098	0,000	0,075	3,000E-1	3,000E+1
259,099	0,000	0,075	3,000E-1	3,000E+1
260,100	0,000	0,075	3,000E-1	3,000E+1
261,100	0,000	0,075	3,000E-1	3,000E+1
262,100	0,000	0,075	3,000E-1	3,000E+1
263,100	0,000	0,075	3,000E-1	3,000E+1
264,099	0,000	0,075	3,000E-1	3,000E+1
265,100	0,000	0,075	3,000E-1	3,000E+1
266,100	0,000	0,075	3,000E-1	3,000E+1
267,100	0,000	0,075	3,000E-1	3,000E+1
268,100	0,000	0,075	3,000E-1	3,000E+1
269,100	0,000	0,075	3,000E-1	3,000E+1
270,100	0,000	0,075	3,000E-1	3,000E+1
271,099	0,000	0,075	3,000E-1	3,000E+1
272,100	0,000	0,075	3,000E-1	3,000E+1
273,100	0,000	0,075	3,000E-1	3,000E+1
274,100	0,000	0,075	3,000E-1	3,000E+1
275,100	0,000	0,075	3,000E-1	3,000E+1
276,100	0,000	0,075	3,000E-1	3,000E+1
277,100	0,000	0,075	3,000E-1	3,000E+1
278,099	0,000	0,075	3,000E-1	3,000E+1
279,100	0,000	0,075	3,000E-1	3,000E+1
280,100	0,000	0,075	3,000E-1	3,000E+1
281,100	0,000	0,075	3,000E-1	3,000E+1
282,101	0,000	0,075	3,000E-1	3,000E+1
283,101	0,000	0,075	3,000E-1	3,000E+1
284,101	0,000	0,075	3,000E-1	3,000E+1
285,100	0,000	0,075	3,000E-1	3,000E+1
286,101	0,000	0,075	3,000E-1	3,000E+1
287,101	0,000	0,075	3,000E-1	3,000E+1
288,101	0,000	0,075	3,000E-1	3,000E+1
289,101	0,000	0,075	3,000E-1	3,000E+1
290,101	0,000	0,075	3,000E-1	3,000E+1
291,101	0,000	0,075	3,000E-1	3,000E+1
292,100	0,000	0,075	3,000E-1	3,000E+1
293,101	0,000	0,075	3,000E-1	3,000E+1
294,101	0,000	0,075	3,000E-1	3,000E+1
295,101	0,000	0,075	3,000E-1	3,000E+1
296,101	0,000	0,075	3,000E-1	3,000E+1
297,101	0,000	0,075	3,000E-1	3,000E+1
298,101	0,000	0,075	3,000E-1	3,000E+1
299,100	0,000	0,075	3,000E-1	3,000E+1
300,101	0,000	0,075	3,000E-1	3,000E+1
301,101	0,000	0,075	3,000E-1	3,000E+1
302,101	0,000	0,075	3,000E-1	3,000E+1
303,101	0,000	0,075	3,000E-1	3,000E+1
304,101	0,000	0,075	3,000E-1	3,000E+1
305,101	0,000	0,075	3,000E-1	3,000E+1
306,100	0,000	0,075	3,000E-1	3,000E+1
307,101	0,000	0,075	3,000E-1	3,000E+1
308,101	0,000	0,075	3,000E-1	3,000E+1
309,101	0,000	0,075	3,000E-1	3,000E+1
310,101	0,000	0,075	3,000E-1	3,000E+1
311,101	0,000	0,075	3,000E-1	3,000E+1
312,101	0,000	0,075	3,000E-1	3,000E+1
313,100	0,000	0,075	3,000E-1	3,000E+1
314,101	0,000	0,075	3,000E-1	3,000E+1
315,101	0,000	0,075	3,000E-1	3,000E+1
316,101	0,000	0,075	3,000E-1	3,000E+1
317,101	0,000	0,075	3,000E-1	3,000E+1
318,102	0,000	0,075	3,000E-1	3,000E+1
319,102	0,000	0,075	3,000E-1	3,000E+1
320,101	0,000	0,075	3,000E-1	3,000E+1
321,102	0,000	0,075	3,000E-1	3,000E+1
322,102	0,000	0,075	3,000E-1	3,000E+1
323,102	0,000	0,075	3,000E-1	3,000E+1
324,102	0,000	0,075	3,000E-1	3,000E+1
325,102	0,000	0,075	3,000E-1	3,000E+1
326,102	0,000	0,075	3,000E-1	3,000E+1
327,101	0,000	0,075	3,000E-1	3,000E+1
328,102	0,000	0,075	3,000E-1	3,000E+1
329,102	0,000	0,075	3,000E-1	3,000E+1
330,102	0,000	0,075	3,000E-1	3,000E+1
331,102	0,000	0,075	3,000E-1	3,000E+1
332,102	0,000	0,075	3,000E-1	3,000E+1
333,103	0,000	0,075	3,000E-1	3,000E+1
334,102	0,000	0,075	3,000E-1	3,000E+1
335,103	0,000	0,075	3,000E-1	3,000E+1
336,103	0,000	0,075	3,000E-1	3,000E+1
337,103	0,000	0,075	3,000E-1	3,000E+1
338,103	0,000	0,075	3,000E-1	3,000E+1
339,103	0,000	0,075	3,000E-1	3,000E+1
340,103	0,000	0,075	3,000E-1	3,000E+1
341,102	0,000	0,075	3,000E-1	3,000E+1
