t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	3,000E+3
0,074	0,000	1,540	0,000E+0	0,000E+0	3,000E+3
1,074	0,000	1,540	0,000E+0	0,000E+0	3,000E+3
2,074	0,000	1,160	0,000E+0	0,000E+0	3,000E+3
3,075	0,000	1,250	0,000E+0	0,000E+0	3,000E+3
4,075	0,000	1,450	0,000E+0	0,000E+0	3,000E+3
5,075	0,000	1,420	0,000E+0	0,000E+0	3,000E+3
6,075	1,323	1,320	0,000E+0	0,000E+0	3,000E+3
7,074	1,323	1,250	0,000E+0	0,000E+0	3,000E+3
8,075	1,323	0,990	0,000E+0	0,000E+0	3,000E+3
9,075	1,323	1,040	0,000E+0	0,000E+0	3,000E+3
10,075	1,323	1,170	0,000E+0	0,000E+0	3,000E+3
11,075	1,323	1,170	0,000E+0	0,000E+0	3,000E+3
12,075	1,113	1,100	0,000E+0	0,000E+0	3,000E+3
13,075	1,113	1,280	0,000E+0	0,000E+0	3,000E+3
14,074	1,113	1,210	0,000E+0	0,000E+0	3,000E+3
15,075	1,113	1,070	0,000E+0	0,000E+0	3,000E+3
16,075	1,113	1,140	0,000E+0	0,000E+0	3,000E+3
17,075	1,158	1,140	0,000E+0	0,000E+0	3,000E+3
18,075	1,158	1,070	0,000E+0	0,000E+0	3,000E+3
19,075	1,158	1,160	0,000E+0	0,000E+0	3,000E+3
20,075	1,158	1,130	0,000E+0	0,000E+0	3,000E+3
21,074	1,158	1,110	0,000E+0	0,000E+0	3,000E+3
22,075	1,158	1,020	0,000E+0	0,000E+0	3,000E+3
23,075	1,064	0,890	0,000E+0	0,000E+0	3,000E+3
24,075	1,064	0,890	0,000E+0	0,000E+0	3,000E+3
25,075	1,064	1,080	0,000E+0	0,000E+0	3,000E+3
26,076	1,064	1,130	0,000E+0	0,000E+0	3,000E+3
27,076	1,064	1,040	0,000E+0	0,000E+0	3,000E+3
28,075	1,064	1,190	0,000E+0	0,000E+0	3,000E+3
29,076	1,111	1,130	0,000E+0	0,000E+0	3,000E+3
30,076	1,111	1,130	0,000E+0	0,000E+0	3,000E+3
31,077	1,111	1,060	0,000E+0	0,000E+0	3,000E+3
32,077	1,111	1,030	0,000E+0	0,000E+0	3,000E+3
33,077	1,111	1,070	0,000E+0	0,000E+0	3,000E+3
34,077	1,111	1,180	0,000E+0	0,000E+0	3,000E+3
35,076	1,110	1,120	0,000E+0	0,000E+0	3,000E+3
36,078	1,110	1,120	0,000E+0	0,000E+0	3,000E+3
37,078	1,110	1,060	0,000E+0	0,000E+0	3,000E+3
38,078	1,110	1,050	0,000E+0	0,000E+0	3,000E+3
39,078	1,110	1,110	0,000E+0	0,000E+0	3,000E+3
40,078	1,110	1,050	0,000E+0	0,000E+0	3,000E+3
41,079	1,091	1,170	0,000E+0	0,000E+0	3,000E+3
42,079	1,091	1,170	0,000E+0	0,000E+0	3,000E+3
43,080	1,091	1,080	0,000E+0	0,000E+0	3,000E+3
44,080	1,091	1,070	0,000E+0	0,000E+0	3,000E+3
45,080	1,091	1,100	0,000E+0	0,000E+0	3,000E+3
46,080	1,091	1,130	0,000E+0	0,000E+0	3,000E+3
47,081	1,103	1,120	0,000E+0	0,000E+0	3,000E+3
48,081	1,103	1,120	0,000E+0	0,000E+0	3,000E+3
49,080	1,103	1,060	0,000E+0	0,000E+0	3,000E+3
50,082	1,103	1,040	0,000E+0	0,000E+0	3,000E+3
51,082	1,103	1,060	0,000E+0	0,000E+0	3,000E+3
52,082	1,103	1,120	0,000E+0	0,000E+0	3,000E+3
53,082	1,048	0,920	0,000E+0	0,000E+0	3,000E+3
54,082	1,048	0,920	0,000E+0	0,000E+0	3,000E+3
55,082	1,048	1,080	0,000E+0	0,000E+0	3,000E+3
56,081	1,048	1,150	0,000E+0	0,000E+0	3,000E+3
57,082	1,048	1,090	0,000E+0	0,000E+0	3,000E+3
58,082	1,048	1,140	0,000E+0	0,000E+0	3,000E+3
59,082	1,082	0,970	0,000E+0	0,000E+0	3,000E+3
60,082	1,082	0,970	0,000E+0	0,000E+0	3,000E+3
61,082	1,082	1,050	0,000E+0	0,000E+0	3,000E+3
62,082	1,082	0,970	0,000E+0	0,000E+0	3,000E+3
63,081	1,082	1,040	0,000E+0	0,000E+0	3,000E+3
64,082	1,082	1,070	0,000E+0	0,000E+0	3,000E+3
65,082	1,053	1,100	0,000E+0	0,000E+0	3,000E+3
66,082	1,053	1,100	0,000E+0	0,000E+0	3,000E+3
67,082	1,053	1,100	0,000E+0	0,000E+0	3,000E+3
68,082	1,053	1,090	0,000E+0	0,000E+0	3,000E+3
69,082	1,053	1,080	0,000E+0	0,000E+0	3,000E+3
70,081	1,053	1,100	0,000E+0	0,000E+0	3,000E+3
71,082	1,108	1,120	0,000E+0	0,000E+0	3,000E+3
72,082	1,108	1,180	0,000E+0	0,000E+0	3,000E+3
73,082	1,108	1,070	0,000E+0	0,000E+0	3,000E+3
74,082	1,108	1,030	0,000E+0	0,000E+0	3,000E+3
75,082	1,108	1,030	0,000E+0	0,000E+0	3,000E+3
76,082	1,108	1,130	0,000E+0	0,000E+0	3,000E+3
77,081	1,106	1,120	0,000E+0	0,000E+0	3,000E+3
78,082	1,106	1,120	0,000E+0	0,000E+0	3,000E+3
79,083	1,106	1,120	0,000E+0	0,000E+0	3,000E+3
80,083	1,106	1,180	0,000E+0	0,000E+0	3,000E+3
81,083	1,106	1,180	0,000E+0	0,000E+0	3,000E+3
82,083	1,106	1,070	0,000E+0	0,000E+0	3,000E+3
83,083	1,116	1,000	0,000E+0	0,000E+0	3,000E+3
84,082	1,116	1,000	0,000E+0	0,000E+0	3,000E+3
85,083	1,116	1,120	0,000E+0	0,000E+0	3,000E+3
86,083	1,116	1,120	0,000E+0	0,000E+0	3,000E+3
87,083	1,116	1,070	0,000E+0	0,000E+0	3,000E+3
88,083	1,116	1,070	0,000E+0	0,000E+0	3,000E+3
89,084	1,102	1,120	0,000E+0	0,000E+0	3,000E+3
90,084	1,102	1,120	0,000E+0	0,000E+0	3,000E+3
91,083	1,102	1,130	0,000E+0	0,000E+0	3,000E+3
92,084	1,102	1,120	0,000E+0	0,000E+0	3,000E+3
93,084	1,102	1,110	0,000E+0	0,000E+0	3,000E+3
94,084	1,102	1,050	0,000E+0	0,000E+0	3,000E+3
95,085	1,099	1,110	0,000E+0	0,000E+0	3,000E+3
96,085	1,099	1,160	0,000E+0	0,000E+0	3,000E+3
97,085	1,099	1,080	0,000E+0	0,000E+0	3,000E+3
98,084	1,099	1,140	0,000E+0	0,000E+0	3,000E+3
99,085	1,099	1,130	0,000E+0	0,000E+0	3,000E+3
100,085	1,099	1,130	0,000E+0	0,000E+0	3,000E+3
101,086	1,106	1,020	0,000E+0	0,000E+0	3,000E+3
102,086	1,106	1,190	0,000E+0	0,000E+0	3,000E+3
103,086	1,106	1,080	0,000E+0	0,000E+0	3,000E+3
104,086	1,106	1,070	0,000E+0	0,000E+0	3,000E+3
105,086	1,106	1,130	0,000E+0	0,000E+0	3,000E+3
106,087	1,118	1,070	0,000E+0	0,000E+0	3,000E+3
107,087	1,118	1,070	0,000E+0	0,000E+0	3,000E+3
108,087	1,118	1,140	0,000E+0	0,000E+0	3,000E+3
