t	PV [ºC]	SP [ºC]	MV[A]
0,000	0,000	70,000	0,000E+0
0,000	0,000	70,000	0,000E+0
1,995	45,679	70,000	0,000E+0
1,995	45,679	70,000	0,000E+0
1,995	45,679	70,000	0,000E+0
4,014	45,661	70,000	0,000E+0
4,014	45,661	70,000	0,000E+0
6,030	45,529	70,000	0,000E+0
6,030	45,529	70,000	0,000E+0
8,015	45,529	70,000	0,000E+0
8,015	45,529	70,000	0,000E+0
10,040	45,632	70,000	0,000E+0
10,040	45,632	70,000	0,000E+0
12,061	45,587	70,000	0,000E+0
12,061	45,587	70,000	0,000E+0
14,078	45,581	70,000	0,000E+0
14,078	45,581	70,000	0,000E+0
16,094	45,594	70,000	0,000E+0
16,094	45,594	70,000	0,000E+0
18,113	45,614	70,000	0,000E+0
18,113	45,614	70,000	0,000E+0
20,132	45,601	70,000	0,000E+0
20,132	45,601	70,000	0,000E+0
22,149	45,584	70,000	0,000E+0
22,149	45,584	70,000	0,000E+0
24,168	45,569	70,000	0,000E+0
24,168	45,569	70,000	0,000E+0
26,187	45,589	70,000	0,000E+0
26,187	45,589	70,000	0,000E+0
28,205	45,566	70,000	0,000E+0
28,205	45,566	70,000	0,000E+0
30,222	45,568	70,000	0,000E+0
30,222	45,568	70,000	0,000E+0
32,239	45,546	70,000	0,000E+0
32,239	45,546	70,000	0,000E+0
34,272	45,546	70,000	0,000E+0
34,272	45,546	70,000	0,000E+0
36,289	45,529	70,000	0,000E+0
36,289	45,529	70,000	0,000E+0
38,306	45,569	70,000	0,000E+0
38,306	45,569	70,000	0,000E+0
40,324	45,594	70,000	0,000E+0
40,324	45,594	70,000	0,000E+0
42,342	45,634	70,000	0,000E+0
42,342	45,634	70,000	0,000E+0
44,361	45,607	70,000	0,000E+0
44,361	45,607	70,000	0,000E+0
46,377	45,586	70,000	0,000E+0
46,377	45,586	70,000	0,000E+0
48,394	45,583	70,000	0,000E+0
48,394	45,583	70,000	0,000E+0
50,413	45,566	70,000	0,000E+0
50,413	45,566	70,000	0,000E+0
52,432	45,508	70,000	0,000E+0
52,432	45,508	70,000	0,000E+0
54,451	45,488	70,000	0,000E+0
54,451	45,488	70,000	0,000E+0
56,469	45,494	70,000	0,000E+0
56,469	45,494	70,000	0,000E+0
58,486	45,536	70,000	0,000E+0
58,486	45,536	70,000	0,000E+0
60,521	45,444	70,000	0,000E+0
60,521	45,444	70,000	0,000E+0
62,530	45,586	70,000	0,000E+0
62,530	45,586	70,000	0,000E+0
64,555	45,561	70,000	0,000E+0
