t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
1,995	43,356	70,000	9,990E+1
1,995	43,356	70,000	1,000E-2
1,995	43,391	70,000	1,213E+0
4,014	43,391	70,000	1,049E+0
4,014	43,362	70,000	2,251E+0
6,030	43,362	70,000	4,562E+0
6,030	43,362	70,000	5,764E+0
8,015	43,328	70,000	8,334E+0
8,015	43,361	70,000	9,538E+0
10,040	43,361	70,000	9,415E+0
10,040	43,312	70,000	1,062E+1
12,061	43,312	70,000	1,376E+1
12,061	43,307	70,000	1,497E+1
14,078	43,307	70,000	1,639E+1
14,078	43,256	70,000	1,760E+1
16,094	43,256	70,000	2,082E+1
16,094	43,332	70,000	2,203E+1
18,113	43,332	70,000	2,023E+1
18,113	43,338	70,000	2,143E+1
20,132	43,338	70,000	2,238E+1
20,132	43,314	70,000	2,358E+1
22,149	43,314	70,000	2,575E+1
22,149	43,359	70,000	2,696E+1
24,168	43,359	70,000	2,638E+1
24,168	43,364	70,000	2,758E+1
26,187	43,364	70,000	2,861E+1
26,187	43,400	70,000	2,981E+1
28,205	43,400	70,000	2,959E+1
28,205	43,365	70,000	3,079E+1
30,222	43,365	70,000	3,334E+1
30,222	43,391	70,000	3,454E+1
32,239	43,391	70,000	3,475E+1
32,239	43,389	70,000	3,595E+1
34,272	43,389	70,000	3,719E+1
34,272	43,403	70,000	3,840E+1
36,289	43,403	70,000	3,908E+1
36,289	43,384	70,000	4,028E+1
38,306	43,384	70,000	4,222E+1
38,306	43,451	70,000	4,342E+1
40,324	43,451	70,000	4,195E+1
40,324	43,378	70,000	4,315E+1
42,342	43,378	70,000	4,726E+1
42,342	43,273	70,000	4,846E+1
44,361	43,273	70,000	5,380E+1
44,361	43,294	70,000	5,501E+1
46,377	43,294	70,000	5,538E+1
46,377	43,311	70,000	5,659E+1
48,394	43,311	70,000	5,714E+1
48,394	43,264	70,000	5,835E+1
50,413	43,264	70,000	6,139E+1
50,413	43,303	70,000	6,260E+1
52,432	43,303	70,000	6,228E+1
52,432	43,302	70,000	6,349E+1
54,451	43,302	70,000	6,473E+1
54,451	43,358	70,000	6,594E+1
56,469	43,358	70,000	6,494E+1
56,469	43,341	70,000	6,615E+1
58,486	43,341	70,000	6,802E+1
58,486	43,379	70,000	6,923E+1
60,521	43,379	70,000	6,893E+1
60,521	43,336	70,000	7,013E+1
62,530	43,336	70,000	7,301E+1
62,530	43,367	70,000	7,422E+1
64,555	43,367	70,000	7,419E+1
64,555	43,358	70,000	7,540E+1
66,568	43,358	70,000	7,694E+1
66,568	43,398	70,000	7,814E+1
68,585	43,398	70,000	7,776E+1
68,585	43,425	70,000	7,896E+1
70,625	43,425	70,000	7,909E+1
70,625	43,463	70,000	8,029E+1
72,634	43,463	70,000	7,998E+1
72,634	43,463	70,000	8,118E+1
74,651	43,446	70,000	8,307E+1
74,651	43,446	70,000	8,427E+1
76,670	43,489	70,000	8,377E+1
76,670	43,489	70,000	8,496E+1
78,687	43,489	70,000	8,614E+1
78,687	43,489	70,000	8,734E+1
80,705	43,462	70,000	8,964E+1
80,705	43,462	70,000	9,084E+1
82,692	43,492	70,000	9,204E+1
82,692	43,492	70,000	9,201E+1
84,715	43,493	70,000	9,319E+1
84,715	43,493	70,000	9,439E+1
86,734	43,570	70,000	9,253E+1
86,734	43,570	70,000	9,372E+1
88,751	43,573	70,000	9,480E+1
88,751	43,573	70,000	9,599E+1
90,772	43,609	70,000	9,574E+1
90,772	43,609	70,000	9,693E+1
92,789	43,535	70,000	9,812E+1
92,789	43,535	70,000	9,990E+1
94,806	43,619	70,000	9,990E+1
94,806	43,619	70,000	9,779E+1
96,824	43,620	70,000	9,898E+1
96,824	43,620	70,000	9,990E+1
98,841	43,642	70,000	9,990E+1
98,841	43,642	70,000	9,990E+1
100,860	43,736	70,000	9,990E+1
100,860	43,736	70,000	9,737E+1
102,881	43,759	70,000	9,855E+1
102,881	43,759	70,000	9,881E+1
104,898	43,810	70,000	9,990E+1
104,898	43,810	70,000	9,906E+1
106,917	43,802	70,000	9,990E+1
106,917	43,802	70,000	9,990E+1
108,935	43,872	70,000	9,990E+1
108,935	43,872	70,000	9,829E+1
110,952	43,919	70,000	9,947E+1
110,952	43,919	70,000	9,877E+1
112,971	43,997	70,000	9,990E+1
112,971	43,997	70,000	9,801E+1
114,988	44,099	70,000	9,918E+1
114,988	44,099	70,000	9,631E+1
