t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	3,000E+3
0,002	0,000	1,030	0,000E+0	0,000E+0	3,000E+3
1,002	0,000	0,870	0,000E+0	0,000E+0	3,000E+3
2,003	0,000	0,870	0,000E+0	0,000E+0	3,000E+3
4,002	0,000	1,460	0,000E+0	0,000E+0	3,000E+3
4,002	0,000	1,460	0,000E+0	0,000E+0	3,000E+3
5,002	1,131	1,100	0,000E+0	0,000E+0	3,000E+3
6,005	1,131	1,190	0,000E+0	0,000E+0	3,000E+3
7,008	1,131	1,070	0,000E+0	0,000E+0	3,000E+3
8,007	1,131	1,110	0,000E+0	0,000E+0	3,000E+3
9,007	1,131	1,200	0,000E+0	0,000E+0	3,000E+3
10,008	1,131	1,120	0,000E+0	0,000E+0	3,000E+3
11,008	1,092	0,920	0,000E+0	0,000E+0	3,000E+3
12,008	1,092	0,920	0,000E+0	0,000E+0	3,000E+3
13,008	1,092	1,090	0,000E+0	0,000E+0	3,000E+3
14,009	1,092	1,140	0,000E+0	0,000E+0	3,000E+3
15,008	1,092	1,080	0,000E+0	0,000E+0	3,000E+3
16,008	1,092	1,060	0,000E+0	0,000E+0	3,000E+3
17,009	1,079	1,020	0,000E+0	0,000E+0	3,000E+3
18,009	1,079	1,020	0,000E+0	0,000E+0	3,000E+3
19,009	1,079	1,070	0,000E+0	0,000E+0	3,000E+3
20,009	1,079	1,140	0,000E+0	0,000E+0	3,000E+3
21,010	1,079	1,050	0,000E+0	0,000E+0	3,000E+3
22,009	1,079	1,060	0,000E+0	0,000E+0	3,000E+3
23,009	1,079	1,060	0,000E+0	0,000E+0	3,000E+3
24,009	1,079	1,140	0,000E+0	0,000E+0	3,000E+3
25,009	1,079	1,140	0,000E+0	0,000E+0	3,000E+3
26,010	1,079	1,070	0,000E+0	0,000E+0	3,000E+3
27,010	1,079	1,080	0,000E+0	0,000E+0	3,000E+3
28,011	1,066	1,080	0,000E+0	0,000E+0	3,000E+3
29,010	1,066	1,030	0,000E+0	0,000E+0	3,000E+3
30,010	1,066	1,090	0,000E+0	0,000E+0	3,000E+3
31,010	1,066	1,090	0,000E+0	0,000E+0	3,000E+3
32,010	1,066	1,110	0,000E+0	0,000E+0	3,000E+3
33,011	1,066	1,260	0,000E+0	0,000E+0	3,000E+3
34,010	1,124	1,260	0,000E+0	0,000E+0	3,000E+3
35,012	1,124	1,040	0,000E+0	0,000E+0	3,000E+3
36,011	1,124	1,110	0,000E+0	0,000E+0	3,000E+3
37,011	1,124	1,090	0,000E+0	0,000E+0	3,000E+3
38,011	1,124	1,030	0,000E+0	0,000E+0	3,000E+3
39,011	1,124	1,050	0,000E+0	0,000E+0	3,000E+3
40,012	1,081	1,040	0,000E+0	0,000E+0	3,000E+3
41,011	1,081	1,040	0,000E+0	0,000E+0	3,000E+3
42,011	1,081	1,060	0,000E+0	0,000E+0	3,000E+3
43,011	1,081	1,060	0,000E+0	0,000E+0	3,000E+3
44,011	1,081	1,080	0,000E+0	0,000E+0	3,000E+3
45,011	1,081	1,090	0,000E+0	0,000E+0	3,000E+3
46,011	1,100	1,200	0,000E+0	0,000E+0	3,000E+3
47,012	1,100	1,170	0,000E+0	0,000E+0	3,000E+3
48,011	1,100	1,070	0,000E+0	0,000E+0	3,000E+3
49,011	1,100	1,070	0,000E+0	0,000E+0	3,000E+3
50,011	1,100	1,020	0,000E+0	0,000E+0	3,000E+3
51,011	1,081	1,060	0,000E+0	0,000E+0	3,000E+3
52,011	1,081	1,060	0,000E+0	0,000E+0	3,000E+3
53,011	1,081	1,040	0,000E+0	0,000E+0	3,000E+3
54,012	1,081	1,020	0,000E+0	0,000E+0	3,000E+3
55,011	1,081	1,060	0,000E+0	0,000E+0	3,000E+3
56,011	1,081	1,040	0,000E+0	0,000E+0	3,000E+3
57,011	1,063	1,130	0,000E+0	0,000E+0	3,000E+3
58,011	1,063	1,130	0,000E+0	0,000E+0	3,000E+3
59,011	1,063	1,200	0,000E+0	0,000E+0	3,000E+3
60,011	1,063	1,070	0,000E+0	0,000E+0	3,000E+3
61,012	1,063	1,210	0,000E+0	0,000E+0	3,000E+3
62,011	1,063	1,210	0,000E+0	0,000E+0	3,000E+3
63,011	1,095	1,010	0,000E+0	0,000E+0	3,000E+3
64,011	1,095	0,970	0,000E+0	0,000E+0	3,000E+3
65,011	1,095	1,070	0,000E+0	0,000E+0	3,000E+3
66,012	1,095	1,300	0,000E+0	0,000E+0	3,000E+3
67,011	1,095	0,900	0,000E+0	0,000E+0	3,000E+3
68,012	1,036	1,060	0,000E+0	0,000E+0	3,000E+3
69,011	1,036	1,060	0,000E+0	0,000E+0	3,000E+3
70,011	1,036	1,070	0,000E+0	0,000E+0	3,000E+3
71,011	1,036	1,100	0,000E+0	0,000E+0	3,000E+3
72,011	1,036	1,030	0,000E+0	0,000E+0	3,000E+3
73,012	1,036	1,070	0,000E+0	0,000E+0	3,000E+3
74,011	1,074	1,090	0,000E+0	0,000E+0	3,000E+3
75,011	1,074	1,090	0,000E+0	0,000E+0	3,000E+3
76,011	1,074	1,140	0,000E+0	0,000E+0	3,000E+3
77,011	1,074	1,230	0,000E+0	0,000E+0	3,000E+3
78,011	1,074	1,080	0,000E+0	0,000E+0	3,000E+3
79,012	1,074	1,130	0,000E+0	0,000E+0	3,000E+3
80,011	1,110	1,030	0,000E+0	0,000E+0	3,000E+3
81,012	1,110	1,140	0,000E+0	0,000E+0	3,000E+3
82,012	1,110	1,140	0,000E+0	0,000E+0	3,000E+3
83,012	1,110	1,300	0,000E+0	0,000E+0	3,000E+3
84,012	1,110	1,300	0,000E+0	0,000E+0	3,000E+3
85,012	1,110	0,990	0,000E+0	0,000E+0	3,000E+3
86,013	1,133	1,110	0,000E+0	0,000E+0	3,000E+3
87,012	1,133	1,070	0,000E+0	0,000E+0	3,000E+3
88,013	1,133	1,060	0,000E+0	0,000E+0	3,000E+3
89,013	1,133	1,000	0,000E+0	0,000E+0	3,000E+3
90,013	1,133	1,010	0,000E+0	0,000E+0	3,000E+3
91,013	1,032	1,030	0,000E+0	0,000E+0	3,000E+3
92,013	1,032	1,030	0,000E+0	0,000E+0	3,000E+3
93,014	1,032	1,100	0,000E+0	0,000E+0	3,000E+3
94,013	1,032	1,110	0,000E+0	0,000E+0	3,000E+3
95,014	1,032	1,120	0,000E+0	0,000E+0	3,000E+3
96,014	1,032	1,040	0,000E+0	0,000E+0	3,000E+3
97,015	1,080	1,060	0,000E+0	0,000E+0	3,000E+3
98,015	1,080	1,060	0,000E+0	0,000E+0	3,000E+3
99,016	1,080	1,110	0,000E+0	0,000E+0	3,000E+3
100,018	1,080	1,030	0,000E+0	0,000E+0	3,000E+3
101,017	1,080	1,040	0,000E+0	0,000E+0	3,000E+3
102,017	1,080	1,140	0,000E+0	0,000E+0	3,000E+3
103,017	1,102	1,190	0,000E+0	0,000E+0	3,000E+3
104,017	1,102	1,100	0,000E+0	0,000E+0	3,000E+3
105,018	1,102	1,310	0,000E+0	0,000E+0	3,000E+3
106,018	1,102	0,940	0,000E+0	0,000E+0	3,000E+3
107,019	1,102	0,970	0,000E+0	0,000E+0	3,000E+3
108,018	1,102	0,970	0,000E+0	0,000E+0	3,000E+3
109,018	1,086	1,120	0,000E+0	0,000E+0	3,000E+3
110,018	1,086	1,050	0,000E+0	0,000E+0	3,000E+3
111,019	1,086	1,070	0,000E+0	0,000E+0	3,000E+3
112,021	1,086	1,090	0,000E+0	0,000E+0	3,000E+3
113,020	1,086	1,020	0,000E+0	0,000E+0	3,000E+3
114,020	1,065	1,060	0,000E+0	0,000E+0	3,000E+3
115,020	1,065	1,060	0,000E+0	0,000E+0	3,000E+3
116,020	1,065	1,050	0,000E+0	0,000E+0	3,000E+3
117,020	1,065	1,120	0,000E+0	0,000E+0	3,000E+3
118,020	1,065	1,150	0,000E+0	0,000E+0	3,000E+3
119,021	1,065	1,160	0,000E+0	0,000E+0	3,000E+3
120,020	1,099	1,030	0,000E+0	0,000E+0	3,000E+3
121,020	1,099	1,030	0,000E+0	0,000E+0	3,000E+3
122,020	1,099	1,130	0,000E+0	0,000E+0	3,000E+3
123,020	1,099	1,040	0,000E+0	0,000E+0	3,000E+3
