t	PV [ºC]	SP [ºC]	MV[A]
0,000	0,000	70,000	0,000E+0
0,000	0,000	70,000	0,000E+0
2,062	22,744	70,000	0,000E+0
2,062	22,744	70,000	0,000E+0
4,079	22,767	70,000	0,000E+0
4,079	22,767	70,000	0,000E+0
6,098	22,757	70,000	0,000E+0
6,098	22,757	70,000	0,000E+0
6,098	22,757	70,000	0,000E+0
8,117	22,787	70,000	0,000E+0
8,117	22,787	70,000	0,000E+0
10,136	22,831	70,000	0,000E+0
10,136	22,831	70,000	0,000E+0
12,155	22,834	70,000	0,000E+0
12,155	22,834	70,000	0,000E+0
14,174	22,811	70,000	0,000E+0
14,174	22,811	70,000	0,000E+0
16,191	22,826	70,000	0,000E+0
16,191	22,826	70,000	0,000E+0
18,210	22,844	70,000	0,000E+0
18,210	22,844	70,000	0,000E+0
20,227	22,846	70,000	0,000E+0
20,227	22,846	70,000	0,000E+0
22,244	22,843	70,000	0,000E+0
22,244	22,843	70,000	0,000E+0
24,263	22,874	70,000	0,000E+0
24,263	22,874	70,000	0,000E+0
26,280	22,849	70,000	0,000E+0
26,280	22,849	70,000	0,000E+0
28,297	22,836	70,000	0,000E+0
28,297	22,836	70,000	0,000E+0
30,316	22,841	70,000	0,000E+0
30,316	22,841	70,000	0,000E+0
32,335	22,837	70,000	0,000E+0
32,335	22,837	70,000	0,000E+0
34,352	22,824	70,000	0,000E+0
34,352	22,824	70,000	0,000E+0
36,375	22,854	70,000	0,000E+0
36,375	22,854	70,000	0,000E+0
38,390	22,877	70,000	0,000E+0
38,390	22,877	70,000	0,000E+0
40,419	22,892	70,000	0,000E+0
40,419	22,892	70,000	0,000E+0
42,428	22,870	70,000	0,000E+0
42,428	22,870	70,000	0,000E+0
44,445	22,885	70,000	0,000E+0
44,445	22,885	70,000	0,000E+0
46,466	22,872	70,000	0,000E+0
46,466	22,872	70,000	0,000E+0
48,485	22,899	70,000	0,000E+0
48,485	22,899	70,000	0,000E+0
50,502	22,938	70,000	0,000E+0
50,502	22,938	70,000	0,000E+0
52,521	22,927	70,000	0,000E+0
52,521	22,927	70,000	0,000E+0
54,538	22,965	70,000	0,000E+0
54,538	22,965	70,000	0,000E+0
56,555	22,978	70,000	0,000E+0
56,555	22,978	70,000	0,000E+0
58,574	22,960	70,000	0,000E+0
58,574	22,960	70,000	0,000E+0
60,595	22,960	70,000	0,000E+0
60,595	22,960	70,000	0,000E+0
62,612	23,016	70,000	0,000E+0
62,612	23,016	70,000	0,000E+0
64,633	22,999	70,000	0,000E+0
