t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	20,413	70,000	1,000E-2
2,062	20,413	70,000	2,249E+0
2,062	20,404	70,000	4,827E+0
4,079	20,404	70,000	7,064E+0
4,079	20,408	70,000	9,167E+0
6,098	20,408	70,000	1,140E+1
6,098	20,414	70,000	1,341E+1
8,117	20,414	70,000	1,564E+1
8,117	20,418	70,000	1,772E+1
10,136	20,418	70,000	1,996E+1
10,136	20,433	70,000	2,161E+1
12,155	20,433	70,000	2,385E+1
12,155	20,498	70,000	2,351E+1
14,174	20,498	70,000	2,574E+1
14,174	20,509	70,000	2,754E+1
16,191	20,509	70,000	2,978E+1
16,191	20,505	70,000	3,217E+1
18,210	20,505	70,000	3,441E+1
18,210	20,534	70,000	3,549E+1
20,227	20,534	70,000	3,773E+1
20,227	20,590	70,000	3,780E+1
22,244	20,590	70,000	3,999E+1
22,244	20,573	70,000	4,286E+1
24,263	20,573	70,000	4,509E+1
24,263	20,471	70,000	5,136E+1
26,280	20,471	70,000	5,360E+1
26,280	20,514	70,000	5,417E+1
28,297	20,514	70,000	5,640E+1
28,297	20,498	70,000	5,927E+1
30,316	20,498	70,000	6,151E+1
30,316	20,500	70,000	6,364E+1
32,335	20,500	70,000	6,588E+1
32,335	20,564	70,000	6,558E+1
34,352	20,564	70,000	6,781E+1
34,352	20,573	70,000	6,967E+1
36,375	20,573	70,000	7,190E+1
36,375	20,568	70,000	7,435E+1
38,390	20,568	70,000	7,658E+1
38,390	20,601	70,000	7,750E+1
40,419	20,601	70,000	7,973E+1
40,419	20,642	70,000	8,034E+1
42,428	20,642	70,000	8,257E+1
42,428	20,607	70,000	8,620E+1
44,445	20,607	70,000	8,843E+1
44,445	20,661	70,000	8,851E+1
46,466	20,661	70,000	9,073E+1
46,466	20,697	70,000	9,151E+1
48,485	20,697	70,000	9,374E+1
48,485	20,730	70,000	9,466E+1
50,502	20,730	70,000	9,688E+1
50,502	20,760	70,000	9,794E+1
52,521	20,760	70,000	9,990E+1
52,521	20,749	70,000	9,990E+1
54,538	20,749	70,000	9,990E+1
54,538	20,785	70,000	9,990E+1
56,555	20,785	70,000	9,990E+1
56,555	20,816	70,000	9,990E+1
58,574	20,816	70,000	9,990E+1
58,574	20,840	70,000	9,990E+1
60,595	20,840	70,000	9,990E+1
60,595	20,906	70,000	9,952E+1
62,612	20,906	70,000	9,990E+1
62,612	20,910	70,000	9,990E+1
64,633	20,910	70,000	9,990E+1
64,633	20,947	70,000	9,990E+1
66,650	20,947	70,000	9,990E+1
66,650	20,947	70,000	9,990E+1
68,667	20,985	70,000	9,990E+1
68,667	20,985	70,000	9,990E+1
70,684	21,014	70,000	9,990E+1
70,684	21,014	70,000	9,990E+1
72,703	21,067	70,000	9,990E+1
72,703	21,067	70,000	9,990E+1
74,720	21,101	70,000	9,990E+1
74,720	21,101	70,000	9,990E+1
76,737	21,119	70,000	9,990E+1
76,737	21,119	70,000	9,990E+1
78,756	21,146	70,000	9,990E+1
78,756	21,146	70,000	9,990E+1
80,775	21,178	70,000	9,990E+1
80,775	21,178	70,000	9,990E+1
82,792	21,186	70,000	9,990E+1
82,792	21,186	70,000	9,990E+1
84,811	21,221	70,000	9,990E+1
84,811	21,221	70,000	9,990E+1
86,828	21,242	70,000	9,990E+1
86,828	21,242	70,000	9,990E+1
88,845	21,323	70,000	9,887E+1
88,845	21,323	70,000	9,990E+1
90,864	21,335	70,000	9,990E+1
90,864	21,335	70,000	9,990E+1
92,883	21,382	70,000	9,990E+1
92,883	21,382	70,000	9,990E+1
94,902	21,422	70,000	9,990E+1
94,902	21,422	70,000	9,990E+1
96,921	21,488	70,000	9,948E+1
96,921	21,488	70,000	9,990E+1
98,938	21,540	70,000	9,990E+1
98,938	21,540	70,000	9,990E+1
100,955	21,567	70,000	9,990E+1
100,955	21,567	70,000	9,990E+1
102,974	21,650	70,000	9,880E+1
102,974	21,650	70,000	9,990E+1
104,993	21,694	70,000	9,990E+1
104,993	21,694	70,000	9,990E+1
107,010	21,729	70,000	9,990E+1
107,010	21,729	70,000	9,990E+1
109,027	21,752	70,000	9,990E+1
109,027	21,752	70,000	9,990E+1
109,027	21,834	70,000	9,881E+1
111,046	21,834	70,000	9,990E+1
111,046	21,870	70,000	9,990E+1
113,063	21,870	70,000	9,990E+1
113,063	21,847	70,000	9,990E+1
115,082	21,847	70,000	9,990E+1
