t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	20,213	70,000	9,990E+1
2,005	20,213	70,000	1,000E-2
2,005	20,135	70,000	2,258E+0
4,022	20,135	70,000	7,636E+0
4,022	20,256	70,000	9,888E+0
6,042	20,256	70,000	7,345E+0
6,042	20,176	70,000	9,591E+0
8,063	20,176	70,000	1,499E+1
8,063	20,393	70,000	1,724E+1
10,080	20,393	70,000	1,087E+1
10,080	20,354	70,000	1,311E+1
12,102	20,354	70,000	1,695E+1
12,102	20,393	70,000	1,918E+1
14,119	20,393	70,000	1,985E+1
14,119	20,059	70,000	2,209E+1
16,137	20,059	70,000	3,759E+1
16,137	20,348	70,000	3,984E+1
18,154	20,348	70,000	3,064E+1
18,154	20,309	70,000	3,289E+1
20,171	20,309	70,000	3,667E+1
20,171	20,201	70,000	3,892E+1
22,189	20,201	70,000	4,542E+1
22,189	20,335	70,000	4,767E+1
24,206	20,335	70,000	4,459E+1
24,206	20,385	70,000	4,683E+1
26,224	20,385	70,000	4,711E+1
26,224	20,219	70,000	4,935E+1
28,243	20,219	70,000	5,817E+1
28,243	20,247	70,000	6,042E+1
30,264	20,247	70,000	6,154E+1
30,264	20,283	70,000	6,378E+1
32,284	20,283	70,000	6,462E+1
32,284	20,233	70,000	6,687E+1
34,303	20,233	70,000	7,111E+1
34,303	20,373	70,000	7,336E+1
36,323	20,373	70,000	7,004E+1
36,323	20,203	70,000	7,228E+1
38,340	20,203	70,000	8,124E+1
38,340	20,206	70,000	8,349E+1
40,360	20,206	70,000	8,566E+1
40,360	20,223	70,000	8,790E+1
42,378	20,223	70,000	8,948E+1
42,378	20,290	70,000	9,173E+1
44,397	20,290	70,000	9,130E+1
44,397	20,271	70,000	9,354E+1
46,414	20,271	70,000	9,654E+1
46,414	20,273	70,000	9,879E+1
48,432	20,273	70,000	9,990E+1
48,432	20,269	70,000	9,990E+1
50,451	20,269	70,000	9,990E+1
50,451	20,316	70,000	9,990E+1
52,471	20,316	70,000	9,990E+1
52,471	20,342	70,000	9,990E+1
54,491	20,342	70,000	9,990E+1
54,491	20,450	70,000	9,990E+1
56,508	20,450	70,000	9,786E+1
56,508	20,445	70,000	9,990E+1
58,528	20,445	70,000	9,990E+1
58,528	20,404	70,000	9,990E+1
60,549	20,404	70,000	9,990E+1
60,549	20,459	70,000	9,990E+1
62,569	20,459	70,000	9,990E+1
62,569	20,476	70,000	9,990E+1
64,586	20,476	70,000	9,990E+1
64,586	20,482	70,000	9,990E+1
66,604	20,482	70,000	9,990E+1
66,604	20,528	70,000	9,990E+1
68,621	20,528	70,000	9,990E+1
68,621	20,564	70,000	9,990E+1
70,641	20,564	70,000	9,990E+1
70,641	20,564	70,000	9,990E+1
72,658	20,602	70,000	9,990E+1
72,658	20,602	70,000	9,990E+1
74,676	20,638	70,000	9,990E+1
74,676	20,638	70,000	9,990E+1
76,695	20,669	70,000	9,990E+1
76,695	20,669	70,000	9,990E+1
78,713	20,708	70,000	9,990E+1
78,713	20,708	70,000	9,990E+1
80,731	20,749	70,000	9,990E+1
80,731	20,749	70,000	9,990E+1
82,748	20,808	70,000	9,983E+1
82,748	20,808	70,000	9,990E+1
84,768	20,858	70,000	9,990E+1
84,768	20,858	70,000	9,990E+1
86,787	20,895	70,000	9,990E+1
86,787	20,895	70,000	9,990E+1
88,807	20,955	70,000	9,990E+1
88,807	20,955	70,000	9,974E+1
90,824	20,964	70,000	9,990E+1
90,824	20,964	70,000	9,990E+1
92,844	21,021	70,000	9,990E+1
92,844	21,021	70,000	9,984E+1
94,862	21,061	70,000	9,990E+1
94,862	21,061	70,000	9,990E+1
96,881	21,097	70,000	9,990E+1
96,881	21,097	70,000	9,990E+1
98,899	21,136	70,000	9,990E+1
98,899	21,136	70,000	9,990E+1
100,919	21,174	70,000	9,990E+1
100,919	21,174	70,000	9,990E+1
102,936	21,195	70,000	9,990E+1
102,936	21,195	70,000	9,990E+1
104,954	21,240	70,000	9,990E+1
104,954	21,240	70,000	9,990E+1
106,973	21,324	70,000	9,990E+1
106,973	21,324	70,000	9,877E+1
108,991	21,312	70,000	9,990E+1
108,991	21,312	70,000	9,990E+1
111,008	21,372	70,000	9,990E+1
111,008	21,372	70,000	9,967E+1
111,008	21,410	70,000	9,990E+1
113,026	21,410	70,000	9,990E+1
113,026	21,439	70,000	9,990E+1
115,043	21,439	70,000	9,990E+1
