t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,003	0,000	0,075	3,000E-1	3,000E+1
1,060	0,000	0,075	3,000E-1	3,000E+1
2,060	0,000	0,075	3,000E-1	3,000E+1
3,060	0,000	0,075	3,000E-1	3,000E+1
4,061	0,000	0,075	3,000E-1	3,000E+1
5,060	0,000	0,075	3,000E-1	3,000E+1
6,060	0,000	0,075	3,000E-1	3,000E+1
7,060	0,000	0,075	3,000E-1	3,000E+1
8,060	0,000	0,075	3,000E-1	3,000E+1
9,061	0,000	0,075	3,000E-1	3,000E+1
10,060	0,000	0,075	3,000E-1	3,000E+1
11,060	0,000	0,075	3,000E-1	3,000E+1
12,060	0,000	0,075	3,000E-1	3,000E+1
13,060	0,000	0,075	3,000E-1	3,000E+1
14,060	0,000	0,075	3,000E-1	3,000E+1
15,062	0,000	0,075	3,000E-1	3,000E+1
16,063	0,000	0,075	3,000E-1	3,000E+1
17,063	0,000	0,075	3,000E-1	3,000E+1
18,063	0,000	0,075	3,000E-1	3,000E+1
19,063	0,000	0,075	3,000E-1	3,000E+1
20,063	0,000	0,075	3,000E-1	3,000E+1
21,063	0,000	0,075	3,000E-1	3,000E+1
22,063	0,000	0,075	3,000E-1	3,000E+1
23,064	0,000	0,075	3,000E-1	3,000E+1
24,063	0,000	0,075	3,000E-1	3,000E+1
25,063	0,000	0,075	3,000E-1	3,000E+1
26,064	0,000	0,075	3,000E-1	3,000E+1
27,064	0,000	0,075	3,000E-1	3,000E+1
28,064	0,000	0,075	3,000E-1	3,000E+1
29,064	0,000	0,075	3,000E-1	3,000E+1
30,064	0,000	0,075	3,000E-1	3,000E+1
31,064	0,000	0,075	3,000E-1	3,000E+1
32,064	0,000	0,075	3,000E-1	3,000E+1
33,064	0,000	0,075	3,000E-1	3,000E+1
34,064	0,000	0,075	3,000E-1	3,000E+1
35,065	0,000	0,075	3,000E-1	3,000E+1
36,064	0,000	0,075	3,000E-1	3,000E+1
37,064	0,000	0,075	3,000E-1	3,000E+1
38,064	0,000	0,075	3,000E-1	3,000E+1
39,064	0,000	0,075	3,000E-1	3,000E+1
40,064	0,000	0,075	3,000E-1	3,000E+1
41,064	0,000	0,075	3,000E-1	3,000E+1
42,065	0,000	0,075	3,000E-1	3,000E+1
43,064	0,000	0,075	3,000E-1	3,000E+1
44,064	0,000	0,075	3,000E-1	3,000E+1
45,064	0,000	0,075	3,000E-1	3,000E+1
