t	PV [ºC]	SP [ºC]	MV[A]
0,000	0,000	70,000	0,000E+0
0,000	0,000	70,000	0,000E+0
2,005	19,513	70,000	0,000E+0
2,005	19,513	70,000	0,000E+0
4,022	19,516	70,000	0,000E+0
4,022	19,516	70,000	0,000E+0
6,042	19,577	70,000	0,000E+0
6,042	19,577	70,000	0,000E+0
8,063	19,605	70,000	0,000E+0
8,063	19,605	70,000	0,000E+0
8,063	19,605	70,000	0,000E+0
10,080	19,541	70,000	0,000E+0
10,080	19,541	70,000	0,000E+0
12,102	19,500	70,000	0,000E+0
12,102	19,500	70,000	0,000E+0
14,119	19,523	70,000	0,000E+0
14,119	19,523	70,000	0,000E+0
16,137	19,548	70,000	0,000E+0
16,137	19,548	70,000	0,000E+0
18,154	19,568	70,000	0,000E+0
18,154	19,568	70,000	0,000E+0
20,171	19,568	70,000	0,000E+0
20,171	19,568	70,000	0,000E+0
22,189	19,596	70,000	0,000E+0
22,189	19,596	70,000	0,000E+0
24,206	19,573	70,000	0,000E+0
24,206	19,573	70,000	0,000E+0
26,224	19,578	70,000	0,000E+0
26,224	19,578	70,000	0,000E+0
28,243	19,512	70,000	0,000E+0
28,243	19,512	70,000	0,000E+0
30,264	19,501	70,000	0,000E+0
30,264	19,501	70,000	0,000E+0
32,284	19,568	70,000	0,000E+0
32,284	19,568	70,000	0,000E+0
34,303	19,585	70,000	0,000E+0
34,303	19,585	70,000	0,000E+0
36,323	19,596	70,000	0,000E+0
36,323	19,596	70,000	0,000E+0
38,340	19,589	70,000	0,000E+0
38,340	19,589	70,000	0,000E+0
40,360	19,543	70,000	0,000E+0
40,360	19,543	70,000	0,000E+0
42,378	19,545	70,000	0,000E+0
42,378	19,545	70,000	0,000E+0
44,397	19,619	70,000	0,000E+0
44,397	19,619	70,000	0,000E+0
46,414	19,691	70,000	0,000E+0
46,414	19,691	70,000	0,000E+0
48,432	19,701	70,000	0,000E+0
48,432	19,701	70,000	0,000E+0
50,451	19,617	70,000	0,000E+0
50,451	19,617	70,000	0,000E+0
52,471	19,599	70,000	0,000E+0
52,471	19,599	70,000	0,000E+0
54,491	19,714	70,000	0,000E+0
54,491	19,714	70,000	0,000E+0
56,508	19,747	70,000	0,000E+0
56,508	19,747	70,000	0,000E+0
58,528	19,713	70,000	0,000E+0
58,528	19,713	70,000	0,000E+0
60,549	19,586	70,000	0,000E+0
60,549	19,586	70,000	0,000E+0
62,569	19,731	70,000	0,000E+0
62,569	19,731	70,000	0,000E+0
64,586	19,751	70,000	0,000E+0
