t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
1,992	-47,780	-47,765	2,229E+1	2,245E+1	2,259E+1	2,255E+1	2,268E+1	2,262E+1	2,264E+1	2,263E+1	2,289E+1	2,255E+1
1,992	-47,780	-47,765	2,229E+1	2,245E+1	2,259E+1	2,255E+1	2,268E+1	2,262E+1	2,264E+1	2,263E+1	2,289E+1	2,255E+1
4,009	59,768	59,783	2,231E+1	2,246E+1	2,252E+1	2,256E+1	2,279E+1	2,261E+1	2,264E+1	2,265E+1	2,296E+1	2,255E+1
4,009	59,768	59,783	2,231E+1	2,246E+1	2,252E+1	2,256E+1	2,279E+1	2,261E+1	2,264E+1	2,265E+1	2,296E+1	2,255E+1
6,028	75,866	75,881	2,231E+1	2,245E+1	2,252E+1	2,256E+1	2,286E+1	2,262E+1	2,265E+1	2,264E+1	2,301E+1	2,254E+1
6,028	75,866	75,881	2,231E+1	2,245E+1	2,252E+1	2,256E+1	2,286E+1	2,262E+1	2,265E+1	2,264E+1	2,301E+1	2,254E+1
8,045	56,339	56,354	2,231E+1	2,246E+1	2,250E+1	2,257E+1	2,294E+1	2,263E+1	2,266E+1	2,264E+1	2,305E+1	2,256E+1
8,045	56,339	56,354	2,231E+1	2,246E+1	2,250E+1	2,257E+1	2,294E+1	2,263E+1	2,266E+1	2,264E+1	2,305E+1	2,256E+1
10,063	8,886	8,901	2,230E+1	2,245E+1	2,251E+1	2,255E+1	2,302E+1	2,266E+1	2,266E+1	2,264E+1	2,310E+1	2,257E+1
10,063	8,886	8,901	2,230E+1	2,245E+1	2,251E+1	2,255E+1	2,302E+1	2,266E+1	2,266E+1	2,264E+1	2,310E+1	2,257E+1
12,082	22,223	22,238	2,232E+1	2,247E+1	2,252E+1	2,256E+1	2,309E+1	2,267E+1	2,266E+1	2,265E+1	2,312E+1	2,257E+1
12,082	22,223	22,238	2,232E+1	2,247E+1	2,252E+1	2,256E+1	2,309E+1	2,267E+1	2,266E+1	2,265E+1	2,312E+1	2,257E+1
14,097	-19,487	-19,472	2,234E+1	2,245E+1	2,252E+1	2,256E+1	2,315E+1	2,271E+1	2,264E+1	2,267E+1	2,316E+1	2,258E+1
14,097	-19,487	-19,472	2,234E+1	2,245E+1	2,252E+1	2,256E+1	2,315E+1	2,271E+1	2,264E+1	2,267E+1	2,316E+1	2,258E+1
