t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
1,992	20,518	70,000	1,000E-2
1,992	20,518	70,000	2,240E+0
4,009	20,516	70,000	4,553E+0
4,009	20,516	70,000	6,790E+0
6,028	20,517	70,000	8,980E+0
6,028	20,517	70,000	1,122E+1
8,045	20,518	70,000	1,340E+1
8,045	20,518	70,000	1,563E+1
8,045	20,520	70,000	1,777E+1
10,063	20,520	70,000	2,000E+1
10,063	20,530	70,000	2,186E+1
12,082	20,530	70,000	2,410E+1
12,082	20,532	70,000	2,633E+1
14,097	20,532	70,000	2,846E+1
14,097	20,537	70,000	3,071E+1
16,118	20,537	70,000	3,279E+1
16,118	20,543	70,000	3,502E+1
18,135	20,543	70,000	3,699E+1
18,135	20,547	70,000	3,921E+1
20,157	20,547	70,000	4,128E+1
20,157	20,554	70,000	4,353E+1
22,170	20,554	70,000	4,550E+1
22,170	20,562	70,000	4,775E+1
24,191	20,562	70,000	4,966E+1
24,191	20,572	70,000	5,189E+1
26,208	20,572	70,000	5,369E+1
26,208	20,580	70,000	5,591E+1
28,225	20,580	70,000	5,787E+1
28,225	20,590	70,000	6,009E+1
30,243	20,590	70,000	6,192E+1
30,243	20,599	70,000	6,415E+1
32,262	20,599	70,000	6,603E+1
32,262	20,606	70,000	6,826E+1
34,279	20,606	70,000	7,021E+1
34,279	20,623	70,000	7,244E+1
36,298	20,623	70,000	7,399E+1
36,298	20,639	70,000	7,621E+1
38,315	20,639	70,000	7,779E+1
38,315	20,652	70,000	8,003E+1
40,333	20,652	70,000	8,174E+1
40,333	20,672	70,000	8,397E+1
42,350	20,672	70,000	8,542E+1
42,350	20,698	70,000	8,765E+1
44,369	20,698	70,000	8,888E+1
44,369	20,724	70,000	9,110E+1
46,386	20,724	70,000	9,233E+1
46,386	20,751	70,000	9,450E+1
48,403	20,751	70,000	9,566E+1
48,403	20,773	70,000	9,788E+1
50,424	20,773	70,000	9,925E+1
50,424	20,800	70,000	9,990E+1
52,440	20,800	70,000	9,990E+1
52,440	20,831	70,000	9,990E+1
54,457	20,831	70,000	9,990E+1
54,457	20,862	70,000	9,990E+1
56,478	20,862	70,000	9,990E+1
56,478	20,888	70,000	9,990E+1
58,495	20,888	70,000	9,990E+1
58,495	20,905	70,000	9,990E+1
60,513	20,905	70,000	9,990E+1
60,513	20,927	70,000	9,990E+1
62,532	20,927	70,000	9,990E+1
62,532	20,977	70,000	9,990E+1
64,551	20,977	70,000	9,990E+1
64,551	20,999	70,000	9,990E+1
66,568	20,999	70,000	9,990E+1
66,568	21,025	70,000	9,990E+1
68,587	21,025	70,000	9,990E+1
68,587	21,068	70,000	9,990E+1
70,605	21,068	70,000	9,990E+1
70,605	21,115	70,000	9,990E+1
72,622	21,115	70,000	9,990E+1
72,622	21,137	70,000	9,990E+1
74,641	21,137	70,000	9,990E+1
74,641	21,183	70,000	9,990E+1
76,658	21,183	70,000	9,990E+1
76,658	21,209	70,000	9,990E+1
78,675	21,209	70,000	9,990E+1
78,675	21,254	70,000	9,990E+1
80,693	21,254	70,000	9,990E+1
80,693	21,279	70,000	9,990E+1
82,710	21,279	70,000	9,990E+1
82,710	21,343	70,000	9,956E+1
84,729	21,343	70,000	9,990E+1
84,729	21,374	70,000	9,990E+1
86,748	21,374	70,000	9,990E+1
86,748	21,423	70,000	9,990E+1
88,768	21,423	70,000	9,990E+1
88,768	21,448	70,000	9,990E+1
90,787	21,448	70,000	9,990E+1
90,787	21,483	70,000	9,990E+1
92,806	21,483	70,000	9,990E+1
92,806	21,541	70,000	9,983E+1
94,825	21,541	70,000	9,990E+1
94,825	21,555	70,000	9,990E+1
96,844	21,555	70,000	9,990E+1
96,844	21,591	70,000	9,990E+1
98,862	21,591	70,000	9,990E+1
98,862	21,656	70,000	9,953E+1
100,879	21,656	70,000	9,990E+1
100,879	21,680	70,000	9,990E+1
102,898	21,680	70,000	9,990E+1
102,898	21,734	70,000	9,990E+1
104,917	21,734	70,000	9,990E+1
104,917	21,759	70,000	9,990E+1
106,934	21,759	70,000	9,990E+1
106,934	21,791	70,000	9,990E+1
108,953	21,791	70,000	9,990E+1
108,953	21,816	70,000	9,990E+1
110,969	21,816	70,000	9,990E+1
110,969	21,873	70,000	9,983E+1
112,988	21,873	70,000	9,990E+1
112,988	21,902	70,000	9,990E+1
115,007	21,902	70,000	9,990E+1
115,007	21,918	70,000	9,990E+1
