t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,087	0,000	0,075	3,000E-1	3,000E+1
1,096	0,000	0,075	3,000E-1	3,000E+1
2,103	0,000	0,075	3,000E-1	3,000E+1
3,110	0,000	0,075	3,000E-1	3,000E+1
4,118	0,000	0,075	3,000E-1	3,000E+1
5,125	0,000	0,075	3,000E-1	3,000E+1
6,179	0,000	0,075	3,000E-1	3,000E+1
7,196	0,000	0,075	3,000E-1	3,000E+1
8,252	0,000	0,075	3,000E-1	3,000E+1
9,253	0,000	0,075	3,000E-1	3,000E+1
10,253	0,000	0,075	3,000E-1	3,000E+1
11,253	0,000	0,075	3,000E-1	3,000E+1
12,253	0,000	0,075	3,000E-1	3,000E+1
13,261	0,000	0,075	3,000E-1	3,000E+1
14,276	0,000	0,075	3,000E-1	3,000E+1
15,291	0,000	0,075	3,000E-1	3,000E+1
16,291	0,000	0,075	3,000E-1	3,000E+1
17,291	0,000	0,075	3,000E-1	3,000E+1
18,292	0,000	0,075	3,000E-1	3,000E+1
19,343	0,000	0,075	3,000E-1	3,000E+1
20,369	0,000	0,075	3,000E-1	3,000E+1
21,370	0,000	0,075	3,000E-1	3,000E+1
22,385	0,000	0,075	3,000E-1	3,000E+1
23,385	0,000	0,075	3,000E-1	3,000E+1
24,385	0,000	0,075	3,000E-1	3,000E+1
25,388	0,000	0,075	3,000E-1	3,000E+1
26,401	0,000	0,075	3,000E-1	3,000E+1
27,401	0,000	0,075	3,000E-1	3,000E+1
28,410	0,000	0,075	3,000E-1	3,000E+1
29,415	0,000	0,075	3,000E-1	3,000E+1
30,416	0,000	0,075	3,000E-1	3,000E+1
31,417	0,000	0,075	3,000E-1	3,000E+1
32,432	0,000	0,075	3,000E-1	3,000E+1
33,432	0,000	0,075	3,000E-1	3,000E+1
34,432	0,000	0,075	3,000E-1	3,000E+1
35,432	0,000	0,075	3,000E-1	3,000E+1
36,447	0,000	0,075	3,000E-1	3,000E+1
37,447	0,000	0,075	3,000E-1	3,000E+1
38,447	0,000	0,075	3,000E-1	3,000E+1
39,448	0,000	0,075	3,000E-1	3,000E+1
40,448	0,000	0,075	3,000E-1	3,000E+1
41,448	0,000	0,075	3,000E-1	3,000E+1
42,448	0,000	0,075	3,000E-1	3,000E+1
43,462	0,000	0,075	3,000E-1	3,000E+1
