t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	3,000E+3
0,087	1,114	1,920	0,000E+0	0,000E+0	3,000E+3
1,096	1,114	1,400	0,000E+0	0,000E+0	3,000E+3
2,103	1,114	1,300	0,000E+0	0,000E+0	3,000E+3
3,110	1,114	1,350	0,000E+0	0,000E+0	3,000E+3
4,118	1,114	1,670	0,000E+0	0,000E+0	3,000E+3
5,125	1,114	1,260	0,000E+0	0,000E+0	3,000E+3
6,179	1,355	1,220	0,000E+0	0,000E+0	3,000E+3
7,196	1,355	1,220	0,000E+0	0,000E+0	3,000E+3
8,252	1,355	1,130	0,000E+0	0,000E+0	3,000E+3
9,253	1,355	1,130	0,000E+0	0,000E+0	3,000E+3
10,253	1,355	1,150	0,000E+0	0,000E+0	3,000E+3
11,253	1,355	1,290	0,000E+0	0,000E+0	3,000E+3
12,253	1,239	1,290	0,000E+0	0,000E+0	3,000E+3
13,261	1,239	1,200	0,000E+0	0,000E+0	3,000E+3
14,276	1,239	1,200	0,000E+0	0,000E+0	3,000E+3
15,291	1,239	1,200	0,000E+0	0,000E+0	3,000E+3
16,291	1,239	1,140	0,000E+0	0,000E+0	3,000E+3
17,291	1,239	1,220	0,000E+0	0,000E+0	3,000E+3
18,292	1,239	1,100	0,000E+0	0,000E+0	3,000E+3
19,343	1,164	1,180	0,000E+0	0,000E+0	3,000E+3
20,369	1,164	1,130	0,000E+0	0,000E+0	3,000E+3
21,370	1,164	1,090	0,000E+0	0,000E+0	3,000E+3
22,385	1,164	1,160	0,000E+0	0,000E+0	3,000E+3
23,385	1,164	1,200	0,000E+0	0,000E+0	3,000E+3
24,385	1,155	1,170	0,000E+0	0,000E+0	3,000E+3
25,388	1,155	1,170	0,000E+0	0,000E+0	3,000E+3
26,401	1,155	1,170	0,000E+0	0,000E+0	3,000E+3
27,401	1,155	1,110	0,000E+0	0,000E+0	3,000E+3
28,410	1,155	1,100	0,000E+0	0,000E+0	3,000E+3
29,415	1,155	1,240	0,000E+0	0,000E+0	3,000E+3
30,416	1,155	1,120	0,000E+0	0,000E+0	3,000E+3
31,417	1,128	1,040	0,000E+0	0,000E+0	3,000E+3
32,432	1,128	1,160	0,000E+0	0,000E+0	3,000E+3
33,432	1,128	1,160	0,000E+0	0,000E+0	3,000E+3
34,432	1,128	1,050	0,000E+0	0,000E+0	3,000E+3
35,432	1,128	1,120	0,000E+0	0,000E+0	3,000E+3
36,447	1,128	1,120	0,000E+0	0,000E+0	3,000E+3
37,447	1,091	1,110	0,000E+0	0,000E+0	3,000E+3
38,447	1,091	1,110	0,000E+0	0,000E+0	3,000E+3
39,448	1,091	1,210	0,000E+0	0,000E+0	3,000E+3
40,448	1,091	1,130	0,000E+0	0,000E+0	3,000E+3
41,448	1,091	1,190	0,000E+0	0,000E+0	3,000E+3
42,448	1,135	1,190	0,000E+0	0,000E+0	3,000E+3
43,462	1,135	1,040	0,000E+0	0,000E+0	3,000E+3
44,464	1,135	1,040	0,000E+0	0,000E+0	3,000E+3
45,478	1,135	1,040	0,000E+0	0,000E+0	3,000E+3
46,487	1,135	1,040	0,000E+0	0,000E+0	3,000E+3
47,498	1,135	1,040	0,000E+0	0,000E+0	3,000E+3
48,502	1,135	1,130	0,000E+0	0,000E+0	3,000E+3
49,510	1,135	1,160	0,000E+0	0,000E+0	3,000E+3
50,510	1,135	1,150	0,000E+0	0,000E+0	3,000E+3
