t	PV [ºC]	SP [ºC]	MV[A]
0,000	0,000	69,000	3,200E-1
0,000	0,000	69,000	3,200E-1
0,000	0,000	69,000	3,200E-1
2,141	61,532	69,000	3,200E-1
2,141	61,532	69,000	0,000E+0
4,308	61,505	69,000	3,200E-1
4,308	61,505	69,000	3,200E-1
6,475	61,448	69,000	3,200E-1
6,475	61,448	69,000	3,200E-1
8,640	61,420	69,000	3,200E-1
8,640	61,420	69,000	3,200E-1
10,809	61,420	69,000	3,200E-1
10,809	61,438	69,000	3,200E-1
12,975	61,438	69,000	3,200E-1
12,975	61,388	69,000	3,200E-1
12,975	61,388	69,000	3,200E-1
15,142	61,390	69,000	3,200E-1
15,142	61,390	69,000	3,200E-1
17,307	61,407	69,000	3,200E-1
17,307	61,407	69,000	3,200E-1
19,474	61,380	69,000	3,200E-1
19,474	61,380	69,000	3,200E-1
21,641	61,364	69,000	3,200E-1
21,641	61,364	69,000	3,200E-1
23,810	61,364	69,000	3,200E-1
23,810	61,374	69,000	3,200E-1
25,976	61,374	69,000	3,200E-1
25,976	61,368	69,000	3,200E-1
25,976	61,368	69,000	3,200E-1
28,143	61,321	69,000	3,200E-1
28,143	61,321	69,000	3,200E-1
30,308	61,328	69,000	3,200E-1
30,308	61,328	69,000	3,200E-1
32,475	61,316	69,000	3,200E-1
32,475	61,316	69,000	3,200E-1
34,641	61,309	69,000	3,200E-1
34,641	61,309	69,000	3,200E-1
36,808	61,309	69,000	3,200E-1
36,808	61,289	69,000	3,200E-1
38,977	61,289	69,000	3,200E-1
38,977	61,282	69,000	3,200E-1
38,977	61,282	69,000	3,200E-1
41,144	61,267	69,000	3,200E-1
41,144	61,267	69,000	3,200E-1
43,308	61,242	69,000	3,200E-1
43,308	61,242	69,000	3,200E-1
45,473	61,279	69,000	3,200E-1
45,473	61,279	69,000	3,200E-1
47,638	61,272	69,000	3,200E-1
47,638	61,272	69,000	3,200E-1
49,805	61,272	69,000	3,200E-1
49,805	61,311	69,000	3,200E-1
51,972	61,311	69,000	3,200E-1
51,972	61,265	69,000	3,200E-1
51,972	61,265	69,000	3,200E-1
54,138	61,272	69,000	3,200E-1
54,138	61,272	69,000	3,200E-1
56,303	61,267	69,000	3,200E-1
56,303	61,267	69,000	3,200E-1
58,470	61,201	69,000	3,200E-1
