t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
2,141	62,510	0,000	6,027E+1	6,116E+1	6,080E+1	5,613E+1	6,673E+1	6,817E+1	5,765E+1	6,330E+1	6,422E+1	5,074E+1
2,141	62,510	0,000	6,027E+1	6,116E+1	6,080E+1	5,613E+1	6,673E+1	6,817E+1	5,765E+1	6,330E+1	6,422E+1	5,074E+1
4,306	62,483	0,000	6,025E+1	6,113E+1	6,084E+1	5,618E+1	6,674E+1	6,812E+1	5,762E+1	6,334E+1	6,415E+1	5,085E+1
4,306	62,483	0,000	6,025E+1	6,113E+1	6,084E+1	5,618E+1	6,674E+1	6,812E+1	5,762E+1	6,334E+1	6,415E+1	5,085E+1
6,472	62,455	0,000	6,024E+1	6,113E+1	6,090E+1	5,615E+1	6,673E+1	6,814E+1	5,762E+1	6,332E+1	6,412E+1	5,073E+1
6,472	62,455	0,000	6,024E+1	6,113E+1	6,090E+1	5,615E+1	6,673E+1	6,814E+1	5,762E+1	6,332E+1	6,412E+1	5,073E+1
8,639	62,453	0,000	6,024E+1	6,114E+1	6,086E+1	5,618E+1	6,672E+1	6,813E+1	5,760E+1	6,332E+1	6,412E+1	5,078E+1
8,639	62,453	0,000	6,024E+1	6,114E+1	6,086E+1	5,618E+1	6,672E+1	6,813E+1	5,760E+1	6,332E+1	6,412E+1	5,078E+1
10,804	62,443	0,000	6,028E+1	6,112E+1	6,082E+1	5,612E+1	6,665E+1	6,805E+1	5,759E+1	6,334E+1	6,411E+1	5,073E+1
10,804	62,443	0,000	6,028E+1	6,112E+1	6,082E+1	5,612E+1	6,665E+1	6,805E+1	5,759E+1	6,334E+1	6,411E+1	5,073E+1
12,973	62,526	0,000	6,021E+1	6,113E+1	6,079E+1	5,609E+1	6,659E+1	6,798E+1	5,759E+1	6,331E+1	6,412E+1	5,069E+1
12,973	62,526	0,000	6,021E+1	6,113E+1	6,079E+1	5,609E+1	6,659E+1	6,798E+1	5,759E+1	6,331E+1	6,412E+1	5,069E+1
12,973	62,526	0,000	6,021E+1	6,113E+1	6,079E+1	5,609E+1	6,659E+1	6,798E+1	5,759E+1	6,331E+1	6,412E+1	5,069E+1
