t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	71,000	9,990E+1
0,000	0,000	71,000	9,990E+1
0,000	62,651	71,000	9,990E+1
2,141	62,651	71,000	1,000E-2
2,141	62,703	71,000	3,866E-1
4,306	62,703	71,000	1,000E-2
4,306	62,606	71,000	3,850E-1
6,472	62,606	71,000	4,583E+0
6,472	62,509	71,000	4,962E+0
8,639	62,509	71,000	9,185E+0
8,639	62,509	71,000	9,568E+0
10,804	62,490	71,000	1,070E+1
10,804	62,490	71,000	1,109E+1
12,973	62,433	71,000	1,373E+1
12,973	62,433	71,000	1,412E+1
12,973	62,368	71,000	1,450E+1
15,140	62,368	71,000	1,747E+1
15,140	62,485	71,000	1,786E+1
17,304	62,485	71,000	1,361E+1
17,304	62,511	71,000	1,399E+1
19,471	62,511	71,000	1,335E+1
19,471	62,538	71,000	1,373E+1
21,636	62,538	71,000	1,305E+1
21,636	62,538	71,000	1,343E+1
23,805	62,495	71,000	1,549E+1
23,805	62,495	71,000	1,588E+1
25,972	62,401	71,000	2,003E+1
25,972	62,401	71,000	2,041E+1
25,972	62,285	71,000	2,080E+1
28,138	62,285	71,000	2,577E+1
28,138	62,287	71,000	2,616E+1
30,305	62,287	71,000	2,648E+1
30,305	62,415	71,000	2,687E+1
32,470	62,415	71,000	2,217E+1
32,470	62,333	71,000	2,256E+1
34,637	62,333	71,000	2,622E+1
34,637	62,333	71,000	2,661E+1
36,806	62,443	71,000	2,264E+1
36,806	62,443	71,000	2,303E+1
38,970	62,397	71,000	2,523E+1
38,970	62,397	71,000	2,562E+1
38,970	62,294	71,000	2,601E+1
41,139	62,294	71,000	3,050E+1
41,139	62,360	71,000	3,089E+1
43,306	62,360	71,000	2,865E+1
43,306	62,337	71,000	2,904E+1
45,475	62,337	71,000	3,032E+1
45,475	62,185	71,000	3,071E+1
47,640	62,185	71,000	3,715E+1
47,640	62,185	71,000	3,755E+1
49,804	62,195	71,000	3,755E+1
49,804	62,195	71,000	3,795E+1
51,971	62,246	71,000	3,632E+1
51,971	62,246	71,000	3,672E+1
51,971	62,288	71,000	3,711E+1
54,138	62,288	71,000	3,582E+1
54,138	62,217	71,000	3,622E+1
56,307	62,217	71,000	3,944E+1
56,307	62,211	71,000	3,984E+1
58,470	62,211	71,000	4,049E+1
58,470	62,159	71,000	4,089E+1
60,638	62,159	71,000	4,331E+1
60,638	62,159	71,000	4,371E+1
62,805	62,135	71,000	4,510E+1
62,805	62,135	71,000	4,550E+1
64,970	62,043	71,000	4,954E+1
64,970	62,043	71,000	4,995E+1
64,970	62,165	71,000	5,035E+1
67,139	62,165	71,000	4,592E+1
67,139	62,243	71,000	4,632E+1
