t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
1,003	0,000	0,075	3,000E-1	3,000E+1
2,003	0,000	0,075	3,000E-1	3,000E+1
3,004	0,000	0,075	3,000E-1	3,000E+1
4,004	0,000	0,075	3,000E-1	3,000E+1
5,004	0,000	0,075	3,000E-1	3,000E+1
6,003	0,000	0,075	3,000E-1	3,000E+1
7,003	0,000	0,075	3,000E-1	3,000E+1
8,004	0,000	0,075	3,000E-1	3,000E+1
9,005	0,000	0,075	3,000E-1	3,000E+1
10,005	0,000	0,075	3,000E-1	3,000E+1
11,005	0,000	0,075	3,000E-1	3,000E+1
12,005	0,000	0,075	3,000E-1	3,000E+1
13,005	0,000	0,075	3,000E-1	3,000E+1
14,005	0,000	0,075	3,000E-1	3,000E+1
15,005	0,000	0,075	3,000E-1	3,000E+1
16,005	0,000	0,075	3,000E-1	3,000E+1
17,005	0,000	0,075	3,000E-1	3,000E+1
18,006	0,000	0,075	3,000E-1	3,000E+1
19,006	0,000	0,075	3,000E-1	3,000E+1
20,006	0,000	0,075	3,000E-1	3,000E+1
21,006	0,000	0,075	3,000E-1	3,000E+1
22,006	0,000	0,075	3,000E-1	3,000E+1
23,006	0,000	0,075	3,000E-1	3,000E+1
24,005	0,000	0,075	3,000E-1	3,000E+1
25,007	0,000	0,075	3,000E-1	3,000E+1
26,007	0,000	0,075	3,000E-1	3,000E+1
27,007	0,000	0,075	3,000E-1	3,000E+1
28,008	0,000	0,075	3,000E-1	3,000E+1
29,008	0,000	0,075	3,000E-1	3,000E+1
30,008	0,000	0,075	3,000E-1	3,000E+1
31,008	0,000	0,075	3,000E-1	3,000E+1
32,008	0,000	0,075	3,000E-1	3,000E+1
33,009	0,000	0,075	3,000E-1	3,000E+1
34,009	0,000	0,075	3,000E-1	3,000E+1
35,009	0,000	0,075	3,000E-1	3,000E+1
36,009	0,000	0,075	3,000E-1	3,000E+1
37,010	0,000	0,075	3,000E-1	3,000E+1
38,010	0,000	0,075	3,000E-1	3,000E+1
39,009	0,000	0,075	3,000E-1	3,000E+1
40,010	0,000	0,075	3,000E-1	3,000E+1
41,010	0,000	0,075	3,000E-1	3,000E+1
42,010	0,000	0,075	3,000E-1	3,000E+1
43,010	0,000	0,075	3,000E-1	3,000E+1
44,011	0,000	0,075	3,000E-1	3,000E+1
45,011	0,000	0,075	3,000E-1	3,000E+1
46,011	0,000	0,075	3,000E-1	3,000E+1
47,011	0,000	0,075	3,000E-1	3,000E+1
48,011	0,000	0,075	3,000E-1	3,000E+1
49,011	0,000	0,075	3,000E-1	3,000E+1
50,011	0,000	0,075	3,000E-1	3,000E+1
51,010	0,000	0,075	3,000E-1	3,000E+1
52,011	0,000	0,075	3,000E-1	3,000E+1
53,012	0,000	0,075	3,000E-1	3,000E+1
54,012	0,128	0,075	8,500E+0	3,000E+1
55,013	0,128	0,075	8,490E+0	3,000E+1
56,013	0,128	0,075	8,490E+0	3,000E+1
57,013	0,128	0,075	8,490E+0	3,000E+1
58,014	0,128	0,075	8,490E+0	3,000E+1
59,014	0,128	0,075	8,490E+0	3,000E+1
60,014	0,128	0,075	8,490E+0	3,000E+1
61,015	0,128	0,075	8,490E+0	3,000E+1
62,016	0,128	0,075	8,490E+0	3,000E+1
63,017	0,128	0,075	8,490E+0	3,000E+1
64,017	0,128	0,075	8,490E+0	3,000E+1
65,017	0,128	0,075	8,490E+0	3,000E+1
66,017	0,128	0,075	8,490E+0	3,000E+1
67,017	0,128	0,075	8,490E+0	3,000E+1
68,017	0,128	0,075	8,490E+0	3,000E+1
69,017	0,128	0,075	8,480E+0	3,000E+1
70,017	0,128	0,075	8,490E+0	3,000E+1
71,016	0,128	0,075	8,480E+0	3,000E+1
72,018	0,128	0,075	8,480E+0	3,000E+1
73,019	0,128	0,075	8,480E+0	3,000E+1
74,019	0,128	0,075	8,480E+0	3,000E+1
75,020	0,128	0,075	8,480E+0	3,000E+1
76,021	0,128	0,075	8,470E+0	3,000E+1
77,021	0,128	0,075	8,480E+0	3,000E+1
78,021	0,128	0,075	8,470E+0	3,000E+1
79,021	0,128	0,075	8,470E+0	3,000E+1
80,021	0,128	0,075	8,470E+0	3,000E+1
81,022	0,128	0,075	8,470E+0	3,000E+1
82,022	0,128	0,075	8,470E+0	3,000E+1
83,022	0,128	0,075	8,470E+0	3,000E+1
84,022	0,128	0,075	8,470E+0	3,000E+1
85,023	0,128	0,075	8,470E+0	3,000E+1
86,024	0,128	0,075	8,460E+0	3,000E+1
87,024	0,128	0,075	8,460E+0	3,000E+1
88,024	0,128	0,075	8,460E+0	3,000E+1
89,024	0,128	0,075	8,460E+0	3,000E+1
90,024	0,128	0,075	8,460E+0	3,000E+1
91,024	0,128	0,075	8,460E+0	3,000E+1
92,024	0,320	0,075	2,015E+1	3,000E+1
93,024	0,320	0,075	2,067E+1	3,000E+1
94,024	0,320	0,075	2,067E+1	3,000E+1
95,024	0,320	0,075	2,067E+1	3,000E+1
96,024	0,320	0,075	2,067E+1	3,000E+1
97,024	0,320	0,075	2,067E+1	3,000E+1
98,024	0,320	0,075	2,068E+1	3,000E+1
99,025	0,320	0,075	2,068E+1	3,000E+1
100,026	0,320	0,075	2,068E+1	3,000E+1
101,026	0,320	0,075	2,068E+1	3,000E+1
102,027	0,320	0,075	2,069E+1	3,000E+1
103,027	0,320	0,075	2,069E+1	3,000E+1
104,027	0,320	0,075	2,069E+1	3,000E+1
105,027	0,320	0,075	2,069E+1	3,000E+1
106,028	0,320	0,075	2,069E+1	3,000E+1
107,029	0,320	0,075	2,069E+1	3,000E+1
108,029	0,320	0,075	2,070E+1	3,000E+1
109,029	0,320	0,075	2,070E+1	3,000E+1
110,029	0,320	0,075	2,070E+1	3,000E+1
111,030	0,320	0,075	2,071E+1	3,000E+1
112,030	0,320	0,075	2,071E+1	3,000E+1
113,031	0,320	0,075	2,071E+1	3,000E+1
114,032	0,320	0,075	2,071E+1	3,000E+1
115,032	0,320	0,075	2,072E+1	3,000E+1
116,034	0,320	0,075	2,072E+1	3,000E+1
117,034	0,320	0,075	2,072E+1	3,000E+1
118,034	0,320	0,075	2,073E+1	3,000E+1
119,034	0,320	0,075	2,073E+1	3,000E+1
120,034	0,320	0,075	2,073E+1	3,000E+1
121,034	0,320	0,075	2,073E+1	3,000E+1
122,035	0,320	0,075	2,074E+1	3,000E+1
123,034	0,320	0,075	2,074E+1	3,000E+1
124,035	0,320	0,075	2,074E+1	3,000E+1
125,035	0,320	0,075	2,075E+1	3,000E+1
126,036	0,320	0,075	2,075E+1	3,000E+1
127,035	0,320	0,075	2,075E+1	3,000E+1
128,036	0,320	0,075	2,075E+1	3,000E+1
129,036	0,255	0,075	2,076E+1	3,000E+1
130,036	0,166	0,075	1,093E+1	3,000E+1
131,037	0,166	0,075	1,093E+1	3,000E+1
132,037	0,166	0,075	1,093E+1	3,000E+1
133,038	0,166	0,075	1,093E+1	3,000E+1
134,039	0,166	0,075	1,093E+1	3,000E+1
135,038	0,166	0,075	1,092E+1	3,000E+1
136,038	0,166	0,075	1,092E+1	3,000E+1
137,040	0,166	0,075	1,093E+1	3,000E+1
138,040	0,166	0,075	1,092E+1	3,000E+1
139,040	0,166	0,075	1,092E+1	3,000E+1
140,040	0,166	0,075	1,092E+1	3,000E+1
141,040	0,166	0,075	1,092E+1	3,000E+1
142,041	0,166	0,075	1,092E+1	3,000E+1
143,042	0,000	0,075	3,500E-1	3,000E+1
144,043	0,078	0,075	3,400E-1	3,000E+1
145,044	0,176	0,075	1,160E+1	3,000E+1
146,044	0,320	0,075	2,074E+1	3,000E+1
147,045	0,320	0,075	2,075E+1	3,000E+1
148,046	0,320	0,075	2,075E+1	3,000E+1
149,047	0,320	0,075	2,075E+1	3,000E+1
150,047	0,320	0,075	2,075E+1	3,000E+1
151,047	0,320	0,075	2,076E+1	3,000E+1
152,048	0,320	0,075	2,076E+1	3,000E+1
153,048	0,320	0,075	2,076E+1	3,000E+1
154,048	0,320	0,075	2,077E+1	3,000E+1
155,048	0,320	0,075	2,077E+1	3,000E+1
156,048	0,320	0,075	2,077E+1	3,000E+1
157,048	0,000	0,075	4,300E-1	3,000E+1
158,048	0,000	0,075	3,400E-1	3,000E+1
159,047	0,000	0,075	3,400E-1	3,000E+1
160,047	0,000	0,075	3,400E-1	3,000E+1
161,048	0,000	0,075	3,400E-1	3,000E+1
162,048	0,000	0,075	3,400E-1	3,000E+1
163,050	0,000	0,075	3,400E-1	3,000E+1
164,050	0,000	0,075	3,400E-1	3,000E+1
165,050	0,000	0,075	3,400E-1	3,000E+1
166,050	0,000	0,075	3,400E-1	3,000E+1
167,051	0,000	0,075	3,400E-1	3,000E+1
168,051	0,000	0,075	3,400E-1	3,000E+1
169,051	0,000	0,075	3,400E-1	3,000E+1
170,051	0,000	0,075	3,400E-1	3,000E+1
171,051	0,000	0,075	3,400E-1	3,000E+1
172,052	0,000	0,075	3,400E-1	3,000E+1
173,053	0,000	0,075	3,400E-1	3,000E+1
174,053	0,000	0,075	3,400E-1	3,000E+1
175,053	0,000	0,075	3,400E-1	3,000E+1
176,053	0,000	0,075	3,400E-1	3,000E+1
177,053	0,000	0,075	3,400E-1	3,000E+1
178,053	0,000	0,075	3,400E-1	3,000E+1
179,054	0,000	0,075	3,400E-1	3,000E+1
180,054	0,000	0,075	3,400E-1	3,000E+1
181,055	0,000	0,075	3,400E-1	3,000E+1
182,055	0,000	0,075	3,400E-1	3,000E+1
183,055	0,000	0,075	3,400E-1	3,000E+1
184,056	0,000	0,075	3,400E-1	3,000E+1
185,057	0,000	0,075	3,400E-1	3,000E+1
186,057	0,000	0,075	3,400E-1	3,000E+1
187,057	0,000	0,075	3,400E-1	3,000E+1
188,057	0,000	0,075	3,400E-1	3,000E+1
189,058	0,000	0,075	3,400E-1	3,000E+1
190,058	0,000	0,075	3,400E-1	3,000E+1
191,057	0,000	0,075	3,400E-1	3,000E+1
192,058	0,000	0,075	3,400E-1	3,000E+1
193,058	0,000	0,075	3,400E-1	3,000E+1
194,058	0,047	0,075	4,570E+0	3,000E+1
195,058	0,047	0,075	3,330E+0	3,000E+1
196,058	0,047	0,075	2,079E+1	3,000E+1
