t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
1,003	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
2,003	0,950	0,000	1,050E+0	1,050E+0	0,000E+0
3,004	0,800	0,000	8,000E-1	8,000E-1	0,000E+0
4,004	1,060	0,000	8,000E-1	8,000E-1	0,000E+0
5,004	1,500	0,000	1,060E+0	7,200E-5	0,000E+0
6,003	1,500	0,000	1,500E+0	1,500E+0	0,000E+0
7,003	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
8,004	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
9,005	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
10,005	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
11,005	0,930	0,000	1,028E+0	1,028E+0	0,000E+0
12,005	0,930	0,000	9,300E-1	9,300E-1	0,000E+0
13,005	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
14,005	1,210	0,000	1,210E+0	1,210E+0	0,000E+0
15,005	1,370	0,000	1,370E+0	1,370E+0	0,000E+0
16,005	0,900	0,000	9,000E-1	9,000E-1	0,000E+0
17,005	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
18,006	1,180	0,000	9,900E-1	9,900E-1	0,000E+0
19,006	1,090	0,000	1,180E+0	1,180E+0	0,000E+0
20,006	1,210	0,000	1,090E+0	1,090E+0	0,000E+0
21,006	1,270	0,000	1,210E+0	1,210E+0	0,000E+0
22,006	1,270	0,000	1,270E+0	7,200E-5	0,000E+0
23,006	0,820	0,000	8,200E-1	8,200E-1	0,000E+0
24,005	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
25,007	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
26,007	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
27,007	1,180	0,000	1,180E+0	1,180E+0	0,000E+0
28,008	1,070	0,000	1,105E+0	1,105E+0	0,000E+0
29,008	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
30,008	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
31,008	1,060	0,000	1,150E+0	1,150E+0	0,000E+0
32,008	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
33,009	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
34,009	1,290	0,000	1,135E+0	1,135E+0	0,000E+0
35,009	0,890	0,000	1,290E+0	1,290E+0	0,000E+0
36,009	1,080	0,000	8,900E-1	8,900E-1	0,000E+0
37,010	1,170	0,000	1,080E+0	1,080E+0	0,000E+0
38,010	1,040	0,000	1,170E+0	1,170E+0	0,000E+0
39,009	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
