t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	22,664	0,000	2,242E+1	2,286E+1	2,293E+1	2,207E+1	2,683E+1	2,745E+1	2,243E+1	2,357E+1	2,479E+1	2,150E+1
1,960	22,664	0,000	2,242E+1	2,286E+1	2,293E+1	2,207E+1	2,683E+1	2,745E+1	2,243E+1	2,357E+1	2,479E+1	2,150E+1
1,960	22,664	0,000	2,242E+1	2,286E+1	2,293E+1	2,207E+1	2,683E+1	2,745E+1	2,243E+1	2,357E+1	2,479E+1	2,150E+1
3,985	22,828	0,000	2,244E+1	2,289E+1	2,292E+1	2,206E+1	2,688E+1	2,748E+1	2,243E+1	2,360E+1	2,481E+1	2,150E+1
3,985	22,828	0,000	2,244E+1	2,289E+1	2,292E+1	2,206E+1	2,688E+1	2,748E+1	2,243E+1	2,360E+1	2,481E+1	2,150E+1
6,003	22,808	0,000	2,241E+1	2,286E+1	2,292E+1	2,205E+1	2,689E+1	2,752E+1	2,241E+1	2,360E+1	2,484E+1	2,150E+1
6,003	22,808	0,000	2,241E+1	2,286E+1	2,292E+1	2,205E+1	2,689E+1	2,752E+1	2,241E+1	2,360E+1	2,484E+1	2,150E+1
6,003	22,808	0,000	2,241E+1	2,286E+1	2,292E+1	2,205E+1	2,689E+1	2,752E+1	2,241E+1	2,360E+1	2,484E+1	2,150E+1
8,020	22,836	0,000	2,240E+1	2,286E+1	2,290E+1	2,205E+1	2,692E+1	2,753E+1	2,239E+1	2,361E+1	2,482E+1	2,152E+1
8,020	22,836	0,000	2,240E+1	2,286E+1	2,290E+1	2,205E+1	2,692E+1	2,753E+1	2,239E+1	2,361E+1	2,482E+1	2,152E+1
10,039	22,800	0,000	2,241E+1	2,287E+1	2,292E+1	2,206E+1	2,690E+1	2,749E+1	2,241E+1	2,361E+1	2,482E+1	2,152E+1
10,039	22,800	0,000	2,241E+1	2,287E+1	2,292E+1	2,206E+1	2,690E+1	2,749E+1	2,241E+1	2,361E+1	2,482E+1	2,152E+1
12,058	22,813	0,000	2,240E+1	2,286E+1	2,293E+1	2,207E+1	2,690E+1	2,750E+1	2,242E+1	2,362E+1	2,477E+1	2,155E+1
12,058	22,813	0,000	2,240E+1	2,286E+1	2,293E+1	2,207E+1	2,690E+1	2,750E+1	2,242E+1	2,362E+1	2,477E+1	2,155E+1
14,075	22,795	0,000	2,241E+1	2,286E+1	2,292E+1	2,203E+1	2,684E+1	2,745E+1	2,240E+1	2,362E+1	2,480E+1	2,153E+1
14,075	22,795	0,000	2,241E+1	2,286E+1	2,292E+1	2,203E+1	2,684E+1	2,745E+1	2,240E+1	2,362E+1	2,480E+1	2,153E+1
16,096	22,769	0,000	2,241E+1	2,287E+1	2,293E+1	2,205E+1	2,684E+1	2,746E+1	2,241E+1	2,360E+1	2,479E+1	2,156E+1
16,096	22,769	0,000	2,241E+1	2,287E+1	2,293E+1	2,205E+1	2,684E+1	2,746E+1	2,241E+1	2,360E+1	2,479E+1	2,156E+1
18,115	22,752	0,000	2,242E+1	2,287E+1	2,294E+1	2,206E+1	2,680E+1	2,742E+1	2,243E+1	2,362E+1	2,480E+1	2,157E+1
18,115	22,752	0,000	2,242E+1	2,287E+1	2,294E+1	2,206E+1	2,680E+1	2,742E+1	2,243E+1	2,362E+1	2,480E+1	2,157E+1
