t	PV [ºC]	SP [ºC]	MV[A]
0,000	0,000	68,000	3,200E-1
0,000	22,862	68,000	3,200E-1
1,960	22,862	68,000	0,000E+0
1,960	22,862	68,000	3,200E-1
3,985	22,885	68,000	3,200E-1
3,985	22,885	68,000	3,200E-1
6,003	22,857	68,000	3,200E-1
6,003	22,857	68,000	3,200E-1
6,003	22,857	68,000	3,200E-1
8,020	22,860	68,000	3,200E-1
8,020	22,860	68,000	3,200E-1
10,039	22,867	68,000	3,200E-1
10,039	22,867	68,000	3,200E-1
12,058	22,865	68,000	3,200E-1
12,058	22,865	68,000	3,200E-1
14,075	22,858	68,000	3,200E-1
14,075	22,858	68,000	3,200E-1
16,096	22,873	68,000	3,200E-1
16,096	22,873	68,000	3,200E-1
18,115	22,868	68,000	3,200E-1
18,115	22,868	68,000	3,200E-1
20,132	22,881	68,000	3,200E-1
20,132	22,881	68,000	3,200E-1
22,151	22,886	68,000	3,200E-1
22,151	22,886	68,000	3,200E-1
24,167	22,906	68,000	3,200E-1
24,167	22,906	68,000	3,200E-1
26,184	22,918	68,000	3,200E-1
26,184	22,918	68,000	3,200E-1
28,203	22,901	68,000	3,200E-1
28,203	22,901	68,000	3,200E-1
30,220	22,900	68,000	3,200E-1
30,220	22,900	68,000	3,200E-1
32,241	22,899	68,000	3,200E-1
32,241	22,899	68,000	3,200E-1
34,260	22,883	68,000	3,200E-1
34,260	22,883	68,000	3,200E-1
36,278	22,878	68,000	3,200E-1
36,278	22,878	68,000	3,200E-1
38,297	22,871	68,000	3,200E-1
38,297	22,871	68,000	3,200E-1
40,316	22,891	68,000	3,200E-1
40,316	22,891	68,000	3,200E-1
42,333	22,929	68,000	3,200E-1
42,333	22,929	68,000	3,200E-1
44,352	22,914	68,000	3,200E-1
44,352	22,914	68,000	3,200E-1
46,369	22,931	68,000	3,200E-1
46,369	22,931	68,000	3,200E-1
48,388	22,926	68,000	3,200E-1
48,388	22,926	68,000	3,200E-1
50,406	22,914	68,000	3,200E-1
50,406	22,914	68,000	3,200E-1
52,425	22,944	68,000	3,200E-1
52,425	22,944	68,000	3,200E-1
54,444	22,949	68,000	3,200E-1
54,444	22,949	68,000	3,200E-1
56,463	22,980	68,000	3,200E-1
56,463	22,980	68,000	3,200E-1
58,482	22,980	68,000	3,200E-1
58,482	22,980	68,000	3,200E-1
60,503	23,013	68,000	3,200E-1
60,503	23,013	68,000	3,200E-1
62,520	23,043	68,000	3,200E-1
62,520	23,043	68,000	3,200E-1
64,540	23,056	68,000	3,200E-1
64,540	23,056	68,000	3,200E-1
66,559	23,048	68,000	3,200E-1
66,559	23,048	68,000	3,200E-1
68,578	23,043	68,000	3,200E-1
68,578	23,043	68,000	3,200E-1
70,597	23,038	68,000	3,200E-1
70,597	23,038	68,000	3,200E-1
72,616	23,061	68,000	3,200E-1
72,616	23,061	68,000	3,200E-1
74,635	23,081	68,000	3,200E-1
74,635	23,081	68,000	3,200E-1
76,654	23,086	68,000	3,200E-1
76,654	23,086	68,000	3,200E-1
78,670	23,091	68,000	3,200E-1
78,670	23,091	68,000	3,200E-1
80,687	23,107	68,000	3,200E-1
80,687	23,107	68,000	3,200E-1
82,706	23,121	68,000	3,200E-1
82,706	23,121	68,000	3,200E-1
84,723	23,136	68,000	3,200E-1
84,723	23,136	68,000	3,200E-1
86,742	23,169	68,000	3,200E-1
86,742	23,169	68,000	3,200E-1
88,759	23,152	68,000	3,200E-1
88,759	23,152	68,000	3,200E-1
90,776	23,165	68,000	3,200E-1
90,776	23,165	68,000	3,200E-1
92,794	23,187	68,000	3,200E-1
92,794	23,187	68,000	3,200E-1
94,813	23,225	68,000	3,200E-1
94,813	23,225	68,000	3,200E-1
96,832	23,217	68,000	3,200E-1
96,832	23,217	68,000	3,200E-1
98,849	23,220	68,000	3,200E-1
98,849	23,220	68,000	3,200E-1
100,868	23,258	68,000	3,200E-1
100,868	23,258	68,000	3,200E-1
102,887	23,266	68,000	3,200E-1
102,887	23,266	68,000	3,200E-1
104,904	23,304	68,000	3,200E-1
104,904	23,304	68,000	3,200E-1
106,920	23,290	68,000	3,200E-1
106,920	23,290	68,000	3,200E-1
108,939	23,312	68,000	3,200E-1
108,939	23,312	68,000	3,200E-1
110,956	23,334	68,000	3,200E-1
110,956	23,334	68,000	3,200E-1
112,975	23,335	68,000	3,200E-1
112,975	23,335	68,000	3,200E-1
114,994	23,360	68,000	3,200E-1
114,994	23,360	68,000	3,200E-1
117,011	23,385	68,000	3,200E-1
117,011	23,385	68,000	3,200E-1
117,011	23,385	68,000	3,200E-1
119,032	23,421	68,000	3,200E-1
119,032	23,421	68,000	3,200E-1
121,049	23,431	68,000	3,200E-1
121,049	23,431	68,000	3,200E-1
123,067	23,440	68,000	3,200E-1
123,067	23,440	68,000	3,200E-1
125,088	23,473	68,000	3,200E-1
125,088	23,473	68,000	3,200E-1
127,107	23,479	68,000	3,200E-1
127,107	23,479	68,000	3,200E-1
129,126	23,478	68,000	3,200E-1
129,126	23,478	68,000	3,200E-1
131,143	23,521	68,000	3,200E-1
131,143	23,521	68,000	3,200E-1
133,160	23,542	68,000	3,200E-1
133,160	23,542	68,000	3,200E-1
135,181	23,545	68,000	3,200E-1
135,181	23,545	68,000	3,200E-1
137,198	23,542	68,000	3,200E-1
137,198	23,542	68,000	3,200E-1
139,214	23,550	68,000	3,200E-1
139,214	23,550	68,000	3,200E-1
141,233	23,560	68,000	3,200E-1
141,233	23,560	68,000	3,200E-1
