t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
1,960	20,455	70,000	9,990E+1
1,960	20,455	70,000	1,000E-2
3,985	20,456	70,000	2,247E+0
3,985	20,456	70,000	4,425E+0
3,985	20,456	70,000	6,664E+0
6,003	20,456	70,000	8,919E+0
6,003	20,461	70,000	1,116E+1
8,020	20,461	70,000	1,319E+1
8,020	20,467	70,000	1,543E+1
10,039	20,467	70,000	1,743E+1
10,039	20,473	70,000	1,967E+1
12,058	20,473	70,000	2,167E+1
12,058	20,479	70,000	2,390E+1
14,075	20,479	70,000	2,590E+1
14,075	20,489	70,000	2,814E+1
16,096	20,489	70,000	2,998E+1
16,096	20,496	70,000	3,221E+1
18,115	20,496	70,000	3,417E+1
18,115	20,498	70,000	3,641E+1
20,132	20,498	70,000	3,856E+1
20,132	20,502	70,000	4,080E+1
22,151	20,502	70,000	4,286E+1
22,151	20,511	70,000	4,509E+1
24,167	20,511	70,000	4,701E+1
24,167	20,517	70,000	4,924E+1
26,184	20,517	70,000	5,120E+1
26,184	20,524	70,000	5,343E+1
28,203	20,524	70,000	5,541E+1
28,203	20,538	70,000	5,764E+1
30,220	20,538	70,000	5,934E+1
30,220	20,547	70,000	6,158E+1
32,241	20,547	70,000	6,343E+1
32,241	20,556	70,000	6,567E+1
34,260	20,556	70,000	6,757E+1
34,260	20,557	70,000	6,981E+1
36,278	20,557	70,000	7,197E+1
36,278	20,572	70,000	7,420E+1
38,297	20,572	70,000	7,586E+1
38,297	20,584	70,000	7,809E+1
40,316	20,584	70,000	7,981E+1
40,316	20,594	70,000	8,204E+1
42,333	20,594	70,000	8,389E+1
42,333	20,617	70,000	8,613E+1
44,352	20,617	70,000	8,745E+1
44,352	20,637	70,000	8,967E+1
46,369	20,637	70,000	9,111E+1
46,369	20,654	70,000	9,334E+1
48,388	20,654	70,000	9,487E+1
48,388	20,681	70,000	9,710E+1
50,406	20,681	70,000	9,826E+1
50,406	20,710	70,000	9,990E+1
52,425	20,710	70,000	9,990E+1
52,425	20,739	70,000	9,990E+1
54,444	20,739	70,000	9,990E+1
54,444	20,763	70,000	9,990E+1
56,463	20,763	70,000	9,990E+1
56,463	20,793	70,000	9,990E+1
58,482	20,793	70,000	9,990E+1
58,482	20,817	70,000	9,990E+1
60,503	20,817	70,000	9,990E+1
60,503	20,849	70,000	9,990E+1
62,520	20,849	70,000	9,990E+1
62,520	20,882	70,000	9,990E+1
64,540	20,882	70,000	9,990E+1
64,540	20,895	70,000	9,990E+1
66,559	20,895	70,000	9,990E+1
66,559	20,945	70,000	9,990E+1
68,578	20,945	70,000	9,990E+1
68,578	20,972	70,000	9,990E+1
70,597	20,972	70,000	9,990E+1
70,597	21,017	70,000	9,990E+1
72,616	21,017	70,000	9,990E+1
72,616	21,071	70,000	9,990E+1
74,635	21,071	70,000	9,990E+1
74,635	21,108	70,000	9,990E+1
76,654	21,108	70,000	9,990E+1
76,654	21,108	70,000	9,990E+1
78,670	21,126	70,000	9,990E+1
78,670	21,126	70,000	9,990E+1
80,687	21,200	70,000	9,915E+1
80,687	21,200	70,000	9,990E+1
82,706	21,199	70,000	9,990E+1
82,706	21,199	70,000	9,990E+1
84,723	21,230	70,000	9,990E+1
84,723	21,230	70,000	9,990E+1
86,742	21,258	70,000	9,990E+1
86,742	21,258	70,000	9,990E+1
88,759	21,275	70,000	9,990E+1
88,759	21,275	70,000	9,990E+1
90,776	21,291	70,000	9,990E+1
90,776	21,291	70,000	9,990E+1
92,794	21,327	70,000	9,990E+1
92,794	21,327	70,000	9,990E+1
94,813	21,351	70,000	9,990E+1
94,813	21,351	70,000	9,990E+1
96,832	21,377	70,000	9,990E+1
96,832	21,377	70,000	9,990E+1
98,849	21,425	70,000	9,990E+1
98,849	21,425	70,000	9,990E+1
100,868	21,512	70,000	9,865E+1
100,868	21,512	70,000	9,990E+1
102,887	21,553	70,000	9,990E+1
102,887	21,553	70,000	9,990E+1
104,904	21,560	70,000	9,990E+1
104,904	21,560	70,000	9,990E+1
106,920	21,600	70,000	9,990E+1
106,920	21,600	70,000	9,990E+1
108,939	21,704	70,000	9,795E+1
108,939	21,704	70,000	9,990E+1
110,956	21,756	70,000	9,990E+1
110,956	21,756	70,000	9,990E+1
112,975	21,796	70,000	9,990E+1
112,975	21,796	70,000	9,990E+1
114,994	21,835	70,000	9,990E+1
114,994	21,835	70,000	9,990E+1
