t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
1,003	0,000	0,075	3,000E-1	3,000E+1
2,003	0,000	0,075	3,000E-1	3,000E+1
3,003	0,000	0,075	3,000E-1	3,000E+1
4,003	0,000	0,075	3,000E-1	3,000E+1
5,005	0,000	0,075	3,000E-1	3,000E+1
6,007	0,000	0,075	3,000E-1	3,000E+1
7,007	0,000	0,075	3,000E-1	3,000E+1
8,007	0,000	0,075	3,000E-1	3,000E+1
9,006	0,000	0,075	3,000E-1	3,000E+1
10,007	0,000	0,075	3,000E-1	3,000E+1
11,006	0,000	0,075	3,000E-1	3,000E+1
12,007	0,000	0,075	3,000E-1	3,000E+1
13,007	0,000	0,075	3,000E-1	3,000E+1
14,007	0,000	0,075	3,000E-1	3,000E+1
15,007	0,000	0,075	3,000E-1	3,000E+1
16,006	0,000	0,075	3,000E-1	3,000E+1
17,014	0,000	0,075	3,000E-1	3,000E+1
18,015	0,000	0,075	3,000E-1	3,000E+1
19,016	0,000	0,075	3,000E-1	3,000E+1
20,016	0,000	0,075	3,000E-1	3,000E+1
21,016	0,000	0,075	3,000E-1	3,000E+1
22,016	0,000	0,075	3,000E-1	3,000E+1
23,015	0,000	0,075	3,000E-1	3,000E+1
24,016	0,000	0,075	3,000E-1	3,000E+1
25,016	0,000	0,075	3,000E-1	3,000E+1
26,016	0,000	0,075	3,000E-1	3,000E+1
27,016	0,000	0,075	3,000E-1	3,000E+1
28,016	0,000	0,075	3,000E-1	3,000E+1
29,016	0,000	0,075	3,000E-1	3,000E+1
30,015	0,000	0,075	3,000E-1	3,000E+1
31,016	0,000	0,075	3,000E-1	3,000E+1
32,017	0,000	0,075	3,000E-1	3,000E+1
33,017	0,000	0,075	3,000E-1	3,000E+1
34,017	0,000	0,075	3,000E-1	3,000E+1
35,020	0,000	0,075	3,000E-1	3,000E+1
36,020	0,000	0,075	3,000E-1	3,000E+1
37,021	0,000	0,075	3,000E-1	3,000E+1
38,022	0,000	0,075	3,000E-1	3,000E+1
39,022	0,000	0,075	3,000E-1	3,000E+1
40,022	0,000	0,075	3,000E-1	3,000E+1
41,023	0,000	0,075	3,000E-1	3,000E+1
42,022	0,000	0,075	3,000E-1	3,000E+1
43,023	0,000	0,075	3,000E-1	3,000E+1
44,022	0,000	0,075	3,000E-1	3,000E+1
45,023	0,000	0,075	3,000E-1	3,000E+1
46,023	0,000	0,075	3,000E-1	3,000E+1
47,023	0,000	0,075	3,000E-1	3,000E+1
48,023	0,000	0,075	3,000E-1	3,000E+1
49,022	0,000	0,075	3,000E-1	3,000E+1
50,023	0,000	0,075	3,000E-1	3,000E+1
51,023	0,000	0,075	3,000E-1	3,000E+1
52,024	0,000	0,075	3,000E-1	3,000E+1
53,024	0,000	0,075	3,000E-1	3,000E+1
54,024	0,000	0,075	3,000E-1	3,000E+1
55,024	0,000	0,075	3,000E-1	3,000E+1
56,023	0,000	0,075	3,000E-1	3,000E+1
57,025	0,000	0,075	3,000E-1	3,000E+1
58,025	0,000	0,075	3,000E-1	3,000E+1
59,025	0,000	0,075	3,000E-1	3,000E+1
60,025	0,000	0,075	3,000E-1	3,000E+1
61,026	0,000	0,075	3,000E-1	3,000E+1
62,026	0,000	0,075	3,000E-1	3,000E+1
63,025	0,000	0,075	3,000E-1	3,000E+1
64,026	0,000	0,075	3,000E-1	3,000E+1
65,026	0,000	0,075	3,000E-1	3,000E+1
66,027	0,000	0,075	3,000E-1	3,000E+1
67,027	0,000	0,075	3,000E-1	3,000E+1
68,026	0,000	0,075	3,000E-1	3,000E+1
69,027	0,000	0,075	3,000E-1	3,000E+1
70,026	0,000	0,075	3,000E-1	3,000E+1
71,027	0,000	0,075	3,000E-1	3,000E+1
72,027	0,000	0,075	3,000E-1	3,000E+1
73,027	0,000	0,075	3,000E-1	3,000E+1
74,027	0,000	0,075	3,000E-1	3,000E+1
75,026	0,000	0,075	3,000E-1	3,000E+1
76,027	0,000	0,075	3,000E-1	3,000E+1
77,026	0,000	0,075	3,000E-1	3,000E+1
78,028	0,000	0,075	3,000E-1	3,000E+1
79,028	0,000	0,075	3,000E-1	3,000E+1
80,028	0,000	0,075	3,000E-1	3,000E+1
81,028	0,000	0,075	3,000E-1	3,000E+1
82,027	0,000	0,075	3,000E-1	3,000E+1
83,028	0,000	0,075	3,000E-1	3,000E+1
84,028	0,000	0,075	3,000E-1	3,000E+1
85,028	0,000	0,075	3,000E-1	3,000E+1
86,028	0,000	0,075	3,000E-1	3,000E+1
87,028	0,000	0,075	3,000E-1	3,000E+1
88,028	0,000	0,075	3,000E-1	3,000E+1
89,027	0,000	0,075	3,000E-1	3,000E+1
90,028	0,000	0,075	3,000E-1	3,000E+1
91,028	0,000	0,075	3,000E-1	3,000E+1
92,028	0,000	0,075	3,000E-1	3,000E+1
93,028	0,000	0,075	3,000E-1	3,000E+1
94,028	0,000	0,075	3,000E-1	3,000E+1
95,028	0,000	0,075	3,000E-1	3,000E+1
96,027	0,000	0,075	3,000E-1	3,000E+1
97,028	0,000	0,075	3,000E-1	3,000E+1
98,028	0,000	0,075	3,000E-1	3,000E+1
99,029	0,000	0,075	3,000E-1	3,000E+1
100,029	0,000	0,075	3,000E-1	3,000E+1
101,028	0,000	0,075	3,000E-1	3,000E+1
102,029	0,000	0,075	3,000E-1	3,000E+1
103,028	0,000	0,075	3,000E-1	3,000E+1
104,029	0,000	0,075	3,000E-1	3,000E+1
105,029	0,000	0,075	3,000E-1	3,000E+1
106,029	0,000	0,075	3,000E-1	3,000E+1
107,029	0,000	0,075	3,000E-1	3,000E+1
108,028	0,000	0,075	3,000E-1	3,000E+1
109,029	0,000	0,075	3,000E-1	3,000E+1
110,030	0,000	0,075	3,000E-1	3,000E+1
111,030	0,000	0,075	3,000E-1	3,000E+1
112,030	0,000	0,075	3,000E-1	3,000E+1
113,030	0,000	0,075	3,000E-1	3,000E+1
114,030	0,000	0,075	3,000E-1	3,000E+1
115,029	0,000	0,075	3,000E-1	3,000E+1
116,031	0,000	0,075	3,000E-1	3,000E+1
117,032	0,000	0,075	3,000E-1	3,000E+1
118,033	0,000	0,075	3,000E-1	3,000E+1
119,033	0,000	0,075	3,000E-1	3,000E+1
120,033	0,000	0,075	3,000E-1	3,000E+1
121,034	0,000	0,075	3,000E-1	3,000E+1
122,033	0,000	0,075	3,000E-1	3,000E+1
123,034	0,000	0,075	3,000E-1	3,000E+1
124,034	0,000	0,075	3,000E-1	3,000E+1
125,034	0,000	0,075	3,000E-1	3,000E+1
126,034	0,000	0,075	3,000E-1	3,000E+1
127,034	0,000	0,075	3,000E-1	3,000E+1
128,035	0,000	0,075	3,000E-1	3,000E+1
129,034	0,000	0,075	3,000E-1	3,000E+1
130,036	0,000	0,075	3,000E-1	3,000E+1
131,037	0,000	0,075	3,000E-1	3,000E+1
132,037	0,000	0,075	3,000E-1	3,000E+1
133,037	0,000	0,075	3,000E-1	3,000E+1
134,036	0,000	0,075	3,000E-1	3,000E+1
135,037	0,000	0,075	3,000E-1	3,000E+1
136,036	0,000	0,075	3,000E-1	3,000E+1
137,037	0,000	0,075	3,000E-1	3,000E+1
138,037	0,000	0,075	3,000E-1	3,000E+1
139,037	0,000	0,075	3,000E-1	3,000E+1
140,038	0,000	0,075	3,000E-1	3,000E+1
141,037	0,000	0,075	3,000E-1	3,000E+1
142,038	0,000	0,075	3,000E-1	3,000E+1
143,039	0,000	0,075	3,000E-1	3,000E+1
144,039	0,000	0,075	3,000E-1	3,000E+1
145,039	0,000	0,075	3,000E-1	3,000E+1
146,039	0,000	0,075	3,000E-1	3,000E+1
147,039	0,000	0,075	3,000E-1	3,000E+1
148,041	0,000	0,075	3,000E-1	3,000E+1
149,042	0,000	0,075	3,000E-1	3,000E+1
150,042	0,000	0,075	3,000E-1	3,000E+1
151,043	0,000	0,075	3,000E-1	3,000E+1
152,044	0,000	0,075	3,000E-1	3,000E+1
153,046	0,000	0,075	3,000E-1	3,000E+1
154,046	0,000	0,075	3,000E-1	3,000E+1
155,045	0,000	0,075	3,000E-1	3,000E+1
156,046	0,000	0,075	3,000E-1	3,000E+1
157,047	0,000	0,075	3,000E-1	3,000E+1
158,048	0,000	0,075	3,000E-1	3,000E+1
159,048	0,000	0,075	3,000E-1	3,000E+1
160,048	0,000	0,075	3,000E-1	3,000E+1
161,048	0,000	0,075	3,000E-1	3,000E+1
162,047	0,000	0,075	3,000E-1	3,000E+1
163,048	0,000	0,075	3,000E-1	3,000E+1
164,048	0,000	0,075	3,000E-1	3,000E+1
165,048	0,000	0,075	3,000E-1	3,000E+1
166,048	0,000	0,075	3,000E-1	3,000E+1
167,047	0,000	0,075	3,000E-1	3,000E+1
168,048	0,000	0,075	3,000E-1	3,000E+1
169,047	0,000	0,075	3,000E-1	3,000E+1
170,048	0,000	0,075	3,000E-1	3,000E+1
171,048	0,000	0,075	3,000E-1	3,000E+1
172,049	0,000	0,075	3,000E-1	3,000E+1
173,049	0,000	0,075	3,000E-1	3,000E+1
174,049	0,000	0,075	3,000E-1	3,000E+1
175,050	0,000	0,075	3,000E-1	3,000E+1
176,051	0,000	0,075	3,000E-1	3,000E+1
177,052	0,000	0,075	3,000E-1	3,000E+1
178,052	0,000	0,075	3,000E-1	3,000E+1
179,052	0,000	0,075	3,000E-1	3,000E+1
180,052	0,000	0,075	3,000E-1	3,000E+1
181,052	0,000	0,075	3,000E-1	3,000E+1
182,054	0,000	0,075	3,000E-1	3,000E+1
183,055	0,000	0,075	3,000E-1	3,000E+1
184,055	0,000	0,075	3,000E-1	3,000E+1
185,055	0,000	0,075	3,000E-1	3,000E+1
186,055	0,000	0,075	3,000E-1	3,000E+1
187,055	0,000	0,075	3,000E-1	3,000E+1
188,054	0,000	0,075	3,000E-1	3,000E+1
189,055	0,000	0,075	3,000E-1	3,000E+1
190,055	0,000	0,075	3,000E-1	3,000E+1
191,055	0,000	0,075	3,000E-1	3,000E+1
192,055	0,000	0,075	3,000E-1	3,000E+1
193,055	0,000	0,075	3,000E-1	3,000E+1
194,055	0,000	0,075	3,000E-1	3,000E+1
195,055	0,000	0,075	3,000E-1	3,000E+1
196,056	0,000	0,075	3,000E-1	3,000E+1
