t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
1,003	1,010	0,000	1,050E+0	1,050E+0	0,000E+0
2,003	1,030	0,000	1,010E+0	1,010E+0	0,000E+0
3,003	0,900	0,000	9,000E-1	9,000E-1	0,000E+0
4,003	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
5,005	1,290	0,000	1,070E+0	7,200E-5	0,000E+0
6,007	1,290	0,000	1,290E+0	1,290E+0	0,000E+0
7,007	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
8,007	1,080	0,000	1,140E+0	1,140E+0	0,000E+0
9,006	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
10,007	1,170	0,000	1,170E+0	1,170E+0	0,000E+0
11,006	1,260	0,000	1,149E+0	1,149E+0	0,000E+0
12,007	1,260	0,000	1,260E+0	1,260E+0	0,000E+0
13,007	1,270	0,000	1,270E+0	1,270E+0	0,000E+0
14,007	0,970	0,000	9,700E-1	9,700E-1	0,000E+0
15,007	0,880	0,000	8,800E-1	8,800E-1	0,000E+0
16,006	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
17,014	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
18,015	1,130	0,000	1,070E+0	1,070E+0	0,000E+0
19,016	0,990	0,000	1,130E+0	1,130E+0	0,000E+0
20,016	1,020	0,000	9,900E-1	9,900E-1	0,000E+0
21,016	1,110	0,000	1,020E+0	1,020E+0	0,000E+0
22,016	1,100	0,000	1,110E+0	7,200E-5	0,000E+0
23,015	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
24,016	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
25,016	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
26,016	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
27,016	1,120	0,000	1,030E+0	1,030E+0	0,000E+0
28,016	1,100	0,000	1,120E+0	7,200E-5	0,000E+0
29,016	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
30,015	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
31,016	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
32,017	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
33,017	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
35,020	1,110	0,000	1,075E+0	1,075E+0	0,000E+0
35,020	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
36,020	1,220	0,000	1,220E+0	1,220E+0	0,000E+0
37,021	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
38,022	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
39,022	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
40,022	0,860	0,000	8,600E-1	8,600E-1	0,000E+0
41,023	0,860	0,000	8,600E-1	8,600E-1	0,000E+0
42,022	1,050	0,000	1,060E+0	1,060E+0	0,000E+0
43,023	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
44,022	1,140	0,000	1,040E+0	1,040E+0	0,000E+0
45,023	1,090	0,000	1,140E+0	7,200E-5	0,000E+0
46,023	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
47,023	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
