t	PV [ºC]	SP [ºC]	MV[A]
0,000	0,000	67,000	3,200E-1
0,000	0,000	67,000	3,200E-1
0,000	0,000	67,000	3,200E-1
2,216	66,604	67,000	3,200E-1
2,216	66,604	67,000	0,000E+0
4,457	66,577	67,000	5,461E-2
4,457	66,577	67,000	3,200E-1
6,699	66,557	67,000	3,200E-1
6,699	66,557	67,000	3,200E-1
8,938	66,544	67,000	3,200E-1
8,938	66,544	67,000	3,200E-1
8,938	66,544	67,000	3,200E-1
11,179	66,549	67,000	3,200E-1
11,179	66,549	67,000	3,200E-1
13,418	66,556	67,000	3,200E-1
13,418	66,556	67,000	3,200E-1
15,659	66,547	67,000	3,200E-1
15,659	66,547	67,000	3,200E-1
17,900	66,513	67,000	3,200E-1
17,900	66,513	67,000	3,200E-1
17,900	66,513	67,000	3,200E-1
20,140	66,525	67,000	3,200E-1
20,140	66,525	67,000	2,866E-1
22,381	66,508	67,000	3,200E-1
22,381	66,508	67,000	3,200E-1
24,618	66,495	67,000	3,200E-1
24,618	66,495	67,000	3,200E-1
26,859	66,471	67,000	3,200E-1
26,859	66,471	67,000	3,200E-1
26,859	66,471	67,000	3,200E-1
29,100	66,463	67,000	3,200E-1
29,100	66,463	67,000	3,200E-1
31,341	66,461	67,000	3,200E-1
31,341	66,461	67,000	3,200E-1
33,581	66,432	67,000	3,200E-1
33,581	66,432	67,000	3,200E-1
35,822	66,475	67,000	3,200E-1
35,822	66,475	67,000	3,785E-2
35,822	66,475	67,000	1,102E-1
38,061	66,471	67,000	1,826E-1
38,061	66,471	67,000	2,886E-1
40,228	66,448	67,000	3,200E-1
40,228	66,448	67,000	3,200E-1
42,395	66,418	67,000	3,200E-1
42,395	66,418	67,000	3,200E-1
44,556	66,360	67,000	3,200E-1
44,556	66,360	67,000	3,200E-1
46,723	66,402	67,000	3,200E-1
46,723	66,402	67,000	5,608E-2
48,888	66,397	67,000	1,385E-1
48,888	66,397	67,000	2,629E-1
48,888	66,397	67,000	3,200E-1
51,057	66,373	67,000	3,200E-1
51,057	66,373	67,000	3,200E-1
53,224	66,321	67,000	3,200E-1
53,224	66,321	67,000	3,200E-1
55,391	66,316	67,000	3,200E-1
55,391	66,316	67,000	3,200E-1
57,558	66,363	67,000	3,200E-1
57,558	66,363	67,000	2,032E-2
59,726	66,333	67,000	1,081E-1
59,726	66,333	67,000	3,200E-1
61,891	66,351	67,000	3,200E-1
61,891	66,351	67,000	2,611E-1
61,891	66,351	67,000	3,200E-1
64,060	66,370	67,000	3,200E-1
64,060	66,370	67,000	2,502E-1
66,225	66,356	67,000	3,200E-1
66,225	66,356	67,000	3,200E-1
68,392	66,343	67,000	3,200E-1
68,392	66,343	67,000	3,200E-1
70,553	66,325	67,000	3,200E-1
70,553	66,325	67,000	3,200E-1
72,720	66,328	67,000	3,200E-1
72,720	66,328	67,000	3,200E-1
74,885	66,303	67,000	3,200E-1
74,885	66,303	67,000	3,200E-1
74,885	66,303	67,000	3,200E-1
77,052	66,269	67,000	3,200E-1
77,052	66,269	67,000	3,200E-1
79,217	66,249	67,000	3,200E-1
79,217	66,249	67,000	3,200E-1
81,384	66,278	67,000	3,200E-1
81,384	66,278	67,000	1,806E-1
83,549	66,247	67,000	2,800E-1
83,549	66,247	67,000	3,200E-1
85,716	66,245	67,000	3,200E-1
85,716	66,245	67,000	3,200E-1
87,882	66,210	67,000	3,200E-1
87,882	66,210	67,000	3,200E-1
87,882	66,210	67,000	3,200E-1
90,049	66,223	67,000	3,200E-1
90,049	66,223	67,000	3,200E-1
92,214	66,262	67,000	3,200E-1
92,214	66,262	67,000	1,002E-1
94,381	66,237	67,000	2,020E-1
94,381	66,237	67,000	3,200E-1
96,548	66,220	67,000	3,200E-1
96,548	66,220	67,000	3,200E-1
98,717	66,163	67,000	3,200E-1
98,717	66,163	67,000	3,200E-1
100,884	66,137	67,000	3,200E-1
100,884	66,137	67,000	3,200E-1
100,884	66,137	67,000	3,200E-1
103,051	66,169	67,000	3,200E-1
103,051	66,169	67,000	1,707E-1
105,218	66,166	67,000	2,853E-1
105,218	66,166	67,000	3,200E-1
