t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
1,003	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
2,002	0,910	0,000	1,030E+0	1,030E+0	0,000E+0
3,003	0,930	0,000	9,300E-1	9,300E-1	0,000E+0
4,004	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
5,005	1,150	0,000	1,022E+0	1,022E+0	0,000E+0
6,006	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
7,005	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
8,006	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
9,006	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
10,008	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
11,007	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
12,008	0,980	0,000	1,120E+0	1,120E+0	0,000E+0
13,009	1,020	0,000	9,800E-1	9,800E-1	0,000E+0
14,008	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
15,009	1,100	0,000	9,900E-1	9,900E-1	0,000E+0
16,009	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
17,010	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
18,009	1,120	0,000	1,040E+0	1,040E+0	0,000E+0
19,010	1,080	0,000	1,120E+0	1,120E+0	0,000E+0
20,010	1,140	0,000	1,080E+0	1,080E+0	0,000E+0
21,009	1,340	0,000	1,140E+0	1,140E+0	0,000E+0
22,010	1,300	0,000	1,340E+0	7,200E-5	0,000E+0
23,009	1,300	0,000	1,300E+0	1,300E+0	0,000E+0
24,010	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
25,009	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
26,010	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
27,010	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
28,010	0,950	0,000	1,010E+0	7,200E-5	0,000E+0
29,011	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
30,010	0,910	0,000	9,100E-1	9,100E-1	0,000E+0
31,011	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
32,011	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
33,010	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
34,011	1,060	0,000	1,055E+0	1,055E+0	0,000E+0
35,010	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
36,011	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
37,010	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
38,011	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
39,011	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
40,010	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
41,011	1,070	0,000	1,090E+0	1,090E+0	0,000E+0
42,011	1,150	0,000	1,070E+0	1,070E+0	0,000E+0
43,012	1,060	0,000	1,150E+0	1,150E+0	0,000E+0
44,012	1,020	0,000	1,060E+0	1,060E+0	0,000E+0
45,013	1,080	0,000	1,020E+0	7,200E-5	0,000E+0
46,013	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
47,013	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
48,014	1,000	0,000	1,030E+0	1,030E+0	0,000E+0
49,013	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
50,015	1,150	0,000	1,100E+0	1,100E+0	0,000E+0
51,014	1,120	0,000	1,150E+0	7,200E-5	0,000E+0
52,015	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
53,015	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
54,014	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
55,016	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
56,015	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
57,016	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
58,015	1,140	0,000	1,050E+0	1,050E+0	0,000E+0
59,016	1,130	0,000	1,140E+0	1,140E+0	0,000E+0
60,016	1,060	0,000	1,130E+0	1,130E+0	0,000E+0
61,016	1,090	0,000	1,060E+0	1,060E+0	0,000E+0
62,017	1,030	0,000	1,090E+0	7,200E-5	0,000E+0
63,016	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
64,017	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
65,018	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
66,017	1,250	0,000	1,250E+0	1,250E+0	0,000E+0
67,018	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
68,018	0,950	0,000	1,280E+0	7,200E-5	0,000E+0
69,020	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
70,019	0,980	0,000	9,800E-1	9,800E-1	0,000E+0
71,020	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
72,020	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
73,019	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
74,021	1,010	0,000	1,041E+0	1,041E+0	0,000E+0
75,020	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
76,021	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
77,020	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
78,022	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
79,022	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
80,021	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
81,022	1,080	0,000	1,090E+0	1,090E+0	0,000E+0
82,021	1,070	0,000	1,080E+0	1,080E+0	0,000E+0
83,022	1,130	0,000	1,070E+0	1,070E+0	0,000E+0
84,022	1,110	0,000	1,130E+0	1,130E+0	0,000E+0
85,023	1,110	0,000	1,110E+0	7,200E-5	0,000E+0
86,023	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
87,022	1,180	0,000	1,110E+0	1,110E+0	0,000E+0
88,023	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
89,023	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
90,025	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
91,024	1,130	0,000	1,090E+0	7,200E-5	0,000E+0
92,025	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
93,025	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
94,024	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
95,025	1,190	0,000	1,190E+0	1,190E+0	0,000E+0
96,024	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
97,025	1,120	0,000	1,145E+0	1,145E+0	0,000E+0
98,025	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
99,024	1,360	0,000	1,360E+0	1,360E+0	0,000E+0
100,025	1,490	0,000	1,490E+0	1,490E+0	0,000E+0
101,024	0,710	0,000	7,100E-1	7,100E-1	0,000E+0
102,025	0,950	0,000	9,500E-1	9,500E-1	0,000E+0
103,024	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
104,025	1,080	0,000	1,050E+0	1,050E+0	0,000E+0
105,025	0,980	0,000	1,080E+0	1,080E+0	0,000E+0
106,024	0,900	0,000	9,800E-1	9,800E-1	0,000E+0
107,025	0,930	0,000	9,000E-1	9,000E-1	0,000E+0
108,024	1,010	0,000	9,300E-1	7,200E-5	0,000E+0
109,025	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
110,025	1,110	0,000	1,010E+0	1,010E+0	0,000E+0
111,027	1,090	0,000	1,110E+0	1,110E+0	0,000E+0
112,028	1,010	0,000	1,090E+0	1,090E+0	0,000E+0
113,028	1,000	0,000	1,010E+0	1,010E+0	0,000E+0
114,029	0,990	0,000	1,000E+0	7,200E-5	0,000E+0
115,028	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
116,029	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
117,028	1,030	0,000	1,110E+0	1,110E+0	0,000E+0
118,029	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
119,029	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
120,028	1,110	0,000	1,085E+0	1,085E+0	0,000E+0
121,029	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
122,029	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
123,031	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
124,032	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
125,032	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
126,032	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
127,031	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
128,032	0,820	0,000	1,240E+0	1,240E+0	0,000E+0
129,031	1,100	0,000	8,200E-1	8,200E-1	0,000E+0
130,032	1,030	0,000	1,100E+0	1,100E+0	0,000E+0
131,033	1,030	0,000	1,030E+0	7,200E-5	0,000E+0
132,033	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
133,033	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
134,032	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
135,033	0,890	0,000	8,900E-1	8,900E-1	0,000E+0
136,032	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
137,033	1,040	0,000	1,000E+0	7,200E-5	0,000E+0
138,033	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
139,032	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
140,033	1,390	0,000	1,390E+0	1,390E+0	0,000E+0
