t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
1,003	0,000	0,075	3,000E-1	3,000E+1
2,004	0,000	0,075	3,000E-1	3,000E+1
3,004	0,000	0,075	3,000E-1	3,000E+1
4,007	0,000	0,075	3,000E-1	3,000E+1
5,006	0,000	0,075	3,000E-1	3,000E+1
6,007	0,000	0,075	3,000E-1	3,000E+1
7,009	0,000	0,075	3,000E-1	3,000E+1
8,008	0,000	0,075	3,000E-1	3,000E+1
9,009	0,000	0,075	3,000E-1	3,000E+1
10,008	0,000	0,075	3,000E-1	3,000E+1
11,009	0,000	0,075	3,000E-1	3,000E+1
12,009	0,000	0,075	3,000E-1	3,000E+1
13,009	0,000	0,075	3,000E-1	3,000E+1
14,010	0,000	0,075	3,000E-1	3,000E+1
15,009	0,000	0,075	3,000E-1	3,000E+1
16,010	0,000	0,075	3,000E-1	3,000E+1
17,010	0,000	0,075	3,000E-1	3,000E+1
18,011	0,000	0,075	3,000E-1	3,000E+1
19,012	0,000	0,075	3,000E-1	3,000E+1
20,012	0,000	0,075	3,000E-1	3,000E+1
21,013	0,000	0,075	3,000E-1	3,000E+1
22,012	0,000	0,075	3,000E-1	3,000E+1
23,013	0,000	0,075	3,000E-1	3,000E+1
24,012	0,000	0,075	3,000E-1	3,000E+1
25,012	0,000	0,075	3,000E-1	3,000E+1
26,012	0,000	0,075	3,000E-1	3,000E+1
27,013	0,000	0,075	3,000E-1	3,000E+1
28,014	0,000	0,075	3,000E-1	3,000E+1
29,013	0,000	0,075	3,000E-1	3,000E+1
30,014	0,000	0,075	3,000E-1	3,000E+1
31,013	0,000	0,075	3,000E-1	3,000E+1
32,013	0,000	0,075	3,000E-1	3,000E+1
33,013	0,000	0,075	3,000E-1	3,000E+1
34,013	0,000	0,075	3,000E-1	3,000E+1
35,014	0,000	0,075	3,000E-1	3,000E+1
36,014	0,000	0,075	3,000E-1	3,000E+1
37,015	0,000	0,075	3,000E-1	3,000E+1
38,015	0,000	0,075	3,000E-1	3,000E+1
39,015	0,000	0,075	3,000E-1	3,000E+1
40,016	0,000	0,075	3,000E-1	3,000E+1
41,015	0,000	0,075	3,000E-1	3,000E+1
42,016	0,000	0,075	3,000E-1	3,000E+1
43,015	0,000	0,075	3,000E-1	3,000E+1
44,016	0,000	0,075	3,000E-1	3,000E+1
45,015	0,000	0,075	3,000E-1	3,000E+1
46,015	0,000	0,075	3,000E-1	3,000E+1
47,017	0,000	0,075	3,000E-1	3,000E+1
48,017	0,000	0,075	3,000E-1	3,000E+1
49,018	0,000	0,075	3,000E-1	3,000E+1
50,017	0,000	0,075	3,000E-1	3,000E+1
51,019	0,000	0,075	3,000E-1	3,000E+1
52,019	0,000	0,075	3,000E-1	3,000E+1
53,020	0,000	0,075	3,000E-1	3,000E+1
54,021	0,000	0,075	3,000E-1	3,000E+1
55,020	0,000	0,075	3,000E-1	3,000E+1
56,021	0,000	0,075	3,000E-1	3,000E+1
57,020	0,000	0,075	3,000E-1	3,000E+1
58,020	0,000	0,075	3,000E-1	3,000E+1
59,020	0,000	0,075	3,000E-1	3,000E+1
60,021	0,000	0,075	3,000E-1	3,000E+1
61,022	0,000	0,075	3,000E-1	3,000E+1
62,021	0,000	0,075	3,000E-1	3,000E+1
63,022	0,000	0,075	3,000E-1	3,000E+1
64,021	0,000	0,075	3,000E-1	3,000E+1
65,021	0,000	0,075	3,000E-1	3,000E+1
66,021	0,000	0,075	3,000E-1	3,000E+1
67,021	0,000	0,075	3,000E-1	3,000E+1
68,022	0,000	0,075	3,000E-1	3,000E+1
69,021	0,000	0,075	3,000E-1	3,000E+1
70,022	0,000	0,075	3,000E-1	3,000E+1
71,021	0,000	0,075	3,000E-1	3,000E+1
72,022	0,000	0,075	3,000E-1	3,000E+1
73,024	0,000	0,075	3,000E-1	3,000E+1
74,024	0,000	0,075	3,000E-1	3,000E+1
75,025	0,000	0,075	3,000E-1	3,000E+1
76,024	0,000	0,075	3,000E-1	3,000E+1
77,025	0,000	0,075	3,000E-1	3,000E+1
78,024	0,000	0,075	3,000E-1	3,000E+1
79,024	0,000	0,075	3,000E-1	3,000E+1
80,025	0,000	0,075	3,000E-1	3,000E+1
81,024	0,000	0,075	3,000E-1	3,000E+1
82,025	0,000	0,075	3,000E-1	3,000E+1
83,025	0,000	0,075	3,000E-1	3,000E+1
84,025	0,000	0,075	3,000E-1	3,000E+1
85,026	0,000	0,075	3,000E-1	3,000E+1
86,026	0,000	0,075	3,000E-1	3,000E+1
87,027	0,000	0,075	3,000E-1	3,000E+1
88,026	0,000	0,075	3,000E-1	3,000E+1
89,027	0,000	0,075	3,000E-1	3,000E+1
90,026	0,000	0,075	3,000E-1	3,000E+1
91,026	0,000	0,075	3,000E-1	3,000E+1
92,026	0,000	0,075	3,000E-1	3,000E+1
93,026	0,000	0,075	3,000E-1	3,000E+1
94,027	0,000	0,075	3,000E-1	3,000E+1
95,026	0,000	0,075	3,000E-1	3,000E+1
96,027	0,000	0,075	3,000E-1	3,000E+1
97,026	0,000	0,075	3,000E-1	3,000E+1
98,026	0,000	0,075	3,000E-1	3,000E+1
99,027	0,000	0,075	3,000E-1	3,000E+1
100,027	0,000	0,075	3,000E-1	3,000E+1
101,029	0,000	0,075	3,000E-1	3,000E+1
102,028	0,000	0,075	3,000E-1	3,000E+1
103,029	0,000	0,075	3,000E-1	3,000E+1
104,028	0,000	0,075	3,000E-1	3,000E+1
105,028	0,000	0,075	3,000E-1	3,000E+1
106,029	0,000	0,075	3,000E-1	3,000E+1
107,028	0,000	0,075	3,000E-1	3,000E+1
108,030	0,000	0,075	3,000E-1	3,000E+1
109,029	0,000	0,075	3,000E-1	3,000E+1
110,031	0,000	0,075	3,000E-1	3,000E+1
111,030	0,000	0,075	3,000E-1	3,000E+1
112,030	0,000	0,075	3,000E-1	3,000E+1
113,031	0,000	0,075	3,000E-1	3,000E+1
114,030	0,000	0,075	3,000E-1	3,000E+1
115,031	0,000	0,075	3,000E-1	3,000E+1
116,030	0,000	0,075	3,000E-1	3,000E+1
117,031	0,000	0,075	3,000E-1	3,000E+1
118,030	0,000	0,075	3,000E-1	3,000E+1
119,030	0,000	0,075	3,000E-1	3,000E+1
120,031	0,000	0,075	3,000E-1	3,000E+1
121,030	0,000	0,075	3,000E-1	3,000E+1
122,031	0,000	0,075	3,000E-1	3,000E+1
123,030	0,000	0,075	3,000E-1	3,000E+1
124,031	0,000	0,075	3,000E-1	3,000E+1
125,031	0,000	0,075	3,000E-1	3,000E+1
126,031	0,000	0,075	3,000E-1	3,000E+1
127,032	0,000	0,075	3,000E-1	3,000E+1
128,031	0,000	0,075	3,000E-1	3,000E+1
129,032	0,000	0,075	3,000E-1	3,000E+1
130,031	0,000	0,075	3,000E-1	3,000E+1
131,031	0,000	0,075	3,000E-1	3,000E+1
132,033	0,000	0,075	3,000E-1	3,000E+1
133,032	0,000	0,075	3,000E-1	3,000E+1
134,033	0,000	0,075	3,000E-1	3,000E+1
135,032	0,000	0,075	3,000E-1	3,000E+1
136,033	0,000	0,075	3,000E-1	3,000E+1
137,032	0,000	0,075	3,000E-1	3,000E+1
138,032	0,000	0,075	3,000E-1	3,000E+1
139,033	0,000	0,075	3,000E-1	3,000E+1
140,032	0,000	0,075	3,000E-1	3,000E+1
141,034	0,000	0,075	3,000E-1	3,000E+1
142,033	0,000	0,075	3,000E-1	3,000E+1
143,034	0,000	0,075	3,000E-1	3,000E+1
144,033	0,000	0,075	3,000E-1	3,000E+1
145,033	0,000	0,075	3,000E-1	3,000E+1
146,034	0,000	0,075	3,000E-1	3,000E+1
147,033	0,000	0,075	3,000E-1	3,000E+1
148,034	0,000	0,075	3,000E-1	3,000E+1
149,033	0,000	0,075	3,000E-1	3,000E+1
150,033	0,000	0,075	3,000E-1	3,000E+1
151,033	0,000	0,075	3,000E-1	3,000E+1
152,033	0,000	0,075	3,000E-1	3,000E+1
153,034	0,000	0,075	3,000E-1	3,000E+1
154,033	0,000	0,075	3,000E-1	3,000E+1
155,034	0,000	0,075	3,000E-1	3,000E+1
156,033	0,000	0,075	3,000E-1	3,000E+1
157,033	0,000	0,075	3,000E-1	3,000E+1
158,033	0,000	0,075	3,000E-1	3,000E+1
159,033	0,000	0,075	3,000E-1	3,000E+1
160,034	0,000	0,075	3,000E-1	3,000E+1
161,033	0,000	0,075	3,000E-1	3,000E+1
162,034	0,000	0,075	3,000E-1	3,000E+1
163,033	0,000	0,075	3,000E-1	3,000E+1
164,033	0,000	0,075	3,000E-1	3,000E+1
165,034	0,000	0,075	3,000E-1	3,000E+1
166,033	0,000	0,075	3,000E-1	3,000E+1
167,035	0,000	0,075	3,000E-1	3,000E+1
168,035	0,000	0,075	3,000E-1	3,000E+1
169,036	0,000	0,075	3,000E-1	3,000E+1
170,035	0,000	0,075	3,000E-1	3,000E+1
171,036	0,000	0,075	3,000E-1	3,000E+1
172,037	0,000	0,075	3,000E-1	3,000E+1
173,036	0,000	0,075	3,000E-1	3,000E+1
174,037	0,000	0,075	3,000E-1	3,000E+1
175,036	0,000	0,075	3,000E-1	3,000E+1
176,037	0,000	0,075	3,000E-1	3,000E+1
177,036	0,000	0,075	3,000E-1	3,000E+1
178,036	0,000	0,075	3,000E-1	3,000E+1
179,037	0,000	0,075	3,000E-1	3,000E+1
180,036	0,000	0,075	3,000E-1	3,000E+1
181,038	0,000	0,075	3,000E-1	3,000E+1
182,037	0,000	0,075	3,000E-1	3,000E+1
183,037	0,000	0,075	3,000E-1	3,000E+1
184,037	0,000	0,075	3,000E-1	3,000E+1
185,037	0,000	0,075	3,000E-1	3,000E+1
186,038	0,000	0,075	3,000E-1	3,000E+1
187,037	0,000	0,075	3,000E-1	3,000E+1
188,038	0,000	0,075	3,000E-1	3,000E+1
189,037	0,000	0,075	3,000E-1	3,000E+1
190,037	0,000	0,075	3,000E-1	3,000E+1
191,037	0,000	0,075	3,000E-1	3,000E+1
192,038	0,000	0,075	3,000E-1	3,000E+1
193,039	0,000	0,075	3,000E-1	3,000E+1
194,038	0,000	0,075	3,000E-1	3,000E+1
195,039	0,000	0,075	3,000E-1	3,000E+1
196,038	0,000	0,075	3,000E-1	3,000E+1
