t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
2,140	64,306	0,000	6,436E+1	6,446E+1	6,419E+1	6,261E+1	6,814E+1	6,866E+1	6,387E+1	6,530E+1	6,617E+1	6,273E+1
2,140	64,306	0,000	6,436E+1	6,446E+1	6,419E+1	6,261E+1	6,814E+1	6,866E+1	6,387E+1	6,530E+1	6,617E+1	6,273E+1
4,307	64,288	0,000	6,436E+1	6,448E+1	6,416E+1	6,260E+1	6,813E+1	6,867E+1	6,386E+1	6,528E+1	6,618E+1	6,275E+1
4,307	64,288	0,000	6,436E+1	6,448E+1	6,416E+1	6,260E+1	6,813E+1	6,867E+1	6,386E+1	6,528E+1	6,618E+1	6,275E+1
6,474	64,276	0,000	6,437E+1	6,447E+1	6,414E+1	6,264E+1	6,816E+1	6,870E+1	6,385E+1	6,524E+1	6,617E+1	6,275E+1
6,474	64,276	0,000	6,437E+1	6,447E+1	6,414E+1	6,264E+1	6,816E+1	6,870E+1	6,385E+1	6,524E+1	6,617E+1	6,275E+1
8,641	64,296	0,000	6,442E+1	6,448E+1	6,415E+1	6,262E+1	6,814E+1	6,867E+1	6,385E+1	6,523E+1	6,617E+1	6,274E+1
8,641	64,296	0,000	6,442E+1	6,448E+1	6,415E+1	6,262E+1	6,814E+1	6,867E+1	6,385E+1	6,523E+1	6,617E+1	6,274E+1
10,808	64,326	0,000	6,444E+1	6,447E+1	6,411E+1	6,266E+1	6,812E+1	6,862E+1	6,383E+1	6,521E+1	6,613E+1	6,280E+1
10,808	64,326	0,000	6,444E+1	6,447E+1	6,411E+1	6,266E+1	6,812E+1	6,862E+1	6,383E+1	6,521E+1	6,613E+1	6,280E+1
12,977	64,306	0,000	6,439E+1	6,447E+1	6,409E+1	6,261E+1	6,811E+1	6,861E+1	6,381E+1	6,514E+1	6,616E+1	6,276E+1
12,977	64,306	0,000	6,439E+1	6,447E+1	6,409E+1	6,261E+1	6,811E+1	6,861E+1	6,381E+1	6,514E+1	6,616E+1	6,276E+1
12,977	64,306	0,000	6,439E+1	6,447E+1	6,409E+1	6,261E+1	6,811E+1	6,861E+1	6,381E+1	6,514E+1	6,616E+1	6,276E+1
