t	PV [ºC]	SP [ºC]	MV[A]
0,000	0,000	69,000	3,200E-1
0,000	0,000	69,000	3,200E-1
1,988	48,498	69,000	3,200E-1
1,988	48,498	69,000	0,000E+0
1,988	48,498	69,000	9,257E-2
4,005	48,501	69,000	1,733E-1
4,005	48,501	69,000	2,659E-1
6,024	48,501	69,000	3,200E-1
6,024	48,501	69,000	3,200E-1
8,040	48,503	69,000	3,200E-1
8,040	48,503	69,000	3,200E-1
10,059	48,518	69,000	3,200E-1
10,059	48,518	69,000	3,200E-1
12,075	48,551	69,000	2,817E-1
12,075	48,551	69,000	3,200E-1
14,094	48,501	69,000	3,200E-1
14,094	48,501	69,000	3,200E-1
16,111	48,513	69,000	3,200E-1
16,111	48,513	69,000	3,200E-1
18,131	48,503	69,000	3,200E-1
18,131	48,503	69,000	3,200E-1
20,148	48,485	69,000	3,200E-1
20,148	48,485	69,000	3,200E-1
22,171	48,483	69,000	3,200E-1
22,171	48,483	69,000	3,200E-1
24,187	48,451	69,000	3,200E-1
24,187	48,451	69,000	3,200E-1
26,210	48,450	69,000	3,200E-1
26,210	48,450	69,000	3,200E-1
28,227	48,441	69,000	3,200E-1
28,227	48,441	69,000	3,200E-1
30,245	48,436	69,000	3,200E-1
30,245	48,436	69,000	3,200E-1
32,264	48,374	69,000	3,200E-1
32,264	48,374	69,000	3,200E-1
34,283	48,399	69,000	3,141E-1
34,283	48,399	69,000	3,200E-1
36,299	48,387	69,000	3,200E-1
36,299	48,387	69,000	3,200E-1
38,320	48,357	69,000	3,200E-1
38,320	48,357	69,000	3,200E-1
40,338	48,330	69,000	3,200E-1
40,338	48,330	69,000	3,200E-1
42,357	48,317	69,000	3,200E-1
42,357	48,317	69,000	3,200E-1
44,374	48,340	69,000	3,200E-1
44,374	48,340	69,000	3,200E-1
46,394	48,409	69,000	3,200E-1
46,394	48,409	69,000	1,399E-1
48,411	48,416	69,000	2,329E-1
48,411	48,416	69,000	2,981E-1
50,430	48,399	69,000	3,200E-1
50,430	48,399	69,000	3,200E-1
52,448	48,389	69,000	3,200E-1
52,448	48,389	69,000	3,200E-1
54,467	48,389	69,000	3,200E-1
54,467	48,389	69,000	3,200E-1
56,488	48,364	69,000	3,200E-1
56,488	48,364	69,000	3,200E-1
58,506	48,364	69,000	3,200E-1
