t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
1,003	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
2,002	1,150	0,000	1,070E+0	1,070E+0	0,000E+0
3,003	1,130	0,000	1,150E+0	1,150E+0	0,000E+0
4,004	1,100	0,000	1,130E+0	1,130E+0	0,000E+0
5,006	1,150	0,000	1,100E+0	7,200E-5	0,000E+0
6,005	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
7,005	1,530	0,000	1,150E+0	1,150E+0	0,000E+0
8,006	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
9,005	0,840	0,000	8,400E-1	8,400E-1	0,000E+0
10,006	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
11,006	1,110	0,000	1,138E+0	1,138E+0	0,000E+0
12,007	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
13,006	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
14,006	0,980	0,000	9,800E-1	9,800E-1	0,000E+0
15,008	0,830	0,000	8,300E-1	8,300E-1	0,000E+0
16,007	0,820	0,000	8,200E-1	8,200E-1	0,000E+0
17,008	1,040	0,000	9,446E-1	9,446E-1	0,000E+0
18,007	1,100	0,000	1,040E+0	1,040E+0	0,000E+0
19,008	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
20,008	1,060	0,000	1,080E+0	1,080E+0	0,000E+0
21,008	1,100	0,000	1,060E+0	1,060E+0	0,000E+0
22,009	1,100	0,000	1,100E+0	7,200E-5	0,000E+0
23,008	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
24,009	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
25,009	1,080	0,000	1,060E+0	1,060E+0	0,000E+0
26,009	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
27,010	1,140	0,000	1,000E+0	1,000E+0	0,000E+0
28,009	1,060	0,000	1,140E+0	7,200E-5	0,000E+0
29,010	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
30,009	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
31,010	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
32,009	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
33,009	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
34,010	1,060	0,000	1,050E+0	1,050E+0	0,000E+0
35,009	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
36,010	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
37,009	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
38,010	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
39,009	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
40,009	1,390	0,000	1,390E+0	1,390E+0	0,000E+0
41,010	1,300	0,000	1,390E+0	1,390E+0	0,000E+0
42,009	0,710	0,000	1,300E+0	1,300E+0	0,000E+0
43,010	1,060	0,000	7,100E-1	7,100E-1	0,000E+0
44,010	1,110	0,000	1,060E+0	1,060E+0	0,000E+0
45,011	1,110	0,000	1,110E+0	7,200E-5	0,000E+0
46,010	0,860	0,000	8,600E-1	8,600E-1	0,000E+0
47,010	1,040	0,000	8,600E-1	8,600E-1	0,000E+0
48,011	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
49,010	1,050	0,000	1,130E+0	1,130E+0	0,000E+0
50,011	1,220	0,000	1,220E+0	1,220E+0	0,000E+0
51,010	1,130	0,000	1,220E+0	7,200E-5	0,000E+0
52,011	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
53,012	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
54,011	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
55,012	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
56,011	1,100	0,000	1,150E+0	1,150E+0	0,000E+0
57,012	1,060	0,000	1,100E+0	1,100E+0	0,000E+0
58,012	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
59,012	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
60,013	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
61,012	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
62,013	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
63,013	0,980	0,000	1,088E+0	1,088E+0	0,000E+0
64,014	1,170	0,000	9,800E-1	9,800E-1	0,000E+0
65,013	1,090	0,000	1,170E+0	1,170E+0	0,000E+0
66,013	1,130	0,000	1,090E+0	1,090E+0	0,000E+0
67,014	1,110	0,000	1,130E+0	1,130E+0	0,000E+0
68,013	1,080	0,000	1,110E+0	7,200E-5	0,000E+0
69,014	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
70,013	1,110	0,000	1,080E+0	1,080E+0	0,000E+0
71,014	1,100	0,000	1,110E+0	1,110E+0	0,000E+0
72,013	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
73,013	1,070	0,000	1,100E+0	1,100E+0	0,000E+0
74,015	1,140	0,000	1,070E+0	7,200E-5	0,000E+0
75,015	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
76,017	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
77,016	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
78,017	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
79,016	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
80,016	1,080	0,000	1,080E+0	7,200E-5	0,000E+0
81,017	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
82,017	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
83,018	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
84,017	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
85,018	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
86,018	1,110	0,000	1,093E+0	1,093E+0	0,000E+0
87,017	1,140	0,000	1,110E+0	1,110E+0	0,000E+0
88,018	1,180	0,000	1,140E+0	1,140E+0	0,000E+0
89,017	1,140	0,000	1,180E+0	1,180E+0	0,000E+0
90,018	1,090	0,000	1,140E+0	1,140E+0	0,000E+0
91,017	1,070	0,000	1,090E+0	7,200E-5	0,000E+0
92,018	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
93,018	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
94,017	1,060	0,000	1,070E+0	1,070E+0	0,000E+0
95,018	1,080	0,000	1,060E+0	1,060E+0	0,000E+0
96,017	1,140	0,000	1,080E+0	1,080E+0	0,000E+0
97,018	1,070	0,000	1,140E+0	7,200E-5	0,000E+0
98,017	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
99,017	1,240	0,000	1,240E+0	1,240E+0	0,000E+0
100,018	1,330	0,000	1,240E+0	1,240E+0	0,000E+0
101,017	0,880	0,000	8,800E-1	8,800E-1	0,000E+0
102,018	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
103,017	1,010	0,000	1,101E+0	1,101E+0	0,000E+0
104,018	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
105,017	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
106,017	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
107,018	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
108,017	1,190	0,000	1,190E+0	1,190E+0	0,000E+0
109,018	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
110,017	1,120	0,000	1,100E+0	1,100E+0	0,000E+0
111,018	1,130	0,000	1,120E+0	1,120E+0	0,000E+0
112,017	0,970	0,000	1,130E+0	1,130E+0	0,000E+0
113,017	1,090	0,000	9,700E-1	9,700E-1	0,000E+0
114,018	0,990	0,000	1,090E+0	7,200E-5	0,000E+0
115,017	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
116,019	1,010	0,000	9,900E-1	9,900E-1	0,000E+0
117,018	1,100	0,000	1,010E+0	1,010E+0	0,000E+0
118,019	1,140	0,000	1,100E+0	1,100E+0	0,000E+0
119,019	1,130	0,000	1,140E+0	1,140E+0	0,000E+0
120,018	1,120	0,000	1,130E+0	7,200E-5	0,000E+0
121,019	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
122,018	1,230	0,000	1,230E+0	1,230E+0	0,000E+0
123,019	1,030	0,000	1,230E+0	1,230E+0	0,000E+0
124,019	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
125,020	1,030	0,000	1,010E+0	1,010E+0	0,000E+0
126,020	1,140	0,000	1,097E+0	1,097E+0	0,000E+0
127,019	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
128,020	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
129,019	1,160	0,000	1,160E+0	1,160E+0	0,000E+0
130,020	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
131,019	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
132,019	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
133,020	1,140	0,000	1,030E+0	1,030E+0	0,000E+0
134,019	1,020	0,000	1,140E+0	1,140E+0	0,000E+0
135,020	1,040	0,000	1,020E+0	1,020E+0	0,000E+0
136,019	1,010	0,000	1,040E+0	1,040E+0	0,000E+0
137,020	1,020	0,000	1,010E+0	7,200E-5	0,000E+0
138,019	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
139,019	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
140,020	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
141,019	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
142,020	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
143,019	1,130	0,000	1,087E+0	1,087E+0	0,000E+0
144,020	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
145,019	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
146,019	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
147,020	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
148,020	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
149,021	1,050	0,000	1,058E+0	1,058E+0	0,000E+0
150,020	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
151,021	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
152,022	1,090	0,000	1,100E+0	1,100E+0	0,000E+0
153,021	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
154,023	1,130	0,000	1,110E+0	7,200E-5	0,000E+0
155,022	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
156,023	1,120	0,000	1,130E+0	1,130E+0	0,000E+0
157,023	1,080	0,000	1,120E+0	1,120E+0	0,000E+0
158,025	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
159,025	1,150	0,000	1,120E+0	1,120E+0	0,000E+0
160,025	1,080	0,000	1,150E+0	7,200E-5	0,000E+0
161,026	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
162,027	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
163,029	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
164,028	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
165,028	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
166,029	1,120	0,000	1,069E+0	1,069E+0	0,000E+0
167,028	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
168,029	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
169,028	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
170,029	1,090	0,000	1,120E+0	1,120E+0	0,000E+0
171,028	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
172,028	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
173,029	1,080	0,000	1,050E+0	1,050E+0	0,000E+0
174,028	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
175,029	1,140	0,000	1,080E+0	1,080E+0	0,000E+0
176,028	1,040	0,000	1,040E+0	1,040E+0	0,000E+0
177,029	1,040	0,000	1,040E+0	7,200E-5	0,000E+0
178,029	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
179,029	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
180,030	1,090	0,000	1,050E+0	1,050E+0	0,000E+0
181,029	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
182,030	1,130	0,000	1,060E+0	1,060E+0	0,000E+0
183,029	1,090	0,000	1,087E+0	1,087E+0	0,000E+0
184,031	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
185,031	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
186,030	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
187,031	1,150	0,000	1,150E+0	1,150E+0	0,000E+0
188,030	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
189,031	1,180	0,000	1,180E+0	1,180E+0	0,000E+0
190,031	1,140	0,000	1,180E+0	1,180E+0	0,000E+0
191,032	1,090	0,000	1,140E+0	1,140E+0	0,000E+0
192,033	1,170	0,000	1,090E+0	1,090E+0	0,000E+0
193,032	1,080	0,000	1,170E+0	1,170E+0	0,000E+0
194,034	1,100	0,000	1,080E+0	7,200E-5	0,000E+0
195,033	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
196,034	1,110	0,000	1,100E+0	1,100E+0	0,000E+0
197,033	1,020	0,000	1,110E+0	1,110E+0	0,000E+0
198,034	1,100	0,000	1,020E+0	1,020E+0	0,000E+0
199,035	1,110	0,000	1,100E+0	1,100E+0	0,000E+0
200,034	1,180	0,000	1,110E+0	7,200E-5	0,000E+0
201,035	1,180	0,000	1,180E+0	1,180E+0	0,000E+0
202,034	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
203,035	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
204,034	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
