t	PV [ºC]	SP [ºC]	MV[A]
0,000	64,579	68,000	3,200E-1
0,000	64,579	68,000	3,200E-1
0,000	64,579	68,000	3,200E-1
2,140	64,461	68,000	3,200E-1
2,140	64,461	68,000	3,200E-1
4,307	64,476	68,000	3,200E-1
4,307	64,476	68,000	3,200E-1
6,474	64,466	68,000	3,200E-1
6,474	64,466	68,000	3,200E-1
8,641	64,476	68,000	3,200E-1
8,641	64,476	68,000	3,200E-1
10,808	64,466	68,000	3,200E-1
10,808	64,466	68,000	3,200E-1
12,977	64,468	68,000	3,200E-1
12,977	64,468	68,000	3,200E-1
12,977	64,468	68,000	3,200E-1
15,142	64,446	68,000	3,200E-1
15,142	64,446	68,000	3,200E-1
17,311	64,431	68,000	3,200E-1
17,311	64,431	68,000	3,200E-1
19,476	64,409	68,000	3,200E-1
19,476	64,409	68,000	3,200E-1
21,645	64,421	68,000	3,200E-1
21,645	64,421	68,000	3,200E-1
23,812	64,456	68,000	3,200E-1
23,812	64,456	68,000	3,200E-1
25,979	64,432	68,000	3,200E-1
25,979	64,432	68,000	3,200E-1
25,979	64,432	68,000	3,200E-1
28,146	64,454	68,000	3,200E-1
28,146	64,454	68,000	3,200E-1
30,315	64,402	68,000	3,200E-1
30,315	64,402	68,000	3,200E-1
32,482	64,439	68,000	3,200E-1
32,482	64,439	68,000	3,200E-1
34,651	64,439	68,000	3,200E-1
34,651	64,439	68,000	3,200E-1
36,816	64,429	68,000	3,200E-1
36,816	64,429	68,000	3,200E-1
38,981	64,417	68,000	3,200E-1
38,981	64,417	68,000	3,200E-1
38,981	64,417	68,000	3,200E-1
41,149	64,363	68,000	3,200E-1
41,149	64,363	68,000	3,200E-1
43,316	64,340	68,000	3,200E-1
43,316	64,340	68,000	3,200E-1
45,485	64,377	68,000	3,200E-1
45,485	64,377	68,000	3,200E-1
47,654	64,356	68,000	3,200E-1
47,654	64,356	68,000	3,200E-1
49,819	64,351	68,000	3,200E-1
49,819	64,351	68,000	3,200E-1
51,986	64,362	68,000	3,200E-1
51,986	64,362	68,000	3,200E-1
51,986	64,362	68,000	3,200E-1
54,149	64,375	68,000	3,200E-1
54,149	64,375	68,000	3,200E-1
56,316	64,338	68,000	3,200E-1
56,316	64,338	68,000	3,200E-1
58,481	64,353	68,000	3,200E-1
58,481	64,353	68,000	3,200E-1
60,648	64,345	68,000	3,200E-1
60,648	64,345	68,000	3,200E-1
62,811	64,345	68,000	3,200E-1
62,811	64,345	68,000	3,200E-1
64,980	64,309	68,000	3,200E-1
64,980	64,309	68,000	3,200E-1
64,980	64,309	68,000	3,200E-1
67,145	64,269	68,000	3,200E-1
67,145	64,269	68,000	3,200E-1
69,314	64,282	68,000	3,200E-1
69,314	64,282	68,000	3,200E-1
71,482	64,311	68,000	3,200E-1
71,482	64,311	68,000	3,200E-1
73,649	64,286	68,000	3,200E-1
73,649	64,286	68,000	3,200E-1
75,816	64,259	68,000	3,200E-1
75,816	64,259	68,000	3,200E-1
77,983	64,259	68,000	3,200E-1
77,983	64,259	68,000	3,200E-1
77,983	64,259	68,000	3,200E-1
80,149	64,247	68,000	3,200E-1
80,149	64,247	68,000	3,200E-1
82,319	64,299	68,000	3,200E-1
82,319	64,299	68,000	3,200E-1
84,482	64,237	68,000	3,200E-1
84,482	64,237	68,000	3,200E-1
86,653	64,218	68,000	3,200E-1
86,653	64,218	68,000	3,200E-1
88,820	64,203	68,000	3,200E-1
88,820	64,203	68,000	3,200E-1
90,989	64,220	68,000	3,200E-1
90,989	64,220	68,000	3,200E-1
90,989	64,220	68,000	3,200E-1
93,156	64,228	68,000	3,200E-1
93,156	64,228	68,000	3,200E-1
95,325	64,272	68,000	3,200E-1
95,325	64,272	68,000	3,200E-1
97,492	64,208	68,000	3,200E-1
97,492	64,208	68,000	3,200E-1
99,659	64,240	68,000	3,200E-1
99,659	64,240	68,000	3,200E-1
101,822	64,210	68,000	3,200E-1
101,822	64,210	68,000	3,200E-1
103,987	64,237	68,000	3,200E-1
103,987	64,237	68,000	3,200E-1
103,987	64,237	68,000	3,200E-1
106,154	64,223	68,000	3,200E-1
106,154	64,223	68,000	3,200E-1
108,321	64,173	68,000	3,200E-1
108,321	64,173	68,000	3,200E-1
110,488	64,164	68,000	3,200E-1
110,488	64,164	68,000	3,200E-1
112,655	64,203	68,000	3,200E-1
112,655	64,203	68,000	3,200E-1
114,821	64,208	68,000	3,200E-1
114,821	64,208	68,000	3,200E-1
116,988	64,181	68,000	3,200E-1
116,988	64,181	68,000	3,200E-1
116,988	64,181	68,000	3,200E-1
119,153	64,218	68,000	3,200E-1
119,153	64,218	68,000	3,200E-1
121,320	64,225	68,000	3,200E-1
121,320	64,225	68,000	3,200E-1
123,485	64,247	68,000	3,200E-1
123,485	64,247	68,000	3,200E-1
125,652	64,230	68,000	3,200E-1
125,652	64,230	68,000	3,200E-1
127,817	64,223	68,000	3,200E-1
127,817	64,223	68,000	3,200E-1
129,984	64,205	68,000	3,200E-1
129,984	64,205	68,000	3,200E-1
129,984	64,205	68,000	3,200E-1
132,149	64,210	68,000	3,200E-1
132,149	64,210	68,000	3,200E-1
134,316	64,220	68,000	3,200E-1
134,316	64,220	68,000	3,200E-1
136,481	64,247	68,000	3,200E-1
136,481	64,247	68,000	3,200E-1
138,650	64,230	68,000	3,200E-1
138,650	64,230	68,000	3,200E-1
140,815	64,200	68,000	3,200E-1
140,815	64,200	68,000	3,200E-1
142,982	64,277	68,000	3,200E-1
142,982	64,277	68,000	3,200E-1
142,982	64,277	68,000	3,200E-1
145,147	64,299	68,000	3,200E-1
145,147	64,299	68,000	3,200E-1
147,315	64,233	68,000	3,200E-1
147,315	64,233	68,000	3,200E-1
149,482	64,223	68,000	3,200E-1
149,482	64,223	68,000	3,200E-1
151,651	64,178	68,000	3,200E-1
151,651	64,178	68,000	3,200E-1
153,816	64,178	68,000	3,200E-1
153,816	64,178	68,000	3,200E-1
155,983	64,141	68,000	3,200E-1
155,983	64,141	68,000	3,200E-1
155,983	64,141	68,000	3,200E-1
158,150	64,198	68,000	3,200E-1
158,150	64,198	68,000	3,200E-1
160,317	64,166	68,000	3,200E-1
160,317	64,166	68,000	3,200E-1
162,482	64,186	68,000	3,200E-1
162,482	64,186	68,000	3,200E-1
164,649	64,230	68,000	3,200E-1
164,649	64,230	68,000	3,200E-1
166,816	64,255	68,000	3,200E-1
166,816	64,255	68,000	3,200E-1
168,981	64,218	68,000	3,200E-1
168,981	64,218	68,000	3,200E-1
168,981	64,218	68,000	3,200E-1
171,148	64,171	68,000	3,200E-1
171,148	64,171	68,000	3,200E-1
173,317	64,196	68,000	3,200E-1
173,317	64,196	68,000	3,200E-1
175,486	64,215	68,000	3,200E-1
175,486	64,215	68,000	3,200E-1
177,655	64,232	68,000	3,200E-1
177,655	64,232	68,000	3,200E-1
179,824	64,220	68,000	3,200E-1
179,824	64,220	68,000	3,200E-1
181,991	64,218	68,000	3,200E-1
181,991	64,218	68,000	3,200E-1
181,991	64,218	68,000	3,200E-1
184,158	64,235	68,000	3,200E-1
184,158	64,235	68,000	3,200E-1
186,323	64,213	68,000	3,200E-1
186,323	64,213	68,000	3,200E-1
188,489	64,154	68,000	3,200E-1
188,489	64,154	68,000	3,200E-1
190,658	64,196	68,000	3,200E-1
190,658	64,196	68,000	3,200E-1
192,821	64,193	68,000	3,200E-1
192,821	64,193	68,000	3,200E-1
194,988	64,213	68,000	3,200E-1
194,988	64,213	68,000	3,200E-1
194,988	64,213	68,000	3,200E-1
197,155	64,191	68,000	3,200E-1
197,155	64,191	68,000	3,200E-1
199,320	64,230	68,000	3,200E-1
199,320	64,230	68,000	3,200E-1
201,485	64,247	68,000	3,200E-1
201,485	64,247	68,000	3,200E-1
203,650	64,205	68,000	3,200E-1
203,650	64,205	68,000	3,200E-1
205,815	64,203	68,000	3,200E-1
205,815	64,203	68,000	3,200E-1
207,984	64,193	68,000	3,200E-1
207,984	64,193	68,000	3,200E-1
207,984	64,193	68,000	3,200E-1
210,151	64,215	68,000	3,200E-1
210,151	64,215	68,000	3,200E-1
212,318	64,215	68,000	3,200E-1
212,318	64,215	68,000	3,200E-1
214,481	64,171	68,000	3,200E-1
214,481	64,171	68,000	3,200E-1
216,652	64,205	68,000	3,200E-1
216,652	64,205	68,000	3,200E-1
218,819	64,227	68,000	3,200E-1
218,819	64,227	68,000	3,200E-1
220,986	64,247	68,000	3,200E-1
220,986	64,247	68,000	3,200E-1
220,986	64,247	68,000	3,200E-1
223,151	64,181	68,000	3,200E-1
223,151	64,181	68,000	3,200E-1
225,321	64,200	68,000	3,200E-1
225,321	64,200	68,000	3,200E-1
227,486	64,200	68,000	3,200E-1
227,486	64,200	68,000	3,200E-1
229,653	64,195	68,000	3,200E-1
229,653	64,195	68,000	3,200E-1
231,818	64,279	68,000	3,200E-1
231,818	64,279	68,000	3,200E-1
233,983	64,259	68,000	3,200E-1
233,983	64,259	68,000	3,200E-1
233,983	64,259	68,000	3,200E-1
236,150	64,250	68,000	3,200E-1
236,150	64,250	68,000	3,200E-1
238,317	64,245	68,000	3,200E-1
238,317	64,245	68,000	3,200E-1
240,482	64,217	68,000	3,200E-1
240,482	64,217	68,000	3,200E-1
242,651	64,232	68,000	3,200E-1
242,651	64,232	68,000	3,200E-1
244,817	64,215	68,000	3,200E-1
244,817	64,215	68,000	3,200E-1
246,985	64,245	68,000	3,200E-1
246,985	64,245	68,000	3,200E-1
246,985	64,245	68,000	3,200E-1
249,150	64,257	68,000	3,200E-1
249,150	64,257	68,000	3,200E-1
251,319	64,267	68,000	3,200E-1
251,319	64,267	68,000	3,200E-1
253,485	64,210	68,000	3,200E-1
253,485	64,210	68,000	3,200E-1
255,653	64,203	68,000	3,200E-1
255,653	64,203	68,000	3,200E-1
257,819	64,153	68,000	3,200E-1
257,819	64,153	68,000	3,200E-1
260,062	64,232	68,000	3,200E-1
260,062	64,232	68,000	3,200E-1
260,062	64,232	68,000	3,200E-1
262,301	64,227	68,000	3,200E-1
262,301	64,227	68,000	3,200E-1
264,544	64,208	68,000	3,200E-1
264,544	64,208	68,000	3,200E-1
266,781	64,250	68,000	3,200E-1
266,781	64,250	68,000	3,200E-1
269,023	64,299	68,000	3,200E-1
269,023	64,299	68,000	3,200E-1
269,023	64,299	68,000	3,200E-1
271,266	64,269	68,000	3,200E-1
271,266	64,269	68,000	3,200E-1
273,505	64,259	68,000	3,200E-1
273,505	64,259	68,000	3,200E-1
275,746	64,226	68,000	3,200E-1
275,746	64,226	68,000	3,200E-1
277,987	64,226	68,000	3,200E-1
277,987	64,226	68,000	3,200E-1
277,987	64,226	68,000	3,200E-1
280,228	64,248	68,000	3,200E-1
280,228	64,248	68,000	3,200E-1
282,467	64,240	68,000	3,200E-1
282,467	64,240	68,000	3,200E-1
284,708	64,260	68,000	3,200E-1
284,708	64,260	68,000	3,200E-1
286,948	64,276	68,000	3,200E-1
286,948	64,276	68,000	3,200E-1
286,948	64,276	68,000	3,200E-1
289,189	64,306	68,000	3,200E-1
289,189	64,306	68,000	3,200E-1
291,430	64,296	68,000	3,200E-1
291,430	64,296	68,000	3,200E-1
293,669	64,284	68,000	3,200E-1
293,669	64,284	68,000	3,200E-1
295,910	64,272	68,000	3,200E-1
295,910	64,272	68,000	3,200E-1
295,910	64,272	68,000	3,200E-1
298,149	64,335	68,000	3,200E-1
298,149	64,335	68,000	3,200E-1
300,392	64,267	68,000	3,200E-1
300,392	64,267	68,000	3,200E-1
302,634	64,281	68,000	3,200E-1
302,634	64,281	68,000	3,200E-1
304,873	64,277	68,000	3,200E-1
304,873	64,277	68,000	3,200E-1
307,114	64,274	68,000	3,200E-1
307,114	64,274	68,000	3,200E-1
307,114	64,274	68,000	3,200E-1
309,357	64,304	68,000	3,200E-1
309,357	64,304	68,000	3,200E-1
311,598	64,314	68,000	3,200E-1
311,598	64,314	68,000	3,200E-1
313,840	64,270	68,000	3,200E-1
313,840	64,270	68,000	3,200E-1
316,079	64,274	68,000	3,200E-1
316,079	64,274	68,000	3,200E-1
