t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
0,000	70,019	70,000	9,990E+1
2,140	70,019	70,000	1,000E-2
2,140	69,900	70,000	1,000E-2
4,307	69,900	70,000	4,704E+0
4,307	69,931	70,000	4,709E+0
6,474	69,931	70,000	3,485E+0
6,474	69,931	70,000	3,488E+0
8,641	69,775	70,000	9,692E+0
8,641	69,775	70,000	9,702E+0
10,808	69,694	70,000	9,713E+0
10,808	69,694	70,000	1,295E+1
12,977	69,691	70,000	1,297E+1
12,977	69,691	70,000	1,310E+1
12,977	69,689	70,000	1,311E+1
15,142	69,689	70,000	1,321E+1
15,142	69,665	70,000	1,322E+1
17,311	69,665	70,000	1,416E+1
17,311	69,708	70,000	1,418E+1
19,476	69,708	70,000	1,251E+1
19,476	69,708	70,000	1,252E+1
21,645	69,680	70,000	1,363E+1
21,645	69,680	70,000	1,364E+1
23,812	69,704	70,000	1,366E+1
23,812	69,704	70,000	1,272E+1
25,979	69,624	70,000	1,273E+1
25,979	69,624	70,000	1,592E+1
25,979	69,630	70,000	1,593E+1
28,146	69,630	70,000	1,573E+1
28,146	69,602	70,000	1,575E+1
30,315	69,602	70,000	1,686E+1
30,315	69,615	70,000	1,687E+1
32,482	69,615	70,000	1,636E+1
32,482	69,615	70,000	1,637E+1
34,651	69,804	70,000	8,922E+0
34,651	69,804	70,000	8,931E+0
36,816	69,687	70,000	8,940E+0
36,816	69,687	70,000	1,358E+1
38,981	69,845	70,000	1,360E+1
38,981	69,845	70,000	7,353E+0
38,981	69,685	70,000	7,360E+0
41,149	69,685	70,000	1,371E+1
41,149	69,585	70,000	1,372E+1
43,316	69,585	70,000	1,770E+1
43,316	69,612	70,000	1,772E+1
45,485	69,612	70,000	1,666E+1
45,485	69,612	70,000	1,668E+1
47,654	69,704	70,000	1,305E+1
47,654	69,704	70,000	1,307E+1
49,819	69,594	70,000	1,308E+1
49,819	69,594	70,000	1,747E+1
51,986	69,511	70,000	1,749E+1
51,986	69,511	70,000	2,080E+1
51,986	69,535	70,000	2,082E+1
54,149	69,535	70,000	1,989E+1
54,149	69,537	70,000	1,991E+1
56,316	69,537	70,000	1,981E+1
56,316	69,531	70,000	1,984E+1
58,481	69,531	70,000	2,011E+1
58,481	69,417	70,000	2,014E+1
60,648	69,417	70,000	2,465E+1
60,648	69,417	70,000	2,468E+1
62,811	69,368	70,000	2,471E+1
62,811	69,368	70,000	2,669E+1
64,980	69,365	70,000	2,672E+1
64,980	69,365	70,000	2,689E+1
64,980	69,371	70,000	2,692E+1
67,145	69,371	70,000	2,669E+1
67,145	69,379	70,000	2,672E+1
69,314	69,379	70,000	2,645E+1
69,314	69,441	70,000	2,648E+1
71,482	69,441	70,000	2,403E+1
71,482	69,495	70,000	2,405E+1
73,649	69,495	70,000	2,194E+1
73,649	69,495	70,000	2,196E+1
75,816	69,346	70,000	2,198E+1
75,816	69,346	70,000	2,791E+1
77,983	69,392	70,000	2,794E+1
77,983	69,392	70,000	2,615E+1
77,983	69,412	70,000	2,618E+1
80,149	69,412	70,000	2,541E+1
80,149	69,263	70,000	2,544E+1
82,319	69,263	70,000	3,137E+1
82,319	69,497	70,000	3,140E+1
84,482	69,497	70,000	2,216E+1
84,482	69,344	70,000	2,218E+1
86,653	69,344	70,000	2,827E+1
86,653	69,344	70,000	2,830E+1
88,820	69,234	70,000	2,833E+1
88,820	69,234	70,000	3,272E+1
90,989	69,167	70,000	3,275E+1
90,989	69,167	70,000	3,542E+1
90,989	69,137	70,000	3,546E+1
93,156	69,137	70,000	3,670E+1
93,156	69,159	70,000	3,674E+1
95,325	69,159	70,000	3,591E+1
95,325	69,095	70,000	3,595E+1
97,492	69,095	70,000	3,852E+1
97,492	68,986	70,000	3,856E+1
99,659	68,986	70,000	4,292E+1
99,659	68,986	70,000	4,297E+1
101,822	69,087	70,000	4,301E+1
101,822	69,087	70,000	3,908E+1
103,987	69,136	70,000	3,912E+1
103,987	69,136	70,000	3,722E+1
103,987	69,213	70,000	3,726E+1
106,154	69,213	70,000	3,421E+1
106,154	69,224	70,000	3,424E+1
108,321	69,224	70,000	3,388E+1
108,321	69,278	70,000	3,392E+1
110,488	69,278	70,000	3,179E+1
110,488	69,129	70,000	3,183E+1
112,655	69,129	70,000	3,778E+1
112,655	69,129	70,000	3,782E+1
114,821	69,070	70,000	3,786E+1
114,821	69,070	70,000	4,024E+1
