t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	3,000E+1
0,002	0,000	0,075	3,000E-1	3,000E+1
1,003	0,000	0,075	3,000E-1	3,000E+1
2,003	0,000	0,075	3,000E-1	3,000E+1
3,004	0,000	0,075	3,000E-1	3,000E+1
4,006	0,000	0,075	3,000E-1	3,000E+1
5,006	0,000	0,075	3,000E-1	3,000E+1
6,006	0,000	0,075	3,000E-1	3,000E+1
7,007	0,000	0,075	3,000E-1	3,000E+1
8,007	0,000	0,075	3,000E-1	3,000E+1
9,007	0,000	0,075	3,000E-1	3,000E+1
10,007	0,000	0,075	3,000E-1	3,000E+1
11,007	0,000	0,075	3,000E-1	3,000E+1
12,007	0,000	0,075	3,000E-1	3,000E+1
13,007	0,000	0,075	3,000E-1	3,000E+1
14,007	0,000	0,075	3,000E-1	3,000E+1
15,007	0,000	0,075	3,000E-1	3,000E+1
16,008	0,000	0,075	3,000E-1	3,000E+1
17,008	0,000	0,075	3,000E-1	3,000E+1
18,008	0,000	0,075	3,000E-1	3,000E+1
19,008	0,000	0,075	3,000E-1	3,000E+1
20,008	0,000	0,075	3,000E-1	3,000E+1
21,008	0,000	0,075	3,000E-1	3,000E+1
22,008	0,000	0,075	3,000E-1	3,000E+1
23,008	0,000	0,075	3,000E-1	3,000E+1
24,008	0,000	0,075	3,000E-1	3,000E+1
25,008	0,000	0,075	3,000E-1	3,000E+1
26,008	0,000	0,075	3,000E-1	3,000E+1
27,008	0,000	0,075	3,000E-1	3,000E+1
28,008	0,000	0,075	3,000E-1	3,000E+1
29,008	0,000	0,075	3,000E-1	3,000E+1
30,008	0,000	0,075	3,000E-1	3,000E+1
31,008	0,000	0,075	3,000E-1	3,000E+1
32,008	0,000	0,075	3,000E-1	3,000E+1
33,008	0,000	0,075	3,000E-1	3,000E+1
34,008	0,000	0,075	3,000E-1	3,000E+1
35,007	0,000	0,075	3,000E-1	3,000E+1
36,008	0,000	0,075	3,000E-1	3,000E+1
37,008	0,000	0,075	3,000E-1	3,000E+1
38,008	0,000	0,075	3,000E-1	3,000E+1
39,008	0,000	0,075	3,000E-1	3,000E+1
40,008	0,000	0,075	3,000E-1	3,000E+1
41,008	0,000	0,075	3,000E-1	3,000E+1
42,008	0,000	0,075	3,000E-1	3,000E+1
43,008	0,000	0,075	3,000E-1	3,000E+1
44,008	0,000	0,075	3,000E-1	3,000E+1
45,008	0,000	0,075	3,000E-1	3,000E+1
46,008	0,000	0,075	3,000E-1	3,000E+1
47,008	0,000	0,075	3,000E-1	3,000E+1
48,008	0,000	0,075	3,000E-1	3,000E+1
49,008	0,000	0,075	3,000E-1	3,000E+1
50,008	0,000	0,075	3,000E-1	3,000E+1
51,008	0,000	0,075	3,000E-1	3,000E+1
52,008	0,000	0,075	3,000E-1	3,000E+1
53,008	0,000	0,075	3,000E-1	3,000E+1
54,008	0,000	0,075	3,000E-1	3,000E+1
55,008	0,000	0,075	3,000E-1	3,000E+1
56,008	0,000	0,075	3,000E-1	3,000E+1
57,058	0,000	0,075	3,000E-1	3,000E+1
58,063	0,000	0,075	3,000E-1	3,000E+1
59,079	0,000	0,075	3,000E-1	3,000E+1
60,079	0,000	0,075	3,000E-1	3,000E+1
61,081	0,000	0,075	3,000E-1	3,000E+1
62,082	0,000	0,075	3,000E-1	3,000E+1
63,082	0,000	0,075	3,000E-1	3,000E+1
64,082	0,000	0,075	3,000E-1	3,000E+1
65,082	0,000	0,075	3,000E-1	3,000E+1
66,082	0,199	0,075	1,199E+1	3,000E+1
67,082	0,199	0,075	1,199E+1	3,000E+1
68,082	0,199	0,075	1,199E+1	3,000E+1
69,082	0,199	0,075	1,199E+1	3,000E+1
70,082	0,300	0,075	1,912E+1	3,000E+1
71,082	0,320	0,075	1,910E+1	3,000E+1
72,083	0,320	0,075	1,911E+1	3,000E+1
73,083	0,320	0,075	1,912E+1	3,000E+1
74,083	0,320	0,075	1,912E+1	3,000E+1
75,084	0,320	0,075	1,913E+1	3,000E+1
76,084	0,320	0,075	1,914E+1	3,000E+1
77,084	0,320	0,075	1,914E+1	3,000E+1
78,084	0,320	0,075	1,915E+1	3,000E+1
79,085	0,320	0,075	1,916E+1	3,000E+1
80,086	0,320	0,075	1,916E+1	3,000E+1
81,086	0,320	0,075	1,917E+1	3,000E+1
82,086	0,320	0,075	1,917E+1	3,000E+1
83,087	0,320	0,075	1,918E+1	3,000E+1
84,089	0,320	0,075	1,919E+1	3,000E+1
85,088	0,320	0,075	1,920E+1	3,000E+1
86,088	0,320	0,075	1,920E+1	3,000E+1
87,088	0,320	0,075	1,921E+1	3,000E+1
88,089	0,320	0,075	1,922E+1	3,000E+1
89,089	0,320	0,075	1,922E+1	3,000E+1
90,089	0,320	0,075	1,923E+1	3,000E+1
91,089	0,320	0,075	1,924E+1	3,000E+1
92,089	0,320	0,075	1,925E+1	3,000E+1
93,090	0,320	0,075	1,925E+1	3,000E+1
94,090	0,320	0,075	1,926E+1	3,000E+1
95,090	0,320	0,075	1,927E+1	3,000E+1
96,092	0,320	0,075	1,928E+1	3,000E+1
97,092	0,320	0,075	1,928E+1	3,000E+1
98,092	0,320	0,075	1,929E+1	3,000E+1
99,092	0,320	0,075	1,930E+1	3,000E+1
100,093	0,320	0,075	1,931E+1	3,000E+1
101,092	0,320	0,075	1,931E+1	3,000E+1
102,092	0,320	0,075	1,932E+1	3,000E+1
103,092	0,320	0,075	1,933E+1	3,000E+1
104,092	0,320	0,075	1,934E+1	3,000E+1
105,093	0,320	0,075	1,934E+1	3,000E+1
106,093	0,320	0,075	1,935E+1	3,000E+1
107,093	0,320	0,075	1,936E+1	3,000E+1
108,093	0,320	0,075	1,937E+1	3,000E+1
109,093	0,320	0,075	1,938E+1	3,000E+1
110,093	0,320	0,075	1,938E+1	3,000E+1
111,093	0,320	0,075	1,939E+1	3,000E+1
112,095	0,320	0,075	1,940E+1	3,000E+1
113,094	0,320	0,075	1,941E+1	3,000E+1
114,094	0,320	0,075	1,942E+1	3,000E+1
115,094	0,320	0,075	1,943E+1	3,000E+1
116,095	0,320	0,075	1,943E+1	3,000E+1
117,094	0,320	0,075	1,944E+1	3,000E+1
118,094	0,320	0,075	1,945E+1	3,000E+1
119,094	0,320	0,075	1,945E+1	3,000E+1
120,095	0,320	0,075	1,946E+1	3,000E+1
121,096	0,320	0,075	1,947E+1	3,000E+1
122,096	0,320	0,075	1,948E+1	3,000E+1
123,096	0,320	0,075	1,949E+1	3,000E+1
124,096	0,320	0,075	1,950E+1	3,000E+1
125,096	0,320	0,075	1,950E+1	3,000E+1
126,096	0,320	0,075	1,951E+1	3,000E+1
127,096	0,320	0,075	1,952E+1	3,000E+1
128,096	0,320	0,075	1,952E+1	3,000E+1
129,097	0,320	0,075	1,953E+1	3,000E+1
130,096	0,320	0,075	1,954E+1	3,000E+1
131,096	0,320	0,075	1,955E+1	3,000E+1
132,097	0,320	0,075	1,956E+1	3,000E+1
133,097	0,320	0,075	1,957E+1	3,000E+1
134,098	0,320	0,075	1,957E+1	3,000E+1
135,099	0,320	0,075	1,958E+1	3,000E+1
136,098	0,320	0,075	1,959E+1	3,000E+1
137,099	0,320	0,075	1,959E+1	3,000E+1
138,099	0,320	0,075	1,960E+1	3,000E+1
139,100	0,320	0,075	1,962E+1	3,000E+1
140,100	0,320	0,075	1,962E+1	3,000E+1
141,100	0,320	0,075	1,963E+1	3,000E+1
142,101	0,320	0,075	1,964E+1	3,000E+1
143,101	0,320	0,075	1,965E+1	3,000E+1
144,101	0,320	0,075	1,966E+1	3,000E+1
145,101	0,320	0,075	1,966E+1	3,000E+1
146,101	0,320	0,075	1,967E+1	3,000E+1
147,101	0,320	0,075	1,968E+1	3,000E+1
148,102	0,320	0,075	1,969E+1	3,000E+1
149,102	0,320	0,075	1,970E+1	3,000E+1
150,102	0,320	0,075	1,970E+1	3,000E+1
151,102	0,320	0,075	1,971E+1	3,000E+1
152,103	0,320	0,075	1,972E+1	3,000E+1
153,102	0,320	0,075	1,973E+1	3,000E+1
154,102	0,320	0,075	1,974E+1	3,000E+1
155,104	0,320	0,075	1,974E+1	3,000E+1
156,104	0,320	0,075	1,975E+1	3,000E+1
157,103	0,320	0,075	1,976E+1	3,000E+1
158,103	0,320	0,075	1,977E+1	3,000E+1
159,103	0,320	0,075	1,978E+1	3,000E+1
160,103	0,320	0,075	1,978E+1	3,000E+1
161,103	0,320	0,075	1,979E+1	3,000E+1
162,105	0,320	0,075	1,980E+1	3,000E+1
163,105	0,320	0,075	1,981E+1	3,000E+1
164,106	0,320	0,075	1,982E+1	3,000E+1
165,107	0,320	0,075	1,982E+1	3,000E+1
166,107	0,320	0,075	1,983E+1	3,000E+1
167,108	0,320	0,075	1,984E+1	3,000E+1
168,109	0,320	0,075	1,985E+1	3,000E+1
169,111	0,320	0,075	1,985E+1	3,000E+1
170,110	0,320	0,075	1,986E+1	3,000E+1
171,111	0,320	0,075	1,987E+1	3,000E+1
172,113	0,320	0,075	1,988E+1	3,000E+1
173,112	0,320	0,075	1,988E+1	3,000E+1
174,113	0,320	0,075	1,989E+1	3,000E+1
175,112	0,320	0,075	1,990E+1	3,000E+1
176,113	0,320	0,075	1,991E+1	3,000E+1
177,113	0,320	0,075	1,991E+1	3,000E+1
178,113	0,320	0,075	1,992E+1	3,000E+1
179,114	0,320	0,075	1,993E+1	3,000E+1
180,114	0,320	0,075	1,994E+1	3,000E+1
181,115	0,320	0,075	1,995E+1	3,000E+1
182,115	0,320	0,075	1,995E+1	3,000E+1
183,115	0,320	0,075	1,996E+1	3,000E+1
184,115	0,320	0,075	1,997E+1	3,000E+1
185,115	0,320	0,075	1,997E+1	3,000E+1
186,115	0,320	0,075	1,998E+1	3,000E+1
187,115	0,320	0,075	1,999E+1	3,000E+1
188,117	0,320	0,075	1,999E+1	3,000E+1
189,116	0,320	0,075	2,000E+1	3,000E+1
190,116	0,320	0,075	2,001E+1	3,000E+1
191,116	0,320	0,075	2,002E+1	3,000E+1
192,118	0,320	0,075	2,003E+1	3,000E+1
193,117	0,320	0,075	2,003E+1	3,000E+1
194,117	0,320	0,075	2,004E+1	3,000E+1
195,117	0,320	0,075	2,005E+1	3,000E+1
196,117	0,320	0,075	2,005E+1	3,000E+1
