t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,002	1,200	0,000	1,200E+0	1,200E+0	0,000E+0
1,003	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
2,003	0,940	0,000	1,100E+0	1,100E+0	0,000E+0
3,004	0,870	0,000	8,700E-1	8,700E-1	0,000E+0
4,006	1,010	0,000	1,010E+0	1,010E+0	0,000E+0
5,006	1,220	0,000	1,010E+0	7,200E-5	0,000E+0
6,006	1,220	0,000	1,220E+0	1,220E+0	0,000E+0
7,007	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
8,007	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
9,007	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
10,007	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
11,007	1,170	0,000	1,076E+0	1,076E+0	0,000E+0
12,007	1,170	0,000	1,170E+0	1,170E+0	0,000E+0
13,007	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
14,007	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
15,007	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
16,008	1,040	0,000	1,040E+0	7,200E-5	0,000E+0
17,008	1,070	0,000	1,070E+0	1,070E+0	0,000E+0
18,008	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
19,008	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
20,008	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
21,008	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
22,008	1,140	0,000	1,130E+0	7,200E-5	0,000E+0
23,008	1,140	0,000	1,140E+0	1,140E+0	0,000E+0
24,008	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
25,008	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
26,008	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
27,008	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
28,008	1,110	0,000	1,089E+0	1,089E+0	0,000E+0
29,008	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
30,008	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
31,008	1,020	0,000	1,020E+0	1,020E+0	0,000E+0
32,008	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
33,008	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
34,008	1,100	0,000	1,076E+0	1,076E+0	0,000E+0
35,007	1,120	0,000	1,100E+0	1,100E+0	0,000E+0
36,008	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
37,008	1,160	0,000	1,040E+0	1,040E+0	0,000E+0
38,008	1,170	0,000	1,160E+0	1,160E+0	0,000E+0
39,008	1,280	0,000	1,170E+0	7,200E-5	0,000E+0
40,008	1,280	0,000	1,280E+0	1,280E+0	0,000E+0
41,008	1,450	0,000	1,450E+0	1,450E+0	0,000E+0
42,008	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
43,008	0,960	0,000	9,600E-1	9,600E-1	0,000E+0
44,008	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
45,008	1,050	0,000	1,050E+0	7,200E-5	0,000E+0
46,008	1,080	0,000	1,080E+0	1,080E+0	0,000E+0
47,008	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
48,008	1,060	0,000	1,060E+0	1,060E+0	0,000E+0
49,008	0,870	0,000	8,700E-1	8,700E-1	0,000E+0
50,008	0,990	0,000	9,900E-1	9,900E-1	3,000E+3
51,008	1,260	0,000	1,070E+0	1,070E+0	3,000E+3
52,008	1,260	0,000	1,260E+0	1,260E+0	3,000E+3
53,008	3,960	2,110	3,960E+0	3,960E+0	3,000E+3
54,008	49,920	42,320	4,992E+1	4,992E+1	3,000E+3
55,008	102,790	68,330	1,028E+2	1,028E+2	3,000E+3
57,058	34,300	30,250	3,430E+1	3,430E+1	3,000E+3
57,058	29,450	25,700	4,427E+1	4,427E+1	3,000E+3
59,079	29,450	25,700	2,945E+1	2,945E+1	3,000E+3
59,079	30,480	26,900	3,048E+1	3,048E+1	3,000E+3
60,079	30,860	27,060	3,086E+1	3,086E+1	3,000E+3
61,081	30,890	27,100	3,089E+1	3,089E+1	3,000E+3
62,082	30,470	27,030	3,047E+1	3,047E+1	3,000E+3
63,082	30,650	27,130	3,091E+1	3,091E+1	3,000E+3
64,082	30,810	26,930	3,065E+1	3,065E+1	3,000E+3
65,082	30,810	26,930	3,081E+1	3,081E+1	3,000E+3
66,082	31,620	26,870	3,162E+1	3,162E+1	3,000E+3
67,082	154,370	147,370	1,225E+2	1,225E+2	3,000E+3
68,082	154,370	147,370	1,544E+2	1,544E+2	3,000E+3
69,082	156,690	149,150	1,567E+2	1,567E+2	3,000E+3
70,082	170,670	166,220	1,567E+2	1,567E+2	3,000E+3
71,082	332,600	344,210	1,707E+2	1,707E+2	3,000E+3
72,083	358,530	383,730	3,326E+2	3,326E+2	3,000E+3
73,083	360,530	390,530	3,585E+2	3,585E+2	3,000E+3
74,083	360,530	390,530	3,605E+2	3,605E+2	3,000E+3
75,084	366,190	392,010	3,179E+2	3,179E+2	3,000E+3
76,084	368,500	391,900	3,662E+2	3,662E+2	3,000E+3
77,084	367,650	392,310	3,685E+2	3,685E+2	3,000E+3
78,084	367,650	392,310	3,676E+2	3,676E+2	3,000E+3
79,085	365,890	391,750	3,676E+2	3,676E+2	3,000E+3
80,086	366,810	391,790	3,659E+2	3,659E+2	3,000E+3
81,086	367,130	390,910	3,668E+2	3,668E+2	3,000E+3
82,086	369,400	391,220	3,669E+2	3,669E+2	3,000E+3
83,087	368,600	391,700	3,694E+2	3,694E+2	3,000E+3
84,089	368,680	391,250	3,686E+2	3,686E+2	3,000E+3
85,088	368,530	390,590	3,687E+2	3,687E+2	3,000E+3
86,088	368,530	390,590	3,685E+2	3,685E+2	3,000E+3
87,088	367,440	390,690	3,685E+2	3,685E+2	3,000E+3
88,089	366,840	390,730	3,674E+2	3,674E+2	3,000E+3
89,089	367,820	391,410	3,668E+2	3,668E+2	3,000E+3
91,089	367,460	390,560	3,681E+2	3,681E+2	3,000E+3
91,089	368,280	390,850	3,675E+2	3,675E+2	3,000E+3
92,089	367,530	391,270	3,683E+2	3,683E+2	3,000E+3
93,090	368,420	390,980	3,675E+2	3,675E+2	3,000E+3
94,090	368,420	390,980	3,684E+2	3,684E+2	3,000E+3
95,090	368,140	391,180	3,684E+2	3,684E+2	3,000E+3
96,092	369,530	391,080	3,681E+2	3,681E+2	3,000E+3
97,092	365,560	391,010	3,695E+2	3,695E+2	3,000E+3
98,092	366,510	390,510	3,656E+2	3,656E+2	3,000E+3
99,092	362,050	390,750	3,665E+2	3,665E+2	3,000E+3
100,093	362,390	390,840	3,620E+2	3,620E+2	3,000E+3
101,092	369,070	391,150	3,624E+2	3,624E+2	3,000E+3
102,092	368,030	390,650	3,691E+2	3,691E+2	3,000E+3
103,092	368,660	390,770	3,680E+2	3,680E+2	3,000E+3
104,092	368,610	390,320	3,687E+2	3,687E+2	3,000E+3
105,093	367,930	390,230	3,686E+2	3,686E+2	3,000E+3
106,093	367,620	391,050	3,679E+2	3,679E+2	3,000E+3
107,093	368,040	390,500	3,676E+2	3,676E+2	3,000E+3
108,093	368,020	390,550	3,680E+2	3,680E+2	3,000E+3
109,093	368,020	390,550	3,680E+2	3,680E+2	3,000E+3
110,093	367,730	390,480	3,680E+2	3,680E+2	3,000E+3
111,093	367,120	390,770	3,677E+2	3,677E+2	3,000E+3
112,095	367,900	391,290	3,671E+2	3,671E+2	3,000E+3
113,094	369,510	391,210	3,679E+2	3,679E+2	3,000E+3
114,094	369,890	390,320	3,695E+2	3,695E+2	3,000E+3
115,094	371,240	390,780	3,699E+2	3,699E+2	3,000E+3
116,095	367,200	390,840	3,712E+2	3,712E+2	3,000E+3
117,094	367,820	391,090	3,672E+2	3,672E+2	3,000E+3
118,094	368,980	391,010	3,688E+2	3,688E+2	3,000E+3
119,094	368,700	390,980	3,690E+2	3,690E+2	3,000E+3
120,095	368,090	390,760	3,687E+2	3,687E+2	3,000E+3
121,096	364,900	391,220	3,681E+2	3,681E+2	3,000E+3
122,096	363,250	390,690	3,649E+2	3,649E+2	3,000E+3
123,096	351,600	391,540	3,632E+2	3,632E+2	3,000E+3
124,096	340,600	391,640	3,516E+2	3,516E+2	3,000E+3
125,096	350,960	390,620	3,406E+2	3,406E+2	3,000E+3
126,096	353,710	390,970	3,510E+2	3,510E+2	3,000E+3
127,096	354,860	391,220	3,537E+2	3,537E+2	3,000E+3
128,096	353,400	391,500	3,549E+2	3,549E+2	3,000E+3
129,097	353,820	391,660	3,534E+2	3,534E+2	3,000E+3
130,096	353,820	391,660	3,538E+2	3,538E+2	3,000E+3
131,096	356,010	391,080	3,538E+2	3,538E+2	3,000E+3
132,097	365,360	390,920	3,560E+2	3,560E+2	3,000E+3
133,097	366,600	390,710	3,654E+2	3,654E+2	3,000E+3
134,098	365,160	391,010	3,666E+2	3,666E+2	3,000E+3
135,099	364,160	390,740	3,652E+2	3,652E+2	3,000E+3
136,098	364,600	390,920	3,642E+2	3,642E+2	3,000E+3
137,099	365,800	390,570	3,646E+2	3,646E+2	3,000E+3
138,099	366,050	390,810	3,658E+2	3,658E+2	3,000E+3
139,100	367,060	390,670	3,660E+2	3,660E+2	3,000E+3
140,100	367,020	390,190	3,671E+2	3,671E+2	3,000E+3
141,100	366,670	390,370	3,670E+2	3,670E+2	3,000E+3
142,101	367,300	390,420	3,667E+2	3,667E+2	3,000E+3
143,101	367,380	390,390	3,673E+2	3,673E+2	3,000E+3
144,101	367,590	390,790	3,674E+2	3,674E+2	3,000E+3
145,101	366,470	390,360	3,660E+2	3,660E+2	3,000E+3
146,101	367,270	390,950	3,665E+2	3,665E+2	3,000E+3
147,101	367,480	390,790	3,673E+2	3,673E+2	3,000E+3
148,102	367,480	390,790	3,675E+2	3,675E+2	3,000E+3
149,102	366,550	391,250	3,675E+2	3,675E+2	3,000E+3
150,102	367,410	390,920	3,665E+2	3,665E+2	3,000E+3
151,102	366,190	391,170	3,674E+2	3,674E+2	3,000E+3
152,103	366,310	391,200	3,656E+2	3,656E+2	3,000E+3
153,102	365,650	390,750	3,663E+2	3,663E+2	3,000E+3
154,102	367,730	391,510	3,656E+2	3,656E+2	3,000E+3
155,104	366,980	391,220	3,677E+2	3,677E+2	3,000E+3
156,104	366,980	391,220	3,670E+2	3,670E+2	3,000E+3
157,103	366,210	390,090	3,670E+2	3,670E+2	3,000E+3
158,103	365,960	391,060	3,662E+2	3,662E+2	3,000E+3
159,103	366,430	390,010	3,660E+2	3,660E+2	3,000E+3
160,103	367,450	390,100	3,664E+2	3,664E+2	3,000E+3
161,103	367,720	390,420	3,675E+2	3,675E+2	3,000E+3
162,105	366,840	390,000	3,677E+2	3,677E+2	3,000E+3
163,105	366,590	390,250	3,675E+2	3,675E+2	3,000E+3
164,106	366,640	390,180	3,666E+2	3,666E+2	3,000E+3
165,107	366,640	390,180	3,666E+2	3,666E+2	3,000E+3
166,107	365,750	390,600	3,666E+2	3,666E+2	3,000E+3
167,108	365,930	390,200	3,658E+2	3,658E+2	3,000E+3
168,109	364,580	389,240	3,659E+2	3,659E+2	3,000E+3
169,111	365,890	390,530	3,646E+2	3,646E+2	3,000E+3
170,110	366,610	390,210	3,659E+2	3,659E+2	3,000E+3
171,111	366,790	389,210	3,666E+2	3,666E+2	3,000E+3
172,113	366,940	390,910	3,668E+2	3,668E+2	3,000E+3
173,112	365,950	389,740	3,669E+2	3,669E+2	3,000E+3
174,113	365,800	389,970	3,660E+2	3,660E+2	3,000E+3
175,112	365,760	389,910	3,658E+2	3,658E+2	3,000E+3
176,113	366,820	390,340	3,658E+2	3,658E+2	3,000E+3
177,113	366,720	390,260	3,668E+2	3,668E+2	3,000E+3
178,113	366,750	389,760	3,667E+2	3,667E+2	3,000E+3
179,114	367,190	390,720	3,668E+2	3,668E+2	3,000E+3
180,114	366,710	388,920	3,679E+2	3,679E+2	3,000E+3
181,115	366,320	390,250	3,667E+2	3,667E+2	3,000E+3
182,115	366,810	390,550	3,663E+2	3,663E+2	3,000E+3
183,115	367,070	390,190	3,668E+2	3,668E+2	3,000E+3
184,115	367,070	390,190	3,671E+2	3,671E+2	3,000E+3
185,115	366,020	390,250	3,671E+2	3,671E+2	3,000E+3
186,115	365,680	389,180	3,660E+2	3,660E+2	3,000E+3
187,115	364,800	390,440	3,657E+2	3,657E+2	3,000E+3
188,117	349,970	390,210	3,559E+2	3,559E+2	3,000E+3
189,116	364,470	389,490	3,500E+2	3,500E+2	3,000E+3
190,116	365,090	389,840	3,645E+2	3,645E+2	3,000E+3
191,116	365,090	389,840	3,651E+2	3,651E+2	3,000E+3
192,118	363,760	390,980	3,651E+2	3,651E+2	3,000E+3
193,117	365,590	390,410	3,638E+2	3,638E+2	3,000E+3
194,117	365,130	390,190	3,656E+2	3,656E+2	3,000E+3
195,117	365,360	390,350	3,651E+2	3,651E+2	3,000E+3
196,117	366,930	390,060	3,654E+2	3,654E+2	3,000E+3
197,118	366,690	390,350	3,685E+2	3,685E+2	3,000E+3
198,118	366,380	390,280	3,667E+2	3,667E+2	3,000E+3
199,118	367,210	390,180	3,664E+2	3,664E+2	3,000E+3
200,118	366,360	390,120	3,672E+2	3,672E+2	3,000E+3
201,118	365,650	389,440	3,664E+2	3,664E+2	3,000E+3
202,119	368,020	389,890	3,656E+2	3,656E+2	3,000E+3
203,119	368,040	390,470	3,680E+2	3,680E+2	3,000E+3
204,119	368,080	389,780	3,680E+2	3,680E+2	3,000E+3
205,119	367,670	389,180	3,681E+2	3,681E+2	3,000E+3
206,120	367,670	389,180	3,677E+2	3,677E+2	3,000E+3
207,122	367,420	390,030	3,677E+2	3,677E+2	3,000E+3
208,121	367,510	390,110	3,674E+2	3,674E+2	3,000E+3
209,122	367,900	389,800	3,675E+2	3,675E+2	3,000E+3
210,121	366,360	389,830	3,679E+2	3,679E+2	3,000E+3
211,121	367,170	389,870	3,664E+2	3,664E+2	3,000E+3
212,122	367,710	390,200	3,672E+2	3,672E+2	3,000E+3
213,122	366,530	389,560	3,677E+2	3,677E+2	3,000E+3
214,122	367,470	389,740	3,676E+2	3,676E+2	3,000E+3
215,123	365,560	390,270	3,675E+2	3,675E+2	3,000E+3
216,122	365,560	390,270	3,656E+2	3,656E+2	3,000E+3
217,122	363,020	390,500	3,656E+2	3,656E+2	3,000E+3
218,123	352,730	391,310	3,630E+2	3,630E+2	3,000E+3
219,123	344,060	391,930	3,527E+2	3,527E+2	3,000E+3
220,123	354,870	390,740	3,441E+2	3,441E+2	3,000E+3
