t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
1,988	49,753	0,000	4,737E+1	4,850E+1	4,816E+1	4,435E+1	5,159E+1	5,235E+1	4,515E+1	4,865E+1	4,986E+1	4,112E+1
1,988	49,753	0,000	4,737E+1	4,850E+1	4,816E+1	4,435E+1	5,159E+1	5,235E+1	4,515E+1	4,865E+1	4,986E+1	4,112E+1
1,988	49,753	0,000	4,737E+1	4,850E+1	4,816E+1	4,435E+1	5,159E+1	5,235E+1	4,515E+1	4,865E+1	4,986E+1	4,112E+1
4,005	49,761	0,000	4,736E+1	4,850E+1	4,817E+1	4,435E+1	5,153E+1	5,233E+1	4,515E+1	4,867E+1	4,990E+1	4,109E+1
4,005	49,761	0,000	4,736E+1	4,850E+1	4,817E+1	4,435E+1	5,153E+1	5,233E+1	4,515E+1	4,867E+1	4,990E+1	4,109E+1
6,024	49,850	0,000	4,733E+1	4,850E+1	4,810E+1	4,437E+1	5,152E+1	5,229E+1	4,515E+1	4,864E+1	4,989E+1	4,116E+1
6,024	49,850	0,000	4,733E+1	4,850E+1	4,810E+1	4,437E+1	5,152E+1	5,229E+1	4,515E+1	4,864E+1	4,989E+1	4,116E+1
8,040	49,798	0,000	4,730E+1	4,850E+1	4,812E+1	4,434E+1	5,139E+1	5,223E+1	4,513E+1	4,862E+1	4,988E+1	4,106E+1
8,040	49,798	0,000	4,730E+1	4,850E+1	4,812E+1	4,434E+1	5,139E+1	5,223E+1	4,513E+1	4,862E+1	4,988E+1	4,106E+1
10,059	49,733	0,000	4,734E+1	4,852E+1	4,811E+1	4,432E+1	5,128E+1	5,212E+1	4,514E+1	4,857E+1	4,985E+1	4,105E+1
10,059	49,733	0,000	4,734E+1	4,852E+1	4,811E+1	4,432E+1	5,128E+1	5,212E+1	4,514E+1	4,857E+1	4,985E+1	4,105E+1
12,075	49,746	0,000	4,731E+1	4,855E+1	4,817E+1	4,429E+1	5,128E+1	5,216E+1	4,512E+1	4,859E+1	4,985E+1	4,095E+1
12,075	49,746	0,000	4,731E+1	4,855E+1	4,817E+1	4,429E+1	5,128E+1	5,216E+1	4,512E+1	4,859E+1	4,985E+1	4,095E+1
14,094	49,761	0,000	4,729E+1	4,850E+1	4,814E+1	4,431E+1	5,132E+1	5,220E+1	4,511E+1	4,854E+1	4,981E+1	4,106E+1
