t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	70,000	9,990E+1
0,000	0,000	70,000	9,990E+1
1,988	47,990	70,000	1,000E-2
1,988	47,990	70,000	1,003E+0
1,988	47,986	70,000	2,175E+0
4,005	47,986	70,000	3,169E+0
4,005	48,023	70,000	4,164E+0
6,024	48,023	70,000	3,671E+0
6,024	48,006	70,000	4,663E+0
8,040	48,006	70,000	6,349E+0
8,040	48,029	70,000	7,342E+0
10,059	48,029	70,000	7,424E+0
10,059	47,944	70,000	8,416E+0
12,075	47,944	70,000	1,278E+1
12,075	47,952	70,000	1,377E+1
14,094	47,952	70,000	1,445E+1
14,094	47,900	70,000	1,545E+1
16,111	47,900	70,000	1,852E+1
16,111	47,858	70,000	1,952E+1
18,131	47,858	70,000	2,218E+1
18,131	47,900	70,000	2,318E+1
20,148	47,900	70,000	2,248E+1
20,148	47,887	70,000	2,348E+1
22,171	47,887	70,000	2,501E+1
22,171	47,887	70,000	2,601E+1
24,187	47,887	70,000	2,701E+1
24,187	47,781	70,000	2,800E+1
26,210	47,781	70,000	3,322E+1
26,210	47,832	70,000	3,423E+1
28,227	47,832	70,000	3,317E+1
28,227	47,806	70,000	3,417E+1
30,245	47,806	70,000	3,624E+1
30,245	47,809	70,000	3,724E+1
32,264	47,809	70,000	3,809E+1
32,264	47,741	70,000	3,909E+1
34,283	47,741	70,000	4,280E+1
34,283	47,775	70,000	4,381E+1
36,299	47,775	70,000	4,347E+1
36,299	47,772	70,000	4,447E+1
38,320	47,772	70,000	4,559E+1
38,320	47,778	70,000	4,660E+1
40,338	47,778	70,000	4,738E+1
40,338	47,823	70,000	4,839E+1
42,357	47,823	70,000	4,761E+1
42,357	47,835	70,000	4,861E+1
44,374	47,835	70,000	4,913E+1
44,374	47,964	70,000	5,013E+1
46,394	47,964	70,000	4,600E+1
46,394	47,929	70,000	4,700E+1
48,411	47,929	70,000	4,936E+1
48,411	47,984	70,000	5,036E+1
50,430	47,984	70,000	4,917E+1
50,430	47,914	70,000	5,017E+1
52,448	47,914	70,000	5,396E+1
52,448	47,999	70,000	5,495E+1
54,467	47,999	70,000	5,258E+1
54,467	47,928	70,000	5,358E+1
56,488	47,928	70,000	5,738E+1
56,488	47,880	70,000	5,838E+1
58,506	47,880	70,000	6,128E+1
58,506	47,994	70,000	6,228E+1
60,525	47,994	70,000	5,876E+1
60,525	47,986	70,000	5,975E+1
62,541	47,986	70,000	6,106E+1
62,541	47,989	70,000	6,206E+1
64,560	47,989	70,000	6,293E+1
64,560	47,966	70,000	6,393E+1
66,577	47,966	70,000	6,583E+1
66,577	47,948	70,000	6,683E+1
68,595	47,948	70,000	6,853E+1
68,595	47,998	70,000	6,953E+1
70,612	47,998	70,000	6,852E+1
70,612	48,032	70,000	6,952E+1
72,631	48,032	70,000	6,918E+1
72,631	48,032	70,000	7,018E+1
74,649	48,010	70,000	7,206E+1
74,649	48,010	70,000	7,305E+1
76,670	47,973	70,000	7,549E+1
76,670	47,973	70,000	7,649E+1
78,687	48,035	70,000	7,502E+1
78,687	48,035	70,000	7,602E+1
80,705	48,069	70,000	7,564E+1
80,705	48,069	70,000	7,663E+1
82,722	48,114	70,000	7,584E+1
82,722	48,114	70,000	7,683E+1
84,741	48,170	70,000	7,562E+1
84,741	48,170	70,000	7,660E+1
86,758	48,172	70,000	7,749E+1
86,758	48,172	70,000	7,847E+1
88,776	48,233	70,000	7,704E+1
88,776	48,233	70,000	7,802E+1
90,795	48,244	70,000	7,859E+1
90,795	48,244	70,000	7,957E+1
92,811	48,230	70,000	8,113E+1
92,811	48,230	70,000	8,211E+1
94,832	48,253	70,000	8,217E+1
94,832	48,253	70,000	8,315E+1
96,851	48,339	70,000	8,072E+1
96,851	48,339	70,000	8,170E+1
98,870	48,323	70,000	8,329E+1
98,870	48,323	70,000	8,427E+1
100,886	48,373	70,000	8,331E+1
100,886	48,373	70,000	8,428E+1
102,905	48,383	70,000	8,484E+1
102,905	48,383	70,000	8,582E+1
104,921	48,334	70,000	8,876E+1
104,921	48,334	70,000	8,974E+1
106,940	48,271	70,000	9,319E+1
106,940	48,271	70,000	9,417E+1
108,961	48,289	70,000	9,444E+1
108,961	48,289	70,000	9,542E+1
110,979	48,273	70,000	9,705E+1
110,979	48,273	70,000	9,804E+1
113,000	48,285	70,000	9,850E+1
113,000	48,285	70,000	9,948E+1
113,000	48,299	70,000	9,990E+1
115,018	48,299	70,000	9,990E+1
