Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	31,613	1,000000E+2
0,000	25,187	31,613	1,000000E+2
1,000	25,186	31,613	1,000000E+2
2,000	25,189	31,613	1,000000E+2
3,000	25,187	31,613	1,000000E+2
4,000	25,186	31,613	1,000000E+2
6,000	25,187	31,613	1,000000E+2
7,001	25,184	31,613	1,000000E+2
8,001	25,184	31,613	1,000000E+2
9,001	25,185	31,613	1,000000E+2
10,001	25,184	31,613	1,000000E+2
11,001	25,183	31,613	1,000000E+2
12,001	25,183	31,613	1,000000E+2
13,001	25,184	31,613	1,000000E+2
14,001	25,187	31,613	1,000000E+2
15,001	25,186	31,613	1,000000E+2
16,001	25,185	31,613	1,000000E+2
17,001	25,185	31,613	1,000000E+2
18,001	25,185	31,613	1,000000E+2
19,001	25,185	31,613	1,000000E+2
20,001	25,186	31,613	1,000000E+2
21,001	25,187	31,613	1,000000E+2
22,001	25,188	31,613	1,000000E+2
23,002	25,187	31,613	1,000000E+2
24,002	25,187	31,613	1,000000E+2
25,002	25,187	31,613	1,000000E+2
26,002	25,187	31,613	1,000000E+2
27,002	25,187	31,613	1,000000E+2
28,002	25,186	31,613	1,000000E+2
29,002	25,184	31,613	1,000000E+2
