Time [s]	PV [ºC]	SP [ºC]	Duty Cycle 
0,000	0,000	25,000	9,990E+1
0,000	21,652	25,000	9,990E+1
2,000	21,652	25,000	1,000E-2
3,000	21,652	25,000	1,612E-1
4,000	21,651	25,000	3,718E-1
5,000	21,652	25,000	4,438E-1
6,000	21,651	25,000	6,345E-1
7,001	21,654	25,000	6,669E-1
7,001	21,661	25,000	5,605E-1
8,001	21,665	25,000	5,725E-1
9,001	21,664	25,000	7,430E-1
10,001	21,672	25,000	5,963E-1
12,001	21,672	25,000	7,070E-1
13,001	21,676	25,000	6,988E-1
14,001	21,679	25,000	7,498E-1
14,001	21,681	25,000	8,007E-1
16,001	21,684	50,000	9,990E+1
17,001	21,688	50,000	9,990E+1
18,001	21,690	50,000	9,990E+1
19,001	21,694	50,000	9,990E+1
20,002	21,695	50,000	9,990E+1
21,002	21,695	50,000	9,990E+1
22,002	21,696	50,000	9,990E+1
23,002	21,700	50,000	9,990E+1
24,002	21,702	50,000	9,990E+1
25,002	21,701	50,000	9,990E+1
26,002	21,705	50,000	9,990E+1
27,002	21,706	50,000	9,990E+1
28,002	21,708	50,000	9,990E+1
