Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	0,000	0,000000E+0
1,000	19,420	19,731	0,000000E+0
2,000	19,419	19,683	0,000000E+0
3,000	19,413	19,748	0,000000E+0
4,000	19,410	19,715	0,000000E+0
5,000	19,410	19,936	0,000000E+0
6,000	19,408	20,286	0,000000E+0
7,000	19,409	20,152	0,000000E+0
8,000	19,407	19,741	5,000000E+1
9,000	19,403	19,733	5,000000E+1
10,000	19,406	20,222	5,000000E+1
11,001	19,403	19,754	5,000000E+1
12,001	19,402	20,296	5,000000E+1
13,001	19,404	20,690	5,000000E+1
14,001	19,401	19,746	5,000000E+1
15,001	19,403	19,795	5,000000E+1
16,001	19,402	19,767	5,000000E+1
17,001	19,403	19,831	5,000000E+1
18,001	19,401	19,889	5,000000E+1
19,001	19,401	20,571	9,900000E+1
20,001	19,403	19,792	9,900000E+1
21,001	19,400	19,825	9,900000E+1
22,001	19,401	19,857	9,900000E+1
23,001	19,403	19,769	9,900000E+1
24,001	19,402	20,012	9,900000E+1
25,001	19,403	21,208	9,900000E+1
26,001	19,401	19,907	9,900000E+1
27,001	19,402	19,799	9,900000E+1
