t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
1,000	21,258	25,000	1,000E-2
2,000	21,236	25,000	1,051E+0
3,000	21,246	25,000	8,244E-1
4,000	21,253	25,000	7,165E-1
5,001	21,247	25,000	1,123E+0
6,001	21,254	25,000	1,036E+0
7,001	21,259	25,000	9,668E-1
8,001	21,267	25,000	8,583E-1
9,001	21,252	25,000	1,601E+0
10,001	21,242	25,000	2,187E+0
11,001	21,255	25,000	1,822E+0
12,001	21,258	25,000	1,872E+0
13,001	21,251	25,000	2,338E+0
14,001	21,255	25,000	2,309E+0
15,001	21,260	25,000	2,300E+0
16,001	21,279	25,000	1,696E+0
17,001	21,268	25,000	2,300E+0
18,001	21,252	25,000	3,122E+0
19,002	21,252	25,000	3,311E+0
20,002	21,265	25,000	2,926E+0
21,002	21,284	25,000	2,361E+0
22,002	21,280	25,000	2,688E+0
23,002	21,276	25,000	3,014E+0
24,002	21,261	25,000	3,757E+0
25,002	21,251	25,000	4,342E+0
26,002	21,249	25,000	4,590E+0
27,002	21,246	25,000	4,879E+0
28,002	21,248	25,000	4,949E+0
29,002	21,238	25,000	5,534E+0
30,002	21,247	25,000	5,348E+0
31,002	21,242	25,000	5,735E+0
32,002	21,234	25,000	6,202E+0
33,002	21,236	25,000	6,273E+0
34,002	21,243	25,000	6,185E+0
35,002	21,264	25,000	5,523E+0
36,003	21,268	25,000	5,513E+0
37,003	21,258	25,000	6,118E+0
38,003	21,245	25,000	6,762E+0
39,003	21,239	25,000	7,209E+0
40,003	21,237	25,000	7,438E+0
41,003	21,233	25,000	7,747E+0
42,003	21,235	25,000	7,877E+0
43,003	21,237	25,000	7,928E+0
44,003	21,259	25,000	7,226E+0
45,003	21,261	25,000	7,316E+0
46,003	21,261	25,000	7,505E+0
47,003	21,270	25,000	7,297E+0
48,003	21,263	25,000	7,763E+0
49,003	21,251	25,000	8,427E+0
50,003	21,249	25,000	8,655E+0
51,003	21,243	25,000	9,063E+0
52,004	21,242	25,000	9,252E+0
53,004	21,255	25,000	8,907E+0
54,004	21,264	25,000	8,719E+0
55,004	21,276	25,000	8,412E+0
56,004	21,278	25,000	8,521E+0
57,004	21,269	25,000	9,046E+0
58,004	21,275	25,000	8,976E+0
59,004	21,264	25,000	9,580E+0
60,004	21,255	25,000	1,013E+1
61,004	21,263	25,000	9,958E+0
62,004	21,259	25,000	1,027E+1
63,004	21,274	25,000	9,840E+0
64,004	21,264	25,000	1,042E+1
65,004	21,268	25,000	1,041E+1
66,004	21,273	25,000	1,038E+1
67,004	21,255	25,000	1,129E+1
68,004	21,256	25,000	1,140E+1
69,005	21,250	25,000	1,182E+1
70,005	21,247	25,000	1,211E+1
71,005	21,240	25,000	1,256E+1
72,005	21,233	25,000	1,298E+1
73,005	21,242	25,000	1,282E+1
74,005	21,253	25,000	1,255E+1
75,005	21,245	25,000	1,304E+1
76,005	21,243	25,000	1,329E+1
77,005	21,243	25,000	1,346E+1
78,005	21,261	25,000	1,293E+1
79,005	21,271	25,000	1,267E+1
80,005	21,272	25,000	1,281E+1
81,005	21,268	25,000	1,314E+1
82,005	21,257	25,000	1,375E+1
83,005	21,253	25,000	1,407E+1
84,006	21,264	25,000	1,381E+1
85,006	21,264	25,000	1,399E+1
86,006	21,262	25,000	1,420E+1
87,006	21,262	25,000	1,439E+1
88,006	21,276	25,000	1,399E+1
89,006	21,290	25,000	1,364E+1
90,006	21,297	25,000	1,353E+1
91,006	21,291	25,000	1,393E+1
92,006	21,294	25,000	1,394E+1
93,006	21,285	25,000	1,447E+1
94,006	21,275	25,000	1,505E+1
95,006	21,288	25,000	1,470E+1
96,006	21,295	25,000	1,459E+1
97,006	21,309	25,000	1,423E+1
98,006	21,294	25,000	1,497E+1
99,006	21,308	25,000	1,458E+1
100,006	21,309	25,000	1,473E+1
101,006	21,306	25,000	1,501E+1
102,007	21,303	25,000	1,526E+1
103,007	21,307	25,000	1,529E+1
104,007	21,306	25,000	1,547E+1
105,007	21,315	25,000	1,530E+1
106,007	21,326	25,000	1,503E+1
107,007	21,342	25,000	1,457E+1
