t	PV [ºC]	SP [ºC]	MV[%] 
0,000	0,000	25,000	9,990E+1
0,000	23,101	25,000	9,990E+1
0,000	23,101	25,000	1,000E-2
0,000	23,101	25,000	9,577E-2
3,043	23,108	25,000	1,815E-1
4,044	23,114	25,000	1,000E-2
5,044	23,109	25,000	1,000E-2
6,123	23,115	25,000	2,736E-1
7,123	23,135	25,000	1,211E-1
7,123	23,135	25,000	1,000E-2
9,691	23,150	25,000	9,423E-2
10,691	23,142	25,000	1,000E-2
10,691	23,142	25,000	4,302E-1
12,340	23,148	25,000	5,142E-1
13,340	23,171	25,000	3,207E-1
14,340	23,171	25,000	1,000E-2
15,340	23,172	25,000	9,250E-2
16,340	23,206	25,000	1,553E-1
16,340	23,206	25,000	1,000E-2
16,340	23,206	25,000	9,098E-2
19,987	23,206	25,000	1,720E-1
19,987	23,174	25,000	2,529E-1
