t	IF	IR	VF	VR
0,000	0,000	0,075	0,000E+0	1,700E+1
0,002	0,000	0,075	3,000E-1	1,700E+1
0,203	0,000	0,075	3,000E-1	1,700E+1
0,403	0,000	0,075	3,000E-1	1,700E+1
0,603	0,000	0,075	3,000E-1	1,700E+1
0,803	0,000	0,075	3,000E-1	1,700E+1
1,005	0,000	0,075	3,000E-1	1,700E+1
1,205	0,000	0,075	3,000E-1	1,700E+1
1,407	0,000	0,075	3,000E-1	1,700E+1
1,607	0,000	0,075	3,000E-1	1,700E+1
1,807	0,000	0,075	3,000E-1	1,700E+1
2,008	0,000	0,075	3,000E-1	1,700E+1
2,208	0,000	0,075	3,000E-1	1,700E+1
2,408	0,000	0,075	3,000E-1	1,700E+1
2,607	0,000	0,075	3,000E-1	1,700E+1
2,809	0,000	0,075	3,000E-1	1,700E+1
3,009	0,000	0,075	3,000E-1	1,700E+1
3,209	0,000	0,075	3,000E-1	1,700E+1
3,408	0,000	0,075	3,000E-1	1,700E+1
3,610	0,000	0,075	3,000E-1	1,700E+1
3,810	0,000	0,075	3,000E-1	1,700E+1
4,009	0,000	0,075	3,000E-1	1,700E+1
4,209	0,000	0,075	3,000E-1	1,700E+1
4,410	0,000	0,075	3,000E-1	1,700E+1
4,610	0,000	0,075	3,000E-1	1,700E+1
4,810	0,000	0,075	3,000E-1	1,700E+1
5,010	0,000	0,075	3,000E-1	1,700E+1
5,210	0,000	0,075	3,000E-1	1,700E+1
5,410	0,000	0,075	3,000E-1	1,700E+1
5,610	0,000	0,075	3,000E-1	1,700E+1
5,809	0,000	0,075	3,000E-1	1,700E+1
6,009	0,000	0,075	3,000E-1	1,700E+1
6,210	0,000	0,075	3,000E-1	1,700E+1
6,410	0,000	0,075	3,000E-1	1,700E+1
6,610	0,000	0,075	3,000E-1	1,700E+1
6,811	0,000	0,075	3,000E-1	1,700E+1
7,011	0,000	0,075	3,000E-1	1,700E+1
7,210	0,000	0,075	3,000E-1	1,700E+1
7,411	0,000	0,075	3,000E-1	1,700E+1
7,612	0,000	0,075	3,000E-1	1,700E+1
7,811	0,000	0,075	3,000E-1	1,700E+1
8,012	0,000	0,075	3,000E-1	1,700E+1
8,212	0,000	0,075	3,000E-1	1,700E+1
8,413	0,000	0,075	3,000E-1	1,700E+1
8,612	0,000	0,075	3,000E-1	1,700E+1
8,812	0,000	0,075	3,000E-1	1,700E+1
9,013	0,000	0,075	3,000E-1	1,700E+1
9,214	0,000	0,075	3,000E-1	1,700E+1
9,413	0,000	0,075	3,000E-1	1,700E+1
9,614	0,000	0,075	3,000E-1	1,700E+1
9,813	0,000	0,075	3,000E-1	1,700E+1
10,013	0,000	0,075	3,000E-1	1,700E+1
10,214	0,000	0,075	3,000E-1	1,700E+1
10,415	0,000	0,075	3,000E-1	1,700E+1
10,615	0,000	0,075	3,000E-1	1,700E+1
10,814	0,000	0,075	3,000E-1	1,700E+1
11,015	0,000	0,075	3,000E-1	1,700E+1
11,215	0,000	0,075	3,000E-1	1,700E+1
11,415	0,000	0,075	3,000E-1	1,700E+1
11,614	0,000	0,075	3,000E-1	1,700E+1
11,814	0,000	0,075	3,000E-1	1,700E+1
12,014	0,000	0,075	3,000E-1	1,700E+1
12,215	0,000	0,075	3,000E-1	1,700E+1
12,415	0,000	0,075	3,000E-1	1,700E+1
12,615	0,000	0,075	3,000E-1	1,700E+1
12,815	0,000	0,075	3,000E-1	1,700E+1
13,014	0,000	0,075	3,000E-1	1,700E+1
13,214	0,000	0,075	3,000E-1	1,700E+1
13,415	0,000	0,075	3,000E-1	1,700E+1
13,615	0,000	0,075	3,000E-1	1,700E+1
13,815	0,000	0,075	3,000E-1	1,700E+1
