t	PC(E)	PL(E)	PC(T)	PL(T)	Vel
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,202	0,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,202	1,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,405	1,000	0,000	0,000E+0	0,000E+0	0,000E+0
0,604	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
0,805	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
1,006	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
1,207	1,000	0,000	1,000E+0	1,000E+0	0,000E+0
1,407	0,840	0,000	1,000E+0	1,000E+0	0,000E+0
1,608	0,840	0,000	1,000E+0	1,000E+0	0,000E+0
1,809	0,840	0,000	8,400E-1	8,400E-1	0,000E+0
2,009	0,840	0,000	8,400E-1	8,400E-1	0,000E+0
2,209	0,840	0,000	8,400E-1	8,400E-1	0,000E+0
2,409	0,840	0,000	8,400E-1	8,400E-1	0,000E+0
2,610	1,090	0,000	8,400E-1	8,400E-1	0,000E+0
2,811	1,090	0,000	8,400E-1	8,400E-1	0,000E+0
3,011	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
3,214	1,090	0,000	1,090E+0	1,090E+0	0,000E+0
3,414	1,120	0,000	1,090E+0	1,090E+0	0,000E+0
3,616	1,120	0,000	1,090E+0	1,090E+0	0,000E+0
3,815	1,120	0,000	1,090E+0	1,090E+0	0,000E+0
4,016	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
4,216	1,120	0,000	1,120E+0	1,120E+0	0,000E+0
4,418	1,380	0,000	1,120E+0	1,120E+0	0,000E+0
4,618	1,380	0,000	1,380E+0	1,380E+0	0,000E+0
4,820	1,380	0,000	1,380E+0	1,380E+0	0,000E+0
5,022	1,380	0,000	1,380E+0	1,380E+0	0,000E+0
5,223	1,380	0,000	1,380E+0	1,380E+0	0,000E+0
5,424	1,380	0,000	1,380E+0	0,000E+0	0,000E+0
5,625	1,380	0,000	1,380E+0	0,000E+0	0,000E+0
5,826	1,380	0,000	1,380E+0	0,000E+0	0,000E+0
6,026	0,990	0,000	1,092E+0	1,092E+0	0,000E+0
6,227	0,990	0,000	1,092E+0	1,092E+0	0,000E+0
6,429	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
6,628	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
6,829	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
7,030	0,990	0,000	9,900E-1	9,900E-1	0,000E+0
7,230	1,130	0,000	9,900E-1	9,900E-1	0,000E+0
7,432	1,130	0,000	9,900E-1	9,900E-1	0,000E+0
7,634	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
7,834	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
8,035	1,130	0,000	1,130E+0	1,130E+0	0,000E+0
8,235	1,030	0,000	1,130E+0	1,130E+0	0,000E+0
8,436	1,030	0,000	1,130E+0	1,130E+0	0,000E+0
8,637	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
8,838	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
9,040	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
9,239	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
9,442	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
9,643	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
9,845	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
10,047	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
10,246	1,110	0,000	1,030E+0	1,030E+0	0,000E+0
10,447	1,110	0,000	1,030E+0	1,030E+0	0,000E+0
10,647	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
10,848	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
11,048	1,110	0,000	1,110E+0	1,110E+0	0,000E+0
11,249	1,030	0,000	1,110E+0	0,000E+0	0,000E+0
11,448	1,030	0,000	1,110E+0	0,000E+0	0,000E+0
11,649	1,030	0,000	1,110E+0	0,000E+0	0,000E+0
11,850	1,030	0,000	1,067E+0	1,067E+0	0,000E+0
12,050	1,030	0,000	1,067E+0	1,067E+0	0,000E+0
12,252	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
12,452	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
12,654	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
12,854	1,030	0,000	1,030E+0	1,030E+0	0,000E+0
13,054	1,100	0,000	1,030E+0	1,030E+0	0,000E+0
13,255	1,100	0,000	1,030E+0	1,030E+0	0,000E+0
13,457	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
13,656	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
13,857	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
14,057	1,100	0,000	1,100E+0	1,100E+0	0,000E+0
14,259	1,050	0,000	1,100E+0	1,100E+0	0,000E+0
14,460	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
14,660	1,050	0,000	1,050E+0	1,050E+0	0,000E+0
