t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
1,000	24,430	0,000	2,393E+1	2,420E+1	2,411E+1	2,357E+1	2,883E+1	2,945E+1	2,392E+1	2,515E+1	2,639E+1	2,298E+1
2,000	24,376	0,000	2,392E+1	2,418E+1	2,410E+1	2,359E+1	2,880E+1	2,942E+1	2,393E+1	2,517E+1	2,637E+1	2,297E+1
3,000	24,394	0,000	2,393E+1	2,417E+1	2,409E+1	2,358E+1	2,879E+1	2,944E+1	2,392E+1	2,520E+1	2,639E+1	2,298E+1
4,000	24,399	0,000	2,393E+1	2,419E+1	2,410E+1	2,357E+1	2,881E+1	2,945E+1	2,393E+1	2,518E+1	2,638E+1	2,296E+1
5,000	24,341	0,000	2,391E+1	2,418E+1	2,408E+1	2,358E+1	2,882E+1	2,945E+1	2,391E+1	2,520E+1	2,637E+1	2,297E+1
6,000	24,392	0,000	2,392E+1	2,419E+1	2,409E+1	2,355E+1	2,880E+1	2,943E+1	2,391E+1	2,520E+1	2,639E+1	2,296E+1
7,000	24,379	0,000	2,392E+1	2,418E+1	2,411E+1	2,356E+1	2,878E+1	2,945E+1	2,390E+1	2,521E+1	2,640E+1	2,297E+1
8,000	24,376	0,000	2,391E+1	2,418E+1	2,412E+1	2,357E+1	2,878E+1	2,945E+1	2,392E+1	2,518E+1	2,639E+1	2,297E+1
9,000	24,402	0,000	2,391E+1	2,419E+1	2,412E+1	2,357E+1	2,876E+1	2,946E+1	2,391E+1	2,518E+1	2,639E+1	2,296E+1
10,000	24,409	0,000	2,392E+1	2,417E+1	2,411E+1	2,357E+1	2,877E+1	2,945E+1	2,390E+1	2,515E+1	2,639E+1	2,297E+1
11,000	24,412	0,000	2,391E+1	2,418E+1	2,410E+1	2,357E+1	2,876E+1	2,946E+1	2,392E+1	2,515E+1	2,639E+1	2,297E+1
12,000	24,432	0,000	2,393E+1	2,418E+1	2,412E+1	2,356E+1	2,878E+1	2,943E+1	2,391E+1	2,516E+1	2,638E+1	2,296E+1
13,000	24,419	0,000	2,394E+1	2,418E+1	2,412E+1	2,358E+1	2,881E+1	2,942E+1	2,390E+1	2,514E+1	2,638E+1	2,298E+1
14,000	24,417	0,000	2,393E+1	2,418E+1	2,413E+1	2,357E+1	2,887E+1	2,946E+1	2,391E+1	2,512E+1	2,641E+1	2,299E+1
15,000	24,427	0,000	2,393E+1	2,419E+1	2,412E+1	2,357E+1	2,893E+1	2,949E+1	2,392E+1	2,513E+1	2,640E+1	2,299E+1
16,000	24,465	0,000	2,393E+1	2,419E+1	2,412E+1	2,358E+1	2,897E+1	2,950E+1	2,393E+1	2,513E+1	2,639E+1	2,298E+1
17,000	24,419	0,000	2,393E+1	2,417E+1	2,412E+1	2,356E+1	2,902E+1	2,951E+1	2,392E+1	2,513E+1	2,639E+1	2,300E+1
18,000	24,457	0,000	2,394E+1	2,419E+1	2,414E+1	2,355E+1	2,907E+1	2,952E+1	2,391E+1	2,514E+1	2,641E+1	2,300E+1
19,001	24,445	0,000	2,395E+1	2,418E+1	2,414E+1	2,359E+1	2,909E+1	2,954E+1	2,392E+1	2,511E+1	2,640E+1	2,300E+1
20,001	24,424	0,000	2,393E+1	2,419E+1	2,414E+1	2,359E+1	2,911E+1	2,955E+1	2,392E+1	2,511E+1	2,640E+1	2,300E+1
